"Date","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","Pythag","RankPythag","EM","RankEM"
2016-02-28,"Michigan St.",67.0884424603175,275,66.7844675893634,245,117.34908895299,6,122.168847950658,3,93.6590072947511,13,93.5194593200249,15,0.955773522912459,1,28.6493886306329,1
2016-02-28,"Virginia",61.4639384920635,351,60.9292842603484,351,115.25524412772,9,120.101245138581,8,97.6097376550377,49,92.6599278803129,10,0.951804244961987,3,27.4413172582682,2
2016-02-28,"Villanova",67.7294540229885,243,66.7518167509132,248,113.170747817456,25,118.423893262657,13,92.8025497407472,8,91.1444821999643,6,0.953067807384126,2,27.2794110626925,3
2016-02-28,"Kansas",68.9892451298701,177,68.4795166903911,156,114.122506297576,18,119.710949295921,10,96.390018399363,34,92.4588138224919,9,0.951230120223449,4,27.2521354734292,4
2016-02-28,"North Carolina",71.3370689655172,78,71.5201500968204,45,116.918660531973,7,121.760253214524,5,99.3929244088574,81,95.5106418909249,27,0.942263066697474,6,26.2496113235991,5
2016-02-28,"Louisville",66.8288793103448,286,66.4985237535416,260,114.28559804214,16,114.88028618261,30,91.8962953196205,5,88.8645099342351,1,0.950402450046683,5,26.0157762483753,6
2016-02-28,"Oklahoma",71.3615665584416,76,70.157432548282,82,112.34556441336,31,118.188505685042,15,97.3414698715614,42,92.9454686903664,12,0.940647865138024,7,25.2430369946755,7
2016-02-28,"Duke",68.4235119047619,211,67.5798733516974,204,119.531602465497,1,123.598434203804,1,103.439487146513,169,98.9155075845222,70,0.928367332803779,10,24.6829266192815,8
2016-02-28,"West Virginia",71.1343965517241,87,69.9183602710815,90,110.559473835906,54,115.377080651425,26,93.1378422261512,10,90.9672821336187,5,0.938981400769616,8,24.4097985178063,9
2016-02-28,"Kentucky",68.3331417624521,217,67.0757473543565,237,113.771941741801,22,119.48882764418,11,97.5110474810117,47,95.7564862504633,35,0.92732231647181,11,23.7323413937169,10
2016-02-28,"Miami FL",66.3576388888889,303,66.0336458851513,281,114.31956090665,15,119.102616560585,12,100.056924986504,95,96.01684901154,40,0.922571519872931,13,23.0857675490449,11
2016-02-28,"Iowa",69.3349279835391,158,68.8681510164226,130,113.86617262174,21,118.377001518166,14,98.9292204739773,74,95.633438454822,32,0.920820460398697,15,22.7435630633435,12
2016-02-28,"Wichita St.",66.4786398467433,297,66.0251975013762,282,110.83069904914,48,113.376378829758,41,89.0992405483517,1,90.6509848862551,2,0.929071085576468,9,22.7253939435029,13
2016-02-28,"Indiana",69.0964559386973,173,68.2603922495208,167,119.495669177093,2,120.602694400496,6,99.4526220336604,85,98.054879678699,57,0.915305291148662,16,22.5478147217973,14
2016-02-28,"Xavier",72.0334821428571,48,71.2321538061332,52,111.73590754036,40,116.935414348988,20,95.8797762886828,29,94.392237514749,21,0.921497795274233,14,22.5431768342392,15
2016-02-28,"Purdue",68.3716954022989,215,67.8870660263695,189,112.641012884425,29,114.919206691786,29,94.067569969604,14,92.3857846267807,8,0.92483616581937,12,22.5334220650054,16
2016-02-28,"Arizona",70.2434865900383,110,68.5002919256565,154,113.277948562954,24,116.672933075986,21,95.2908465018402,25,95.0328164488479,25,0.913666785749461,17,21.6401166271381,17
2016-02-28,"SMU",66.0972222222222,313,65.5739115534227,303,118.451734958739,4,120.060157220786,9,97.3925681834246,43,98.9288007999603,71,0.902587753064915,21,21.1313564208252,18
2016-02-28,"Iowa St.",71.9125478927203,57,71.3251882619907,48,114.17431437255,17,121.950388516682,4,103.851851572986,174,101.090370831441,104,0.896357651274987,23,20.8600176852401,19
2016-02-28,"Maryland",67.3313988095238,265,67.9876990899624,181,111.964323488335,35,115.297636726935,27,97.452035396546,45,94.5121995643762,22,0.907716110506272,18,20.7854371625589,20
2016-02-28,"Vanderbilt",69.5497605363985,148,68.3535839152339,164,109.993205366087,58,114.410671636185,32,95.662969708652,27,94.0044692828001,19,0.905441018997149,19,20.4062023533851,21
2016-02-28,"Texas A&M",68.7447796934866,192,67.1462825301029,233,109.870025093626,59,113.532556234656,39,95.8371493338236,28,93.4547972447873,13,0.903613478282646,20,20.0777589898687,22
2016-02-28,"Oregon",69.4717592592593,152,68.8631186415688,132,111.35187431224,42,118.006585461225,16,99.4030325183595,82,98.1199889158866,58,0.893053448702407,24,19.8865965453386,23
2016-02-28,"Utah",67.5306992337165,253,65.6171300922946,302,112.856084595221,26,116.649088567644,22,100.285156400658,99,97.1627160950946,46,0.891097994080365,25,19.4863724725498,24
