"","Date","TeamName","Role","Opponent","PTS","FGM","FGA","FG%","3PTM","3PTA","3PT%","FTM","FTA","FT%","ORB","DRB","REB","AST","TO","STL","BLK","PF"
"1","November 14, 2014","Grand Canyon","Away","Kentucky","45","15","48",".313","7","15",".467","8","16",".500","8","12","20","8","21","5","3","20"
"2","November 14, 2014","Kentucky","Home","Grand Canyon","85","34","70",".486","3","14",".214","14","19",".737","22","25","47","13","13","8","10","16"
"3","November 14, 2014","Mount St. Mary's","Away","Arizona","55","20","52",".385","7","21",".333","8","12",".667","3","21","24","8","16","2","0","17"
"4","November 14, 2014","Arizona","Home","Mount St. Mary's","78","31","54",".574","4","16",".250","12","25",".480","7","28","35","17","8","11","5","11"
"5","November 14, 2014","Northern Kentucky","Away","Wisconsin","31","14","53",".264","2","16",".125","1","5",".200","6","19","25","4","10","5","1","19"
"6","November 14, 2014","Wisconsin","Home","Northern Kentucky","62","23","47",".489","4","17",".235","12","20",".600","5","35","40","13","9","3","5","9"
"7","November 14, 2014","Presbyterian","Away","Duke","44","18","52",".346","1","12",".083","7","11",".636","7","12","19","7","16","6","1","22"
"8","November 14, 2014","Duke","Home","Presbyterian","113","42","69",".609","16","31",".516","13","16",".813","16","29","45","30","9","12","4","17"
"9","November 14, 2014","UCSB","Away","Kansas","59","23","56",".411","4","19",".211","9","14",".643","5","22","27","10","15","8","6","23"
"10","November 14, 2014","Kansas","Home","UCSB","69","22","53",".415","2","10",".200","23","32",".719","12","29","41","11","16","8","5","12"
"11","November 14, 2014","North Carolina Central","Away","UNC","60","18","56",".321","5","17",".294","19","29",".655","10","17","27","8","14","9","3","24"
"12","November 14, 2014","UNC","Home","North Carolina Central","76","27","61",".443","2","11",".182","20","30",".667","14","33","47","15","14","8","10","24"
"13","November 14, 2014","William & Mary","Away","Florida","45","18","57",".316","2","22",".091","7","9",".778","7","23","30","4","12","2","2","14"
"14","November 14, 2014","Florida","Home","William & Mary","68","25","53",".472","6","17",".353","12","15",".800","6","32","38","13","10","8","1","11"
"15","November 14, 2014","Minnesota","Away","Louisville","68","22","55",".400","4","18",".222","20","33",".606","9","24","33","12","18","6","0","32"
"16","November 14, 2014","Louisville","Home","Minnesota","81","23","50",".460","6","16",".375","29","42",".690","7","29","36","11","15","11","1","28"
"17","November 14, 2014","Virginia","Away","James Madison","79","29","50",".580","5","7",".714","16","21",".762","8","28","36","12","16","11","7","18"
"18","November 14, 2014","James Madison","Home","Virginia","51","15","53",".283","8","26",".308","13","18",".722","9","13","22","9","17","4","1","15"
"19","November 14, 2014","North Dakota State","Away","Texas","50","17","62",".274","7","29",".241","9","17",".529","8","20","28","8","11","3","2","20"
"20","November 14, 2014","Texas","Home","North Dakota State","85","30","62",".484","7","22",".318","18","21",".857","10","37","47","9","10","7","3","16"
"21","November 14, 2014","New Mexico State","Away","Wichita State","54","16","40",".400","4","17",".235","18","31",".581","8","21","29","9","19","6","3","15"
"22","November 14, 2014","Wichita State","Home","New Mexico State","71","31","63",".492","0","11",".000","9","16",".563","14","20","34","11","11","11","4","22"
"23","November 14, 2014","Villanova","Away","Lehigh","77","27","71",".380","8","33",".242","15","24",".625","18","19","37","16","9","13","3","11"
"24","November 14, 2014","Lehigh","Home","Villanova","66","28","51",".549","6","16",".375","4","10",".400","3","28","31","15","21","6","2","22"
