"","Date","TeamName","Role","Opponent","PTS","FGM","FGA","FG%","3PTM","3PTA","3PT%","FTM","FTA","FT%","ORB","DRB","REB","AST","TO","STL","BLK","PF"
"192","November 8, 2013","San Francisco","Home","Notre Dame de Namur","95","33","69",".478","13","34",".382","16","21",".762","12","23","35","22","10","11","4","21"
"193","November 8, 2013","Oakland City","Away","Austin Peay","69","25","61",".410","10","23",".435","9","17",".529","9","15","24","15","15","6","3","26"
"194","November 8, 2013","Austin Peay","Home","Oakland City","84","29","55",".527","6","18",".333","20","36",".556","15","30","45","20","17","8","4","14"
"195","November 8, 2013","Ohio Northern","Away","Kent State","48","15","51",".294","2","17",".118","16","22",".727","6","26","32","9","20","2","1","23"
"196","November 8, 2013","Kent State","Home","Ohio Northern","84","32","68",".471","4","19",".211","16","25",".640","13","31","44","10","11","15","4","22"
"197","November 8, 2013","Oklahoma","Away","Alabama","82","28","63",".444","7","21",".333","19","25",".760","17","21","38","16","9","7","5","18"
"198","November 8, 2013","Alabama","Home","Oklahoma","73","29","61",".475","3","15",".200","12","17",".706","12","21","33","4","14","6","2","22"
"199","November 8, 2013","Pacific","Away","Nevada","80","31","58",".534","8","11",".727","10","14",".714","7","20","27","14","17","3","0","19"
"200","November 8, 2013","Nevada","Home","Pacific","78","24","58",".414","6","22",".273","24","28",".857","10","15","25","10","12","11","3","16"
"201","November 8, 2013","Portland State","Away","UNLV","48","19","61",".311","0","7",".000","10","15",".667","12","25","37","4","20","11","0","24"
"202","November 8, 2013","UNLV","Home","Portland State","67","23","53",".434","8","19",".421","13","28",".464","11","29","40","18","18","10","5","19"
"203","November 8, 2013","Prairie View","Away","Mississippi State","56","19","50",".380","3","22",".136","15","21",".714","8","15","23","6","19","10","4","22"
"204","November 8, 2013","Mississippi State","Home","Prairie View","71","27","64",".422","4","12",".333","13","21",".619","24","26","50","13","20","8","2","19"
"205","November 8, 2013","Presbyterian","Away","Georgia Tech","57","20","59",".339","6","20",".300","11","15",".733","6","21","27","9","12","5","2","18"
"206","November 8, 2013","Georgia Tech","Home","Presbyterian","88","35","69",".507","5","19",".263","13","20",".650","13","33","46","18","6","10","5","18"
"207","November 8, 2013","Radford","Away","George Washington","54","20","60",".333","5","21",".238","9","21",".429","11","17","28","11","13","8","3","27"
"208","November 8, 2013","George Washington","Home","Radford","76","24","48",".500","5","9",".556","23","29",".793","9","32","41","12","16","9","4","21"
"209","November 8, 2013","Randolph","Away","Liberty","53","21","56",".375","7","20",".350","4","7",".571","7","15","22","13","12","6","3","18"
"210","November 8, 2013","Liberty","Home","Randolph","74","27","53",".509","4","14",".286","16","20",".800","9","28","37","14","14","8","8","14"
"211","November 8, 2013","Saint Francis (PA)","Away","Fordham","67","20","56",".357","6","26",".231","21","29",".724","13","21","34","10","14","7","2","22"
"212","November 8, 2013","Fordham","Home","Saint Francis (PA)","87","31","65",".477","13","28",".464","12","18",".667","13","26","39","13","11","6","7","22"
"213","November 8, 2013","Sam Houston State","Away","Texas-Rio Grande Valley","77","21","46",".457","5","12",".417","30","50",".600","10","24","34","11","22","7","3","22"
"214","November 8, 2013","Texas-Rio Grande Valley","Home","Sam Houston State","73","26","64",".406","2","14",".143","19","29",".655","13","21","34","8","18","7","2","34"
"215","November 8, 2013","Savannah State","Away","Pitt","55","20","64",".313","5","20",".250","10","14",".714","14","12","26","9","17","6","3","27"
"216","November 8, 2013","Pitt","Home","Savannah State","88","26","52",".500","7","15",".467","29","38",".763","15","30","45","16","16","7","5","21"
"217","November 8, 2013","Sewanee","Away","Furman","49","16","50",".320","9","27",".333","8","11",".727","7","21","28","14","14","5","3","23"
"218","November 8, 2013","Furman","Home","Sewanee","66","20","55",".364","5","21",".238","21","28",".750","17","25","42","11","10","7","0","15"
"219","November 8, 2013","Shenandoah","Away","Campbell","62","22","65",".338","5","19",".263","13","19",".684","11","25","36","10","15","5","0","22"
"220","November 8, 2013","Campbell","Home","Shenandoah","87","34","59",".576","8","19",".421","11","20",".550","5","32","37","23","15","12","8","18"
"221","November 8, 2013","South Carolina State","Away","Marshall","69","26","68",".382","6","20",".300","11","26",".423","17","29","46","12","17","4","0","29"
"222","November 8, 2013","Marshall","Home","South Carolina State","85","26","64",".406","7","30",".233","26","41",".634","15","29","44","17","13","12","8","22"
"223","November 8, 2013","South Dakota State","Away","San Diego","70","24","56",".429","6","20",".300","16","23",".696","8","25","33","15","16","10","6","20"
"224","November 8, 2013","San Diego","Home","South Dakota State","74","26","55",".473","9","21",".429","13","26",".500","7","26","33","11","19","8","4","23"
"225","November 8, 2013","Southeast Missouri State","Away","Saint Louis","64","21","56",".375","5","21",".238","17","23",".739","9","22","31","9","19","12","5","17"
"226","November 8, 2013","Saint Louis","Home","Southeast Missouri State","87","33","64",".516","3","19",".158","18","23",".783","9","25","34","19","14","10","2","19"
"227","November 8, 2013","Southeastern Louisiana","Away","Missouri","53","21","62",".339","7","28",".250","4","6",".667","4","16","20","17","8","2","5","22"
"228","November 8, 2013","Missouri","Home","Southeastern Louisiana","89","31","57",".544","12","23",".522","15","27",".556","8","33","41","14","9","5","5","14"
"229","November 8, 2013","USC","Away","Utah State","65","24","65",".369","4","24",".167","13","16",".813","18","21","39","12","7","3","4","17"
"230","November 8, 2013","Utah State","Home","USC","78","29","60",".483","8","21",".381","12","19",".632","14","24","38","21","7","5","6","16"
"231","November 8, 2013","SIU-Edwardsville","Away","Arkansas","65","25","64",".391","9","25",".360","6","9",".667","11","16","27","10","21","6","1","24"
"232","November 8, 2013","Arkansas","Home","SIU-Edwardsville","99","33","64",".516","8","16",".500","25","35",".714","15","22","37","14","13","8","8","14"
