"","GameDate","HomeTeamName","HomeTeamScore","AwayTeamName","AwayTeamScore"
"1","November 11, 2011","Air Force",87,"Army",71
"2","November 11, 2011","Alabama",64,"North Florida",44
"3","November 11, 2011","Appalachian State",90,"Lees-McRae",61
"4","November 11, 2011","Arizona State",78,"Montana State",72
"5","November 11, 2011","Arkansas",83,"USC Upstate",63
"6","November 11, 2011","Auburn",84,"McNeese State",62
"7","November 11, 2011","Baylor",77,"Texas Southern",57
"8","November 11, 2011","Boise State",95,"Colorado Christian",44
"9","November 11, 2011","Boston University",74,"Northeastern",82
"10","November 11, 2011","Bowling Green State",63,"Howard",48
"11","November 11, 2011","Brown",86,"Johnson & Wales (RI)",66
"12","November 11, 2011","Buffalo",72,"St. Peter's",65
"13","November 11, 2011","Cal State Fullerton",118,"Redlands",68
"14","November 11, 2011","California",77,"UC-Irvine",56
"15","November 11, 2011","UC-Davis",75,"Southern Utah",76
"16","November 11, 2011","UC-Riverside",72,"Cal Lutheran",48
"17","November 11, 2011","UCSB",74,"Chapman",48
"18","November 11, 2011","Campbell",82,"Houston Baptist",68
"19","November 11, 2011","Central Connecticut",69,"Yale",73
"20","November 11, 2011","Charlotte",73,"North Carolina Central",57
"21","November 11, 2011","Citadel",100,"VMI",103
"22","November 11, 2011","Clemson",65,"Gardner-Webb",44
"23","November 11, 2011","Coastal Carolina",96,"Covenant",54
"24","November 11, 2011","College of Charleston",78,"Holy Cross",69
"25","November 11, 2011","Colorado",85,"Fort Lewis",57
"26","November 11, 2011","Colorado State",64,"Montana",58
"27","November 11, 2011","UConn",70,"Columbia",57
"28","November 11, 2011","Coppin State",80,"Cheyney",65
"29","November 11, 2011","Creighton",97,"North Carolina A&T",65
"30","November 11, 2011","Davidson",111,"Guilford",64
"31","November 11, 2011","Denver",69,"Portland State",61
"32","November 11, 2011","DePaul",91,"Texas-Rio Grande Valley",72
"33","November 11, 2011","Detroit",95,"Lake Erie",57
"34","November 11, 2011","Duke",77,"Belmont",76
"35","November 11, 2011","East Carolina",101,"Milligan",45
"36","November 11, 2011","Eastern Michigan",68,"UIC",57
"37","November 11, 2011","Fairfield",72,"Quinnipiac",60
"38","November 11, 2011","Florida",99,"Jackson State",59
"39","November 11, 2011","Florida State",79,"Jacksonville",67
"40","November 11, 2011","Fresno State",55,"Illinois State",47
"41","November 11, 2011","Furman",75,"Roanoke",49
"42","November 11, 2011","George Mason",92,"Rhode Island",90
"43","November 11, 2011","George Washington",64,"Maryland-Eastern Shore",48
"44","November 11, 2011","Georgia",62,"Wofford",49
"45","November 11, 2011","Georgia Southern",81,"Valparaiso",90
"46","November 11, 2011","Georgia Tech",92,"Florida A&M",59
"47","November 11, 2011","Gonzaga",77,"Eastern Washington",69
"48","November 11, 2011","Green Bay",94,"Mary",55
"49","November 11, 2011","Hartford",50,"Sacred Heart",70
"50","November 11, 2011","Harvard",76,"MIT",49
"51","November 11, 2011","Hofstra",89,"LIU-Brooklyn",71
"52","November 11, 2011","Illinois",67,"Loyola (IL)",49
"53","November 11, 2011","Indiana",96,"Stony Brook",66
"54","November 11, 2011","Indiana State",79,"Eastern Illinois",72
"55","November 11, 2011","Iowa",96,"Chicago State",53
"56","November 11, 2011","IUPUI",101,"Anderson (IN)",68
"57","November 11, 2011","Jacksonville State",87,"Miles",64
"58","November 11, 2011","Kansas",100,"Towson",54
"59","November 11, 2011","Kansas State",72,"Charleston Southern",67
"60","November 11, 2011","Kentucky",108,"Marist",58
"61","November 11, 2011","La Salle",79,"Lafayette",53
"62","November 11, 2011","Lamar",65,"Arkansas State",62
"63","November 11, 2011","Liberty",81,"Randolph",58
"64","November 11, 2011","Lipscomb",96,"Fort Valley State",53
"65","November 11, 2011","Longwood",70,"Navy",78
"66","November 11, 2011","Louisiana",83,"Northern Arizona",66
"67","November 11, 2011","Louisville",83,"UT-Martin",48
"68","November 11, 2011","Marquette",91,"Mount St. Mary's",37
"69","November 11, 2011","Marshall",67,"Alabama State",49
"70","November 11, 2011","UMBC",45,"Penn",59
"71","November 11, 2011","UMass",85,"Elon",67
"72","November 11, 2011","Miami (FL)",69,"Tennessee Tech",58
"73","November 11, 2011","Michigan",59,"Ferris State",33
"74","November 11, 2011","Michigan State",55,"UNC",67
"75","November 11, 2011","Middle Tennessee",80,"Austin Peay",71
"76","November 11, 2011","Minnesota",70,"Bucknell",58
"77","November 11, 2011","Ole Miss",60,"Louisiana-Monroe",38
"78","November 11, 2011","Missouri",83,"Southeast Missouri State",68
"79","November 11, 2011","UMKC",62,"Northwest Missouri State",66
"80","November 11, 2011","Murray State",76,"Harris-Stowe",49
"81","November 11, 2011","Nebraska",65,"South Dakota",48
"82","November 11, 2011","Nevada",46,"Missouri State",68
"83","November 11, 2011","UNLV",83,"Grand Canyon",66
"84","November 11, 2011","New Hampshire",85,"Suffolk",64
"85","November 11, 2011","New Mexico",92,"New Orleans",40
"86","November 11, 2011","NC State",84,"UNC Asheville",75
"87","November 11, 2011","North Texas",81,"St. Gregory's",52
"88","November 11, 2011","Northwestern State",87,"LeTourneau",61
"89","November 11, 2011","Ohio State",73,"Wright State",42
"90","November 11, 2011","Oklahoma",78,"Idaho State",74
"91","November 11, 2011","Oklahoma State",71,"Texas A&M-Corpus Christi",39
"92","November 11, 2011","Pitt",89,"Albany (NY)",56
"93","November 11, 2011","Presbyterian",103,"Montreat",73
"94","November 11, 2011","Purdue",96,"Northern Illinois",34
"95","November 11, 2011","Radford",58,"Delaware",54
"96","November 11, 2011","Richmond",66,"American",56
"97","November 11, 2011","Robert Morris",83,"Rider",57
"98","November 11, 2011","Rutgers",62,"Dartmouth",56
"99","November 11, 2011","Sacramento State",70,"Menlo",56
"100","November 11, 2011","Saint Louis",71,"Tennessee State",37
"101","November 11, 2011","Saint Mary's",98,"Fresno Pacific",58
"102","November 11, 2011","San Diego State",75,"Bryant",63
"103","November 11, 2011","San Francisco",65,"North Dakota State",73
"104","November 11, 2011","Santa Clara",80,"UC-Merced",48
"105","November 11, 2011","South Carolina",75,"Western Carolina",50
"106","November 11, 2011","South Carolina State",70,"Claflin",53
"107","November 11, 2011","Southern",67,"Dillard",48
"108","November 11, 2011","USC",66,"Cal State Northridge",59
"109","November 11, 2011","SMU",78,"McMurry",49
"110","November 11, 2011","St. Bonaventure",79,"Cornell",58
"111","November 11, 2011","Stanford",91,"Central Arkansas",52
"112","November 11, 2011","Stephen F. Austin",84,"Centenary (LA)",43
"113","November 11, 2011","Stetson",65,"Bethune-Cookman",60
"114","November 11, 2011","Tennessee",92,"UNC Greensboro",63
"115","November 11, 2011","TCU",73,"Florida Gulf Coast",72
"116","November 11, 2011","UTEP",64,"UTSA",73
"117","November 11, 2011","Texas State",101,"Texas Lutheran",60
"118","November 11, 2011","Texas Tech",90,"Troy",85
"119","November 11, 2011","Tulane",72,"Alabama A&M",63
"120","November 11, 2011","Tulsa",65,"Little Rock",49
"121","November 11, 2011","UCLA",58,"Loyola Marymount",69
"122","November 11, 2011","Utah State",69,"BYU",62
"123","November 11, 2011","Utah Valley",80,"Simpson (CA)",53
"124","November 11, 2011","Vanderbilt",78,"Oregon",64
"125","November 11, 2011","Villanova",106,"Monmouth",70
"126","November 11, 2011","VCU",63,"Saint Francis (PA)",57
"127","November 11, 2011","Wake Forest",75,"Loyola (MD)",63
"128","November 11, 2011","Weber State",109,"Northern New Mexico",50
"129","November 11, 2011","West Virginia",78,"Oral Roberts",71
"130","November 11, 2011","Western Kentucky",61,"St. Joseph's",72
"131","November 11, 2011","Xavier",74,"Morgan State",63
"132","November 12, 2011","Air Force",75,"VMI",65
"133","November 12, 2011","Akron",95,"Hiram",65
"134","November 12, 2011","Alcorn State",76,"Blue Mountain College",39
"135","November 12, 2011","Army",72,"Citadel",83
"136","November 12, 2011","Binghamton",74,"Colgate",78
"137","November 12, 2011","Bryant",70,"UC-Davis",63
"138","November 12, 2011","Cal Poly",79,"San Jose State",52
"139","November 12, 2011","UCF",74,"St. Thomas (FL)",61
"140","November 12, 2011","Central Michigan",65,"Ferris State",60
"141","November 12, 2011","Coastal Carolina",104,"Methodist",61
"142","November 12, 2011","Dayton",87,"Western Illinois",58
"143","November 12, 2011","Delaware State",86,"Wilmington (DE)",65
"144","November 12, 2011","Drake",83,"Upper Iowa",58
"145","November 12, 2011","Duke",96,"Presbyterian",55
"146","November 12, 2011","Evansville",80,"Butler",77
"147","November 12, 2011","Florida Atlantic",65,"Portland",70
"148","November 12, 2011","Georgetown",83,"Savannah State",54
"149","November 12, 2011","Hampton",73,"William & Mary",58
"150","November 12, 2011","High Point",95,"Bridgewater (VA)",52
"151","November 12, 2011","Houston",88,"Grambling",42
"152","November 12, 2011","Iowa State",86,"Lehigh",77
"153","November 12, 2011","Fort Wayne",83,"Omaha",72
"154","November 12, 2011","Long Beach State",69,"Idaho",61
"155","November 12, 2011","Louisiana",58,"North Dakota State",78
"156","November 12, 2011","LSU",96,"Nicholls State",74
"157","November 12, 2011","Manhattan",62,"NJIT",48
"158","November 12, 2011","Mercer",66,"Emory",57
"159","November 12, 2011","Milwaukee",71,"Southwest State (MN)",65
"160","November 12, 2011","Mississippi State",80,"South Alabama",65
"161","November 12, 2011","North Dakota",93,"Waldorf",62
"162","November 12, 2011","Northern Colorado",75,"New Mexico State",89
"163","November 12, 2011","Notre Dame",80,"Mississippi Valley State",67
"164","November 12, 2011","Old Dominion",46,"Northern Iowa",63
"165","November 12, 2011","Oregon State",86,"Cal State Bakersfield",62
"166","November 12, 2011","Penn State",70,"Hartford",55
"167","November 12, 2011","Pepperdine",59,"Pomona-Pitzer",50
"168","November 12, 2011","Princeton",57,"Wagner",73
"169","November 12, 2011","Providence",72,"Fairleigh Dickinson",61
"170","November 12, 2011","Radford",79,"Shenandoah",50
"171","November 12, 2011","Rice",83,"New Orleans",49
"172","November 12, 2011","Sam Houston State",76,"Howard Payne",42
"173","November 12, 2011","Samford",69,"Youngstown State",76
"174","November 12, 2011","San Diego State",70,"Southern Utah",37
"175","November 12, 2011","San Francisco",69,"Northern Arizona",50
"176","November 12, 2011","Seton Hall",75,"St. Francis (NY)",71
"177","November 12, 2011","South Dakota State",82,"Western Michigan",76
"178","November 12, 2011","South Florida",61,"Vermont",59
"179","November 12, 2011","Southern Illinois",63,"Ohio Dominican",64
"180","November 12, 2011","Southern Miss",76,"Spring Hill",41
"181","November 12, 2011","Syracuse",78,"Fordham",53
"182","November 12, 2011","Virginia Tech",64,"ETSU",53
"183","November 12, 2011","Washington",91,"Georgia State",74
"184","November 12, 2011","Winthrop",59,"Eastern Kentucky",71
"185","November 12, 2011","Wisconsin",85,"Kennesaw State",31
"186","November 12, 2011","Wyoming",78,"Western State",39
"187","November 13, 2011","Arizona",73,"Ball State",63
"188","November 13, 2011","Little Rock",72,"Northwestern State",66
"189","November 13, 2011","Baylor",92,"Jackson State",59
"190","November 13, 2011","Bradley",68,"UMKC",58
"191","November 13, 2011","Bryant",78,"Southern Utah",95
"192","November 13, 2011","California",81,"George Washington",54
"193","November 13, 2011","Cincinnati",65,"Alabama State",40
"194","November 13, 2011","Creighton",95,"Chicago State",61
"195","November 13, 2011","Duquesne",84,"Green Bay",66
"196","November 13, 2011","Georgia",63,"Bowling Green State",54
"197","November 13, 2011","Georgia State",61,"Portland",66
"198","November 13, 2011","Indiana",78,"Chattanooga",53
"199","November 13, 2011","James Madison",82,"Canisius",73
"200","November 13, 2011","Lipscomb",71,"Gardner-Webb",74
"201","November 13, 2011","Longwood",91,"Virginia Intermont",73
"202","November 13, 2011","Louisiana Tech",92,"Mississippi College",70
"203","November 13, 2011","Louisville",68,"Lamar",48
"204","November 13, 2011","Loyola Marymount",51,"Middle Tennessee",58
"205","November 13, 2011","Marshall",58,"Jacksonville State",44
"206","November 13, 2011","Maryland",71,"UNC Wilmington",62
"207","November 13, 2011","Montana State",111,"Northern New Mexico",61
"208","November 13, 2011","Navy",88,"Penn State-Altoona",54
"209","November 13, 2011","UNC Asheville",75,"UNC",91
