GameDate,HomeTeamName,HomeTeamScore,AwayTeamName,AwayTeamScore
11/12/2010,Virginia,76,William & Mary,52
11/12/2010,VCU,101,UNC Greensboro,86
11/12/2010,VMI,106,Randolph,65
11/12/2010,Virginia Tech,70,Campbell,60
11/12/2010,Wagner,63,Lafayette,58
11/12/2010,Wake Forest,79,Stetson,89
11/12/2010,West Virginia,95,Oakland,71
11/12/2010,Western Illinois,83,St. Francis (IL),47
11/12/2010,Xavier,68,Western Michigan,65
11/12/2010,Youngstown State,64,Samford,61
11/13/2010,Alabama A&M,93,Talladega,77
11/13/2010,Alabama-Birmingham,78,Southeast Missouri State,56
11/13/2010,Bethune-Cookman,85,Edward Waters,49
11/13/2010,Boise State,78,Western State,52
11/13/2010,Buffalo,88,Navy,46
11/13/2010,Butler,83,Marian (IN),54
11/13/2010,Central Arkansas,87,Hendrix,46
11/13/2010,Charlotte,90,South Carolina State,81
11/13/2010,Cleveland State,78,Iona,68
11/13/2010,Coastal Carolina,79,LaGrange,40
11/13/2010,Colgate,60,Binghamton,62
11/13/2010,Colorado State,82,Arkansas-Pine Bluff,51
11/13/2010,Dayton,67,Mount St. Mary's,52
11/13/2010,Delaware State,63,Washington Adventist,56
11/13/2010,Drake,60,Texas Southern,46
11/13/2010,Duquesne,110,Bluefield (WV),67
11/13/2010,Eastern Kentucky,53,Texas-Rio Grande Valley,67
11/13/2010,Evansville,82,Oakland City,42
11/13/2010,Fairfield,62,Sacred Heart,45
11/13/2010,Gardner-Webb,76,Mary Washington,61
11/13/2010,George Mason,66,Harvard,53
11/13/2010,Green Bay,75,Minnesota-Duluth,36
11/13/2010,Hartford,62,Central Connecticut,64
11/13/2010,Hawaii,84,Cal State Fullerton,70
11/13/2010,High Point,90,Ferrum,57
11/13/2010,Hofstra,102,Farmingdale State,62
11/13/2010,Holy Cross,84,College of Charleston,93
11/13/2010,Idaho,86,Eastern Oregon,74
11/13/2010,Illinois,85,Southern Illinois,63
11/13/2010,Jacksonville State,79,West Alabama,58
11/13/2010,Kent State,90,Bryant,49
11/13/2010,Long Beach State,65,San Diego State,81
11/13/2010,Louisiana Tech,90,Austin College,58
11/13/2010,Loyola (IL),86,Indiana State,74
11/13/2010,Michigan,66,USC Upstate,35
11/13/2010,Milwaukee,76,Florida Atlantic,85
11/13/2010,Nevada,81,Montana,66
11/13/2010,New Hampshire,79,Lesley,47
11/13/2010,New Mexico,63,Detroit,54
11/13/2010,NJIT,70,Manhattan,75
