GameDate,HomeTeamName,HomeTeamScore,AwayTeamName,AwayTeamScore
1/28/2012,Presbyterian,64,Charleston Southern,75
1/28/2012,Quinnipiac,50,Wagner,51
1/28/2012,Radford,65,Liberty,67
1/28/2012,Rice,88,Tulane,74
1/28/2012,Robert Morris,68,St. Francis (NY),81
1/28/2012,Rutgers,61,Cincinnati,54
1/28/2012,Sacramento State,77,Northern Arizona,43
1/28/2012,Sacred Heart,80,Mount St. Mary's,81
1/28/2012,Saint Francis (PA),76,LIU-Brooklyn,97
1/28/2012,Samford,77,Davidson,74
1/28/2012,San Francisco,84,San Diego,70
1/28/2012,Savannah State,71,Howard,50
1/28/2012,Seton Hall,51,Louisville,60
1/28/2012,Southern,65,Alcorn State,54
1/28/2012,USC,62,Utah,45
1/28/2012,SMU,60,Tulsa,66
1/28/2012,Southern Utah,62,South Dakota,60
1/28/2012,St. Bonaventure,62,Richmond,47
1/28/2012,Stetson,64,Mercer,75
1/28/2012,Syracuse,63,West Virginia,61
1/28/2012,Temple,78,St. Joseph's,60
1/28/2012,Tennessee,64,Auburn,49
1/28/2012,Tennessee State,91,Eastern Kentucky,85
1/28/2012,Texas A&M,76,Oklahoma State,61
1/28/2012,Texas A&M-Corpus Christi,49,Stephen F. Austin,64
1/28/2012,Texas-Rio Grande Valley,81,Houston Baptist,71
1/28/2012,UTSA,78,Sam Houston State,66
1/28/2012,Texas State,79,Texas-Arlington,82
1/28/2012,Toledo,61,Kent State,77
1/28/2012,Towson,66,UNC Wilmington,61
1/28/2012,UCLA,77,Colorado,60
1/28/2012,Utah State,82,San Jose State,65
1/28/2012,Utah Valley,81,NJIT,58
1/28/2012,Vanderbilt,84,Middle Tennessee,77
1/28/2012,Villanova,78,Marquette,82
1/28/2012,Western Illinois,57,IUPUI,55
1/28/2012,Western Michigan,73,Miami (OH),64
1/28/2012,Winthrop,47,High Point,52
1/28/2012,Yale,62,Dartmouth,52
1/28/2012,Youngstown State,47,Cleveland State,67
1/29/2012,Boston College,54,Miami (FL),76
1/29/2012,California,69,Stanford,59
1/29/2012,Canisius,52,Loyola (MD),70
1/29/2012,UConn,48,Notre Dame,50
1/29/2012,Evansville,81,Indiana State,90
1/29/2012,Fairfield,81,Marist,53
1/29/2012,Indiana,103,Iowa,89
1/29/2012,Lehigh,83,Army,64
1/29/2012,McNeese State,87,Central Arkansas,76
1/29/2012,Niagara,70,Manhattan,87
1/29/2012,UNC,93,Georgia Tech,81
1/29/2012,Ohio State,64,Michigan,49
1/29/2012,Oregon,71,Oregon State,76
1/29/2012,Portland State,67,Montana,69
1/29/2012,Rider,83,Siena,72
1/29/2012,St. Peter's,40,Iona,64
1/29/2012,South Alabama,68,Troy,66
1/29/2012,South Florida,81,Providence,78
1/29/2012,Vermont,77,New Hampshire,60
1/30/2012,Alabama A&M,64,Prairie View,54
1/30/2012,Alabama State,66,Texas Southern,59
1/30/2012,Arkansas-Pine Bluff,73,Jackson State,69
1/30/2012,Belmont,83,North Florida,69
1/30/2012,UCF,84,Palm Beach Atlantic,69
1/30/2012,ETSU,70,James Madison,56
1/30/2012,Eastern Illinois,53,Southeast Missouri State,74
1/30/2012,Florida Gulf Coast,66,Mercer,75
1/30/2012,Hampton,68,Morgan State,63
1/30/2012,Jacksonville State,77,USC Upstate,82
1/30/2012,Lipscomb,82,Jacksonville,68
1/30/2012,Mississippi Valley State,77,Grambling,59
1/30/2012,Norfolk State,82,Coppin State,87
1/30/2012,North Carolina A&T,41,Delaware State,56
1/30/2012,North Carolina Central,77,Maryland-Eastern Shore,46
1/30/2012,Northern Arizona,62,Northern Colorado,64
1/30/2012,Penn,82,Princeton,67
1/30/2012,Samford,52,College of Charleston,68
1/30/2012,South Carolina State,76,Howard,82
1/30/2012,Stetson,75,Kennesaw State,59
1/30/2012,Tennessee State,77,Austin Peay,57
1/30/2012,Tennessee Tech,98,SIU-Edwardsville,80
1/30/2012,Texas,66,Missouri,67
1/30/2012,West Virginia,66,Pitt,72
1/30/2012,Wofford,82,Western Carolina,56
1/31/2012,Air Force,42,New Mexico,81
1/31/2012,Arkansas,82,Vanderbilt,74
1/31/2012,Central Michigan,60,Kent State,67
1/31/2012,Illinois,42,Michigan State,41
1/31/2012,Iowa State,72,Kansas State,70
1/31/2012,Kentucky,69,Tennessee,44
1/31/2012,Marquette,66,Seton Hall,59
1/31/2012,Milwaukee,65,Youngstown State,73
1/31/2012,Northern Iowa,58,Southern Illinois,49
1/31/2012,Penn State,46,Wisconsin,52
1/31/2012,Savannah State,86,Trinity Baptist,56
1/31/2012,Texas Tech,63,Oklahoma State,80
1/31/2012,Virginia,65,Clemson,61
1/31/2012,Wake Forest,53,UNC,68
2/1/2012,Akron,86,Toledo,72
2/1/2012,Alabama-Birmingham,80,Houston,69
2/1/2012,Albany (NY),87,UMBC,76
2/1/2012,Auburn,59,Georgia,51
2/1/2012,Boston College,51,NC State,56
2/1/2012,Boston University,67,Vermont,68
2/1/2012,Bradley,62,Evansville,92
2/1/2012,Buffalo,73,Ball State,57
2/1/2012,Central Arkansas,68,Northwestern State,79
2/1/2012,Creighton,102,Illinois State,74
2/1/2012,Dayton,73,Duquesne,83
2/1/2012,Delaware,65,George Mason,60
2/1/2012,DePaul,81,St. John's (NY),87
2/1/2012,East Carolina,62,SMU,43
2/1/2012,Florida State,68,Georgia Tech,54
2/1/2012,Furman,53,Davidson,71
2/1/2012,George Washington,58,Xavier,59
2/1/2012,Georgetown,58,UConn,44
2/1/2012,Hofstra,74,Towson,49
2/1/2012,Indiana State,61,Drake,54
2/1/2012,Iowa,63,Minnesota,59
2/1/2012,IUPUI,79,Oakland,75
2/1/2012,Kansas,84,Oklahoma,62
2/1/2012,La Salle,85,Charlotte,72
2/1/2012,Marshall,63,Tulane,44
2/1/2012,Miami (FL),90,Maryland,86
2/1/2012,Miami (OH),62,Eastern Michigan,57
2/1/2012,Michigan,68,Indiana,56
2/1/2012,Missouri State,67,Wichita State,74
2/1/2012,UNLV,82,Colorado State,63
2/1/2012,New Hampshire,52,Hartford,51
2/1/2012,New Mexico State,78,Cal State Bakersfield,57
2/1/2012,Nicholls State,65,Texas A&M-Corpus Christi,61
2/1/2012,NJIT,73,Colgate,76
2/1/2012,UNC Wilmington,53,Georgia State,68
2/1/2012,Northeastern,53,Drexel,61
2/1/2012,Northern Illinois,58,Ohio,67
2/1/2012,Providence,78,Rutgers,67
2/1/2012,Rhode Island,81,UMass,78
2/1/2012,Rice,77,UTEP,75
2/1/2012,Richmond,60,St. Joseph's,70
2/1/2012,Saint Louis,86,St. Bonaventure,62
2/1/2012,Sam Houston State,61,McNeese State,67
2/1/2012,San Diego State,58,Boise State,56
2/1/2012,Southeastern Louisiana,59,Lamar,83
2/1/2012,Southern Miss,75,Memphis,72
2/1/2012,Stephen F. Austin,71,Texas State,63
2/1/2012,Stony Brook,82,Binghamton,48
2/1/2012,Temple,78,Fordham,60
2/1/2012,Texas A&M,60,Baylor,63
2/1/2012,Texas-Arlington,67,UTSA,66
2/1/2012,TCU,58,Wyoming,52
2/1/2012,Western Michigan,48,Bowling Green State,72
2/1/2012,William & Mary,78,VCU,87
2/2/2012,Appalachian State,52,Samford,53
2/2/2012,Arkansas State,72,Louisiana-Monroe,64
2/2/2012,Austin Peay,88,Tennessee Tech,94
2/2/2012,BYU,83,Gonzaga,73
2/2/2012,Butler,64,Wright State,53
2/2/2012,Cal State Fullerton,83,Cal Poly,61
2/2/2012,Cal State Northridge,70,UCSB,85
2/2/2012,California,74,Arizona,78
2/2/2012,UC-Irvine,68,UC-Davis,61
2/2/2012,UC-Riverside,52,Pacific,60
2/2/2012,Campbell,62,Charleston Southern,57
2/2/2012,Colorado,82,Oregon State,60
2/2/2012,Eastern Illinois,43,Eastern Kentucky,47
2/2/2012,Elon,99,College of Charleston,98
2/2/2012,Fairleigh Dickinson,48,Quinnipiac,65
2/2/2012,Florida,74,South Carolina,66
2/2/2012,Fresno State,65,Idaho,55
2/2/2012,High Point,62,Presbyterian,65
2/2/2012,Houston Baptist,69,North Dakota,62
2/2/2012,UIC,72,Youngstown State,68
2/2/2012,Iona,105,Canisius,86
2/2/2012,Liberty,63,Gardner-Webb,58
2/2/2012,LIU-Brooklyn,75,Bryant,70
2/2/2012,Longwood,103,Southern Virginia,84
2/2/2012,Louisiana,72,Denver,71
2/2/2012,Loyola Marymount,67,Pepperdine,57
2/2/2012,Manhattan,73,Marist,51
2/2/2012,Monmouth,63,Sacred Heart,56
2/2/2012,Montana State,86,Idaho State,87
2/2/2012,Mount St. Mary's,64,Saint Francis (PA),51
2/2/2012,Murray State,81,Southeast Missouri State,73
2/2/2012,Nevada,53,Utah State,52
2/2/2012,UNC Greensboro,82,Citadel,71
2/2/2012,North Dakota State,85,Southern Utah,64
2/2/2012,North Texas,66,Middle Tennessee,68
2/2/2012,Northern Arizona,68,Eastern Washington,74
2/2/2012,Northern Colorado,62,Sacramento State,73
2/2/2012,Northwestern,84,Nebraska,74
2/2/2012,Old Dominion,80,James Madison,71
2/2/2012,Radford,63,Winthrop,77
2/2/2012,Saint Mary's,84,San Diego,73
2/2/2012,Santa Clara,78,Portland,84
2/2/2012,South Alabama,65,Florida Atlantic,56
2/2/2012,South Dakota State,75,Oral Roberts,60
2/2/2012,SIU-Edwardsville,61,Morehead State,53
2/2/2012,St. Francis (NY),73,Central Connecticut,67
2/2/2012,Stanford,68,Arizona State,44
2/2/2012,UT-Martin,74,Jacksonville State,85
2/2/2012,Texas-Rio Grande Valley,69,Utah Valley,77
2/2/2012,Troy,50,Florida International,63
2/2/2012,Utah,68,Oregon,79
2/2/2012,Valparaiso,78,Detroit,73
2/2/2012,VMI,86,UNC Asheville,89
2/2/2012,Virginia Tech,60,Duke,75
2/2/2012,Wagner,80,Robert Morris,69
2/2/2012,Washington,71,UCLA,69
2/2/2012,Washington State,60,USC,53
2/2/2012,Weber State,92,Portland State,79
2/2/2012,Western Carolina,82,Chattanooga,76
2/2/2012,Western Illinois,62,Fort Wayne,52
2/3/2012,Brown,63,Princeton,77
2/3/2012,Dartmouth,62,Columbia,64
2/3/2012,Fairfield,77,Niagara,69
2/3/2012,Harvard,71,Cornell,60
2/3/2012,Lipscomb,58,Belmont,84
2/3/2012,Loyola (IL),47,Cleveland State,65
2/3/2012,Loyola (MD),63,Rider,46
2/3/2012,Siena,58,St. Peter's,63
2/3/2012,Yale,60,Penn,53
2/4/2012,Akron,77,Eastern Michigan,47
2/4/2012,Alabama,69,Ole Miss,67
2/4/2012,Albany (NY),69,Stony Brook,76
2/4/2012,Appalachian State,62,College of Charleston,74
2/4/2012,Little Rock,70,Louisiana-Monroe,66
2/4/2012,Arkansas-Pine Bluff,81,Alabama A&M,75
2/4/2012,Ball State,53,Miami (OH),59
2/4/2012,Bethune-Cookman,92,North Carolina A&T,79
2/4/2012,Binghamton,53,Boston University,68
2/4/2012,Boise State,49,New Mexico,65
2/4/2012,Bowling Green State,65,Northern Illinois,40
2/4/2012,Brown,48,Penn,65
2/4/2012,Bucknell,81,Army,68
2/4/2012,Butler,61,Detroit,65
2/4/2012,Cal State Bakersfield,69,Cal Poly,66
2/4/2012,Cal State Fullerton,99,UCSB,86
2/4/2012,California,68,Arizona State,47
2/4/2012,UC-Irvine,64,Pacific,72
2/4/2012,UC-Riverside,59,UC-Davis,54
2/4/2012,Campbell,67,Presbyterian,69
2/4/2012,Central Arkansas,61,Texas-Arlington,69
2/4/2012,Chicago State,64,NJIT,73
2/4/2012,Cincinnati,74,DePaul,66
2/4/2012,Coastal Carolina,71,Charleston Southern,58
2/4/2012,Colgate,58,American,59
2/4/2012,Colorado,72,Oregon,71
2/4/2012,Colorado State,67,Air Force,49
2/4/2012,UConn,69,Seton Hall,46
2/4/2012,Dartmouth,59,Cornell,68
2/4/2012,Davidson,88,Chattanooga,61
2/4/2012,Delaware State,67,Norfolk State,50
2/4/2012,Denver,75,Middle Tennessee,60
2/4/2012,Drake,39,Missouri State,57
2/4/2012,Duquesne,81,Richmond,72
2/4/2012,East Carolina,82,Rice,68
2/4/2012,Eastern Illinois,55,Morehead State,56
2/4/2012,Eastern Washington,71,Sacramento State,75
2/4/2012,Elon,71,Citadel,66
2/4/2012,Fairleigh Dickinson,57,Sacred Heart,66
2/4/2012,Florida,73,Vanderbilt,65
2/4/2012,Florida A&M,61,North Carolina Central,78
2/4/2012,Florida Atlantic,56,Florida International,76
2/4/2012,Florida State,58,Virginia,55
2/4/2012,Fordham,62,Charlotte,69
2/4/2012,Fresno State,60,Utah State,54
2/4/2012,Furman,93,UNC Greensboro,85
2/4/2012,George Mason,54,Old Dominion,50
2/4/2012,George Washington,75,UMass,86
2/4/2012,Georgetown,75,South Florida,45
2/4/2012,Georgia Tech,51,Boston College,47
2/4/2012,Grambling,53,Southern,57
2/4/2012,Green Bay,75,Milwaukee,81
2/4/2012,Harvard,57,Columbia,52
2/4/2012,High Point,81,Gardner-Webb,77
2/4/2012,Hofstra,43,Georgia State,59
2/4/2012,Houston Baptist,66,Utah Valley,68
2/4/2012,Illinois State,78,Bradley,48
2/4/2012,Iowa,77,Penn State,64
2/4/2012,IUPUI,66,Fort Wayne,63
2/4/2012,Jackson State,46,Alcorn State,57
2/4/2012,Jacksonville,55,Florida Gulf Coast,65
2/4/2012,Jacksonville State,68,Tennessee Tech,76
2/4/2012,James Madison,80,Delaware,85
2/4/2012,Kansas State,64,Texas A&M,53
2/4/2012,Kennesaw State,59,ETSU,64
2/4/2012,Kent State,78,Western Michigan,73
2/4/2012,Lafayette,62,Navy,41
2/4/2012,Lamar,80,UTSA,66
2/4/2012,Lehigh,75,Holy Cross,51
2/4/2012,Liberty,51,UNC Asheville,65
2/4/2012,Long Beach State,75,Cal State Northridge,67
2/4/2012,LIU-Brooklyn,95,Central Connecticut,80
2/4/2012,LSU,71,Arkansas,65
2/4/2012,Louisville,78,Rutgers,66
2/4/2012,Loyola Marymount,90,San Francisco,88
2/4/2012,Manhattan,73,Iona,85
2/4/2012,Marist,80,Canisius,69
2/4/2012,Maryland,74,UNC,83
2/4/2012,UMBC,76,Maine,77
2/4/2012,Maryland-Eastern Shore,78,Howard,65
2/4/2012,Memphis,72,Xavier,68
2/4/2012,Mercer,61,USC Upstate,47
2/4/2012,Mississippi State,91,Auburn,88
2/4/2012,Mississippi Valley State,70,Alabama State,58
2/4/2012,Missouri,74,Kansas,71
2/4/2012,Monmouth,48,Quinnipiac,71
2/4/2012,Montana State,58,Montana,67
2/4/2012,Morgan State,86,Coppin State,88
2/4/2012,Mount St. Mary's,62,Robert Morris,67
2/4/2012,Nevada,68,Idaho,72
2/4/2012,New Mexico State,83,Louisiana Tech,72
2/4/2012,Nicholls State,96,Texas State,75
2/4/2012,NC State,87,Wake Forest,76
2/4/2012,UNC Wilmington,81,William & Mary,68
2/4/2012,North Dakota State,76,Oral Roberts,85
2/4/2012,North Florida,99,Stetson,96
2/4/2012,Northern Arizona,65,Portland State,76
2/4/2012,Northern Iowa,65,Creighton,62
2/4/2012,Northwestern State,82,Texas A&M-Corpus Christi,68
2/4/2012,Notre Dame,76,Marquette,59
2/4/2012,Ohio,68,Central Michigan,42
2/4/2012,Oklahoma,70,Iowa State,77
2/4/2012,Oklahoma State,60,Baylor,64
2/4/2012,Pepperdine,60,Gonzaga,72
2/4/2012,Portland,60,BYU,79
2/4/2012,Prairie View,73,Texas Southern,67
2/4/2012,Purdue,61,Indiana,78
2/4/2012,Rhode Island,56,Temple,73
2/4/2012,St. Joseph's,70,La Salle,66
2/4/2012,Saint Louis,58,Dayton,50
2/4/2012,San Diego,70,Santa Clara,65
2/4/2012,San Diego State,83,TCU,73
2/4/2012,San Jose State,81,Hawaii,83
2/4/2012,Seattle,75,Arkansas State,69
2/4/2012,South Carolina,52,Kentucky,86
2/4/2012,South Carolina State,60,Savannah State,73
2/4/2012,South Dakota,79,UMKC,63
2/4/2012,South Dakota State,66,Southern Utah,56
2/4/2012,Southeast Missouri State,72,Tennessee State,75
2/4/2012,Southeastern Louisiana,55,Sam Houston State,57
2/4/2012,Southern Illinois,53,Evansville,52
2/4/2012,SIU-Edwardsville,80,Eastern Kentucky,74
2/4/2012,SMU,52,UCF,59
2/4/2012,St. Francis (NY),80,Bryant,67
2/4/2012,St. John's (NY),70,Syracuse,95
2/4/2012,Stanford,43,Arizona,56
2/4/2012,Tennessee,73,Georgia,62
2/4/2012,UT-Martin,58,Murray State,65
2/4/2012,Texas,74,Texas Tech,57
2/4/2012,UTEP,60,Alabama-Birmingham,61
2/4/2012,Texas-Rio Grande Valley,70,North Dakota,58
2/4/2012,Toledo,65,Buffalo,72
2/4/2012,Towson,57,Drexel,65
2/4/2012,Troy,78,Louisiana,83
2/4/2012,Tulane,75,Houston,54
2/4/2012,Tulsa,79,Marshall,70
2/4/2012,Utah,58,Oregon State,76
2/4/2012,Valparaiso,63,Wright State,54
2/4/2012,Vermont,82,Hartford,56
2/4/2012,VCU,59,Northeastern,56
2/4/2012,VMI,86,Winthrop,79
2/4/2012,Virginia Tech,67,Clemson,65
2/4/2012,Wagner,72,Saint Francis (PA),54
2/4/2012,Washington,69,USC,41
2/4/2012,Washington State,60,UCLA,63
2/4/2012,Weber State,93,Northern Colorado,81
2/4/2012,Western Carolina,65,Georgia Southern,68
2/4/2012,Western Illinois,70,Oakland,74
2/4/2012,Western Kentucky,75,South Alabama,66
2/4/2012,Wichita State,71,Indiana State,66
2/4/2012,Wisconsin,52,Ohio State,58
2/4/2012,Wofford,61,Samford,66
2/4/2012,Wyoming,68,UNLV,66
2/4/2012,Yale,58,Princeton,54
2/5/2012,Duke,74,Miami (FL),78
2/5/2012,Fairfield,64,Siena,56
2/5/2012,Illinois,70,Northwestern,74
2/5/2012,UIC,42,Cleveland State,70
2/5/2012,Loyola (IL),63,Youngstown State,80
2/5/2012,McNeese State,66,Stephen F. Austin,56
2/5/2012,Michigan State,64,Michigan,54
2/5/2012,Nebraska,61,Minnesota,69
2/5/2012,Pitt,79,Villanova,70
2/5/2012,Providence,84,West Virginia,87
2/5/2012,Rider,74,Niagara,73
2/5/2012,St. Peter's,55,Loyola (MD),66
2/6/2012,Albany (NY),78,Boston University,81
2/6/2012,Arkansas-Pine Bluff,62,Alabama State,61
2/6/2012,Belmont,94,Austin Peay,55
2/6/2012,Bethune-Cookman,79,North Carolina Central,81
2/6/2012,Davidson,76,Wofford,54
2/6/2012,Delaware State,77,Hampton,69
2/6/2012,DePaul,76,Marquette,89
2/6/2012,Elon,82,Appalachian State,59
2/6/2012,Florida A&M,87,North Carolina A&T,77
2/6/2012,Georgia Southern,64,Furman,57
2/6/2012,Grambling,55,Alcorn State,57
2/6/2012,Jackson State,44,Southern,49
2/6/2012,Jacksonville,74,Stetson,63
2/6/2012,Kennesaw State,58,USC Upstate,70
2/6/2012,Louisville,80,UConn,59
2/6/2012,Maine,63,Vermont,73
2/6/2012,Maryland-Eastern Shore,60,Norfolk State,72
2/6/2012,Mercer,54,ETSU,46
2/6/2012,Mississippi Valley State,78,Alabama A&M,64
2/6/2012,Montana,76,Idaho State,40
2/6/2012,Morgan State,46,Howard,54
2/6/2012,New Hampshire,48,Stony Brook,57
2/6/2012,North Florida,68,Florida Gulf Coast,62
2/6/2012,Oklahoma,68,Missouri,71
2/6/2012,Savannah State,55,Texas A&M-Corpus Christi,49
2/6/2012,South Carolina State,74,Longwood,58
2/6/2012,Texas A&M,68,Texas,70
2/7/2012,Auburn,50,Alabama,68
2/7/2012,Chicago State,63,Fort Wayne,57
2/7/2012,Clemson,62,Maryland,64
2/7/2012,Coastal Carolina,75,Campbell,81
2/7/2012,Eastern Kentucky,59,Mid-Continent,41
2/7/2012,Evansville,65,Creighton,57
2/7/2012,Idaho,70,Seattle,69
2/7/2012,Kansas State,65,Texas Tech,46
2/7/2012,Kentucky,78,Florida,58
2/7/2012,UMBC,70,Hartford,76
2/7/2012,Ohio State,87,Purdue,84
2/7/2012,Oklahoma State,69,Iowa State,67
2/7/2012,Villanova,74,Providence,72
2/8/2012,Alabama-Birmingham,71,Southern Miss,61
2/8/2012,Army,74,Lafayette,90
2/8/2012,Ball State,54,Bowling Green State,61
2/8/2012,Baylor,54,Kansas,68
2/8/2012,Bethune-Cookman,84,Houston Baptist,76
2/8/2012,Boston College,64,Florida State,60
2/8/2012,Bradley,68,Indiana State,60
2/8/2012,UCF,67,Marshall,60
2/8/2012,Central Michigan,62,Buffalo,66
2/8/2012,Colgate,50,Bucknell,66
2/8/2012,Delaware,71,UNC Wilmington,53
2/8/2012,East Carolina,59,Memphis,70
2/8/2012,Eastern Michigan,58,Kent State,62
2/8/2012,Fairleigh Dickinson,62,Monmouth,75
2/8/2012,George Mason,72,Hofstra,62
2/8/2012,Georgia,81,Arkansas,59
2/8/2012,Georgia State,61,Northeastern,59
2/8/2012,Houston,71,Rice,79
2/8/2012,Illinois State,64,Drake,53
2/8/2012,James Madison,56,Drexel,63
2/8/2012,Lamar,85,Northwestern State,66
2/8/2012,LIU-Brooklyn,86,St. Francis (NY),77
2/8/2012,UMass,76,St. Bonaventure,67
2/8/2012,Michigan State,77,Penn State,57
2/8/2012,Morehead State,55,Jacksonville State,69
2/8/2012,Mount St. Mary's,44,Wagner,59
2/8/2012,Navy,52,Holy Cross,64
2/8/2012,Nebraska,46,Michigan,62
2/8/2012,UNC,84,Duke,85
2/8/2012,Northern Illinois,62,Miami (OH),59
2/8/2012,Quinnipiac,72,Central Connecticut,44
2/8/2012,Richmond,78,La Salle,76
2/8/2012,Rutgers,54,Seton Hall,59
2/8/2012,Sacred Heart,79,Bryant,77
2/8/2012,Saint Francis (PA),74,Robert Morris,78
2/8/2012,St. Joseph's,60,Saint Louis,72
2/8/2012,Sam Houston State,63,Texas-Arlington,75
2/8/2012,South Florida,63,Pitt,51
2/8/2012,Southern Illinois,54,Missouri State,56
2/8/2012,SMU,68,TCU,62
2/8/2012,St. John's (NY),54,Cincinnati,76
2/8/2012,Stephen F. Austin,62,Nicholls State,58
2/8/2012,Syracuse,64,Georgetown,61
2/8/2012,Temple,79,George Washington,72
2/8/2012,Tennessee,69,South Carolina,57
2/8/2012,UTEP,64,Tulsa,55
2/8/2012,Texas-Rio Grande Valley,73,Cal State Bakersfield,67
2/8/2012,UTSA,59,Southeastern Louisiana,51
2/8/2012,Texas State,94,Central Arkansas,63
2/8/2012,Toledo,77,Ohio,73
2/8/2012,Vanderbilt,76,LSU,61
2/8/2012,Virginia,68,Wake Forest,44
2/8/2012,VCU,66,Towson,43
2/8/2012,West Virginia,51,Notre Dame,55
2/8/2012,Western Michigan,66,Akron,69
2/8/2012,Wichita State,82,Northern Iowa,57
2/8/2012,William & Mary,51,Old Dominion,70
2/8/2012,Xavier,84,Rhode Island,66
2/9/2012,American,71,Lehigh,62
2/9/2012,Arizona,71,Colorado,57
2/9/2012,Arizona State,57,Utah,52
2/9/2012,Boston University,67,Maine,54
2/9/2012,Cal Poly,54,UC-Riverside,52
2/9/2012,Cal State Fullerton,100,UC-Irvine,94
2/9/2012,UC-Davis,79,Cal State Northridge,71
2/9/2012,Campbell,67,Winthrop,58
2/9/2012,Canisius,66,Rider,71
2/9/2012,Charleston Southern,74,Liberty,75
2/9/2012,Chattanooga,83,Elon,75
2/9/2012,Chicago State,69,North Dakota,75
2/9/2012,Citadel,66,Davidson,77
2/9/2012,Cleveland State,41,Valparaiso,59
2/9/2012,Coastal Carolina,65,High Point,70
2/9/2012,College of Charleston,62,Western Carolina,58
2/9/2012,Fairfield,60,Manhattan,54
2/9/2012,Florida Atlantic,72,Denver,71
2/9/2012,Florida International,61,North Texas,68
2/9/2012,Furman,69,Appalachian State,79
2/9/2012,Gardner-Webb,54,Radford,58
2/9/2012,Georgia Southern,63,Wofford,49
2/9/2012,Georgia Tech,52,NC State,61
2/9/2012,Gonzaga,73,Saint Mary's,59
2/9/2012,Hawaii,79,Nevada,88
2/9/2012,Idaho,59,New Mexico State,58
2/9/2012,Idaho State,54,Portland State,67
2/9/2012,Indiana,84,Illinois,71
2/9/2012,Louisiana,70,Little Rock,72
2/9/2012,Miami (FL),65,Virginia Tech,49
2/9/2012,Middle Tennessee,72,Western Kentucky,64
2/9/2012,Minnesota,61,Wisconsin,68
2/9/2012,Mississippi State,70,Ole Miss,60
2/9/2012,UMKC,72,North Dakota State,61
2/9/2012,Murray State,68,Tennessee State,72
2/9/2012,New Hampshire,69,Albany (NY),64
2/9/2012,Niagara,58,Siena,54
2/9/2012,NJIT,97,Utah Valley,99
2/9/2012,Northern Arizona,49,Weber State,67
2/9/2012,Northern Colorado,68,Montana,75
2/9/2012,Northwestern,83,Iowa,64
2/9/2012,Oral Roberts,76,IUPUI,74
2/9/2012,Oregon,82,Washington,57
2/9/2012,Oregon State,73,Washington State,83
2/9/2012,Pacific,66,Long Beach State,74
2/9/2012,Pepperdine,57,San Diego,70
2/9/2012,Portland,62,Loyola Marymount,76
2/9/2012,Presbyterian,94,VMI,74
2/9/2012,Sacramento State,86,Montana State,76
2/9/2012,St. Peter's,47,Marist,66
2/9/2012,Samford,69,UNC Greensboro,71
2/9/2012,San Francisco,85,Santa Clara,69
2/9/2012,San Jose State,79,Fresno State,71
2/9/2012,South Alabama,74,Arkansas State,57
2/9/2012,South Dakota,72,South Dakota State,68
2/9/2012,Southeast Missouri State,86,UT-Martin,56
2/9/2012,USC,49,California,75
2/9/2012,Southern Utah,60,Western Illinois,44
2/9/2012,Stony Brook,80,UMBC,68
2/9/2012,Tennessee Tech,57,Eastern Illinois,74
2/9/2012,UCLA,72,Stanford,61
2/9/2012,Utah State,77,Louisiana Tech,63
2/9/2012,Youngstown State,59,Butler,68
2/10/2012,Columbia,86,Brown,60
2/10/2012,Cornell,85,Yale,84
2/10/2012,Detroit,58,Milwaukee,57
2/10/2012,Kennesaw State,57,Mercer,61
2/10/2012,Loyola (MD),87,Iona,81
2/10/2012,Penn,50,Harvard,56
2/10/2012,Princeton,59,Dartmouth,47
2/10/2012,Wright State,48,Green Bay,53
2/11/2012,Air Force,61,Boise State,72
2/11/2012,Akron,75,Northern Illinois,51
2/11/2012,Alabama A&M,47,Alabama State,57
2/11/2012,Alcorn State,63,Mississippi Valley State,71
2/11/2012,Appalachian State,64,Wofford,66
2/11/2012,Arizona,70,Utah,61
2/11/2012,Arizona State,49,Colorado,63
2/11/2012,Arkansas,76,South Carolina,65
2/11/2012,Army,69,Navy,63
2/11/2012,Bowling Green State,66,Toledo,63
2/11/2012,BYU,86,Pepperdine,48
2/11/2012,Bryant,46,Sacred Heart,72
2/11/2012,Bucknell,90,Lafayette,78
2/11/2012,Buffalo,59,Western Michigan,57
2/11/2012,Cal Poly,77,UC-Irvine,74
2/11/2012,UC-Davis,69,Long Beach State,89
2/11/2012,UCSB,60,UC-Riverside,52
2/11/2012,Canisius,50,Siena,60
2/11/2012,Central Arkansas,56,McNeese State,71
2/11/2012,Charleston Southern,70,High Point,67
2/11/2012,Charlotte,73,Rhode Island,66
2/11/2012,Chattanooga,76,UNC Greensboro,77
2/11/2012,Chicago State,61,Utah Valley,66
2/11/2012,Citadel,72,Georgia Southern,73
2/11/2012,Cleveland State,49,Butler,52
2/11/2012,College of Charleston,86,Davidson,78
2/11/2012,Columbia,58,Yale,59
2/11/2012,Coppin State,81,Delaware State,84
2/11/2012,Cornell,72,Brown,63
2/11/2012,Creighton,68,Wichita State,89
2/11/2012,Drexel,78,Hofstra,67
2/11/2012,Duke,73,Maryland,55
2/11/2012,ETSU,65,North Florida,50
2/11/2012,Eastern Kentucky,45,Morehead State,58
2/11/2012,Eastern Michigan,68,Ohio,55
2/11/2012,Florida,70,Tennessee,75
2/11/2012,Florida Atlantic,86,North Texas,81
2/11/2012,Florida Gulf Coast,63,Belmont,86
