"","GameDate","HomeTeamName","HomeTeamScore","AwayTeamName","AwayTeamScore"
"1","November 13, 2015","Abilene Christian",94,"University of the Southwest",63
"2","November 13, 2015","Alabama",77,"Kennesaw State",64
"3","November 13, 2015","Arizona",79,"Pacific",61
"4","November 13, 2015","Arizona State",63,"Sacramento State",66
"5","November 13, 2015","Arkansas",86,"Southern",68
"6","November 13, 2015","Army",93,"Ferrum",54
"7","November 13, 2015","Auburn",75,"Alabama-Birmingham",74
"8","November 13, 2015","Baylor",97,"Stephen F. Austin",55
"9","November 13, 2015","Bethune-Cookman",108,"Trinity (FL)",54
"10","November 13, 2015","Boston University",84,"Northeastern",87
"11","November 13, 2015","Bradley",54,"Ball State",53
"12","November 13, 2015","BYU",85,"Utah Valley",54
"13","November 13, 2015","Bucknell",107,"Shenandoah",61
"14","November 13, 2015","Buffalo",109,"Pittsburgh-Bradford",49
"15","November 13, 2015","California",97,"Rice",65
"16","November 13, 2015","UC-Davis",71,"North Dakota State",79
"17","November 13, 2015","UC-Irvine",89,"UC-San Diego",73
"18","November 13, 2015","Campbell",87,"Montreat",42
"19","November 13, 2015","Central Connecticut",83,"Hartford",92
"20","November 13, 2015","Central Michigan",89,"Jacksonville State",83
"21","November 13, 2015","Charlotte",74,"Elon",85
"22","November 13, 2015","Chicago State",137,"Illinois Tech",59
"23","November 13, 2015","Cincinnati",97,"Western Carolina",72
"24","November 13, 2015","Clemson",74,"North Carolina Central",40
"25","November 13, 2015","Coastal Carolina",56,"Nevada",73
"26","November 13, 2015","College of Charleston",74,"South Carolina State",54
"27","November 13, 2015","Columbia",107,"Kean",62
"28","November 13, 2015","UConn",100,"Maine",56
"29","November 13, 2015","Dayton",84,"Southeast Missouri State",53
"30","November 13, 2015","Delaware State",56,"Delaware",62
"31","November 13, 2015","Denver",58,"Milwaukee",71
"32","November 13, 2015","Drake",97,"Simpson",52
"33","November 13, 2015","Duke",92,"Siena",74
"34","November 13, 2015","Duquesne",96,"Seton Hill",71
"35","November 13, 2015","East Carolina",61,"Grambling",53
"36","November 13, 2015","Eastern Kentucky",107,"Coppin State",80
"37","November 13, 2015","Eastern Michigan",70,"Vermont",50
"38","November 13, 2015","Florida A&M",103,"Johnson University",71
"39","November 13, 2015","Florida International",71,"Trinity Baptist",39
"40","November 13, 2015","Fresno State",69,"Pepperdine",66
"41","November 13, 2015","Furman",63,"Presbyterian",53
"42","November 13, 2015","George Mason",53,"Colgate",66
"43","November 13, 2015","George Washington",85,"Lafayette",76
"44","November 13, 2015","Georgia",90,"Chattanooga",92
"45","November 13, 2015","Georgia Southern",116,"Webber",49
"46","November 13, 2015","Georgia State",73,"Middle Georgia State",54
"47","November 13, 2015","Georgia Tech",116,"Cornell",81
"48","November 13, 2015","Grand Canyon",82,"Portland State",72
"49","November 13, 2015","Harvard",59,"MIT",39
"50","November 13, 2015","Hawaii",87,"Montana State",76
"51","November 13, 2015","Hofstra",96,"Canisius",85
"52","November 13, 2015","Idaho State",78,"Great Falls",72
"53","November 13, 2015","Illinois",81,"North Florida",93
"54","November 13, 2015","UIC",75,"San Francisco",78
"55","November 13, 2015","Incarnate Word",86,"Texas Lutheran",65
"56","November 13, 2015","Indiana",88,"Eastern Illinois",49
"57","November 13, 2015","Indiana State",70,"IUPUI",72
"58","November 13, 2015","Iowa",76,"Gardner-Webb",59
"59","November 13, 2015","Iowa State",68,"Colorado",62
"60","November 13, 2015","Kansas",109,"Northern Colorado",72
"61","November 13, 2015","Kansas State",80,"Maryland-Eastern Shore",53
"62","November 13, 2015","Kentucky",78,"Albany (NY)",65
"63","November 13, 2015","Lamar",101,"Austin College",58
"64","November 13, 2015","Liberty",64,"Covenant",62
"65","November 13, 2015","Longwood",69,"Randolph",49
"66","November 13, 2015","Louisiana",108,"Louisiana College",68
"67","November 13, 2015","Louisiana-Monroe",88,"McMurry",43
"68","November 13, 2015","LSU",81,"McNeese State",70
"69","November 13, 2015","Louisiana Tech",95,"Millsaps",33
"70","November 13, 2015","Louisville",86,"Samford",45
"71","November 13, 2015","Loyola (IL)",76,"UTSA",64
"72","November 13, 2015","Loyola Marymount",79,"Cal State Fullerton",74
"73","November 13, 2015","Loyola (MD)",71,"Tennessee State",86
"74","November 13, 2015","Marist",64,"Holy Cross",67
"75","November 13, 2015","Marquette",80,"Belmont",83
"76","November 13, 2015","Maryland",80,"Mount St. Mary's",56
"77","November 13, 2015","Mercer",96,"Allen",70
"78","November 13, 2015","Miami (FL)",86,"Texas-Rio Grande Valley",59
"79","November 13, 2015","Michigan",70,"Northern Michigan",44
"80","November 13, 2015","Michigan State",82,"Florida Atlantic",55
"81","November 13, 2015","Minnesota",76,"UMKC",58
"82","November 13, 2015","Ole Miss",90,"Northwestern State",76
"83","November 13, 2015","Mississippi State",106,"Eastern Washington",88
"84","November 13, 2015","Missouri",83,"Wofford",74
"85","November 13, 2015","Montana",74,"Boise State",72
"86","November 13, 2015","Morehead State",87,"Cincinnati Christian",51
"87","November 13, 2015","Murray State",105,"Harris-Stowe",55
"88","November 13, 2015","Navy",41,"Florida",59
"89","November 13, 2015","Omaha",59,"UCSB",60
"90","November 13, 2015","UNLV",74,"Cal Poly",72
"91","November 13, 2015","New Hampshire",82,"Lyndon State",45
"92","November 13, 2015","New Mexico",86,"Texas Southern",57
"93","November 13, 2015","New Mexico State",91,"Houston Baptist",69
"94","November 13, 2015","NC State",68,"William & Mary",85
"95","November 13, 2015","UNC Wilmington",100,"Milligan",62
"96","November 13, 2015","North Dakota",99,"Minnesota-Morris",69
"97","November 13, 2015","North Texas",112,"Jarvis Christian",82
"98","November 13, 2015","Northern Illinois",83,"Cal State Northridge",71
"99","November 13, 2015","Northwestern",79,"UMass-Lowell",57
"100","November 13, 2015","Notre Dame",87,"Saint Francis (PA)",56
"101","November 13, 2015","Oklahoma State",91,"UT-Martin",57
"102","November 13, 2015","Old Dominion",67,"Niagara",50
"103","November 13, 2015","Oral Roberts",80,"Missouri State",65
"104","November 13, 2015","Oregon",80,"Jackson State",52
"105","November 13, 2015","Penn",76,"Robert Morris",75
"106","November 13, 2015","Portland",98,"Oregon Tech",81
"107","November 13, 2015","Purdue",81,"North Carolina A&T",40
"108","November 13, 2015","Rhode Island",65,"American",42
"109","November 13, 2015","Richmond",75,"James Madison",87
"110","November 13, 2015","Rider",56,"Princeton",64
"111","November 13, 2015","Rutgers",72,"Rutgers-Newark",59
"112","November 13, 2015","Sacred Heart",76,"Quinnipiac",64
"113","November 13, 2015","St. Joseph's",82,"Drexel",81
"114","November 13, 2015","Saint Mary's",80,"San Francisco State",56
"115","November 13, 2015","St. Peter's",77,"Brown",65
"116","November 13, 2015","San Diego State",71,"Illinois State",60
"117","November 13, 2015","Santa Clara",63,"Lipscomb",65
"118","November 13, 2015","Savannah State",87,"Florida National University",69
"119","November 13, 2015","Seattle",56,"Arkansas-Pine Bluff",58
"120","November 13, 2015","Seton Hall",84,"Dartmouth",67
"121","November 13, 2015","South Alabama",88,"Auburn Montgomery",68
"122","November 13, 2015","South Dakota State",87,"Chadron State",52
"123","November 13, 2015","South Florida",77,"Troy",82
"124","November 13, 2015","USC",83,"San Diego",45
"125","November 13, 2015","Southern Illinois",77,"Air Force",75
"126","November 13, 2015","SIU-Edwardsville",79,"Arkansas State",70
"127","November 13, 2015","St. Bonaventure",63,"Binghamton",53
"128","November 13, 2015","St. John's (NY)",66,"Wagner",57
"129","November 13, 2015","Stanford",93,"Green Bay",89
"130","November 13, 2015","Syracuse",57,"Lehigh",47
"131","November 13, 2015","Temple",67,"UNC",91
"132","November 13, 2015","Tennessee",82,"UNC Asheville",78
"133","November 13, 2015","Texas A&M",104,"USC Upstate",64
"134","November 13, 2015","Texas A&M-Corpus Christi",94,"Our Lady of the Lake",72
"135","November 13, 2015","TCU",90,"Southeastern Louisiana",77
"136","November 13, 2015","Texas Tech",77,"High Point",73
"137","November 13, 2015","Tulane",67,"Alabama A&M",68
"138","November 13, 2015","UCLA",81,"Monmouth",84
"139","November 13, 2015","Utah",82,"Southern Utah",71
"140","November 13, 2015","Valparaiso",78,"Fort Wayne",64
"141","November 13, 2015","Vanderbilt",80,"Austin Peay",41
"142","November 13, 2015","Villanova",91,"Fairleigh Dickinson",54
"143","November 13, 2015","Virginia",86,"Morgan State",48
"144","November 13, 2015","VCU",75,"Prairie View",50
"145","November 13, 2015","Wake Forest",78,"UMBC",73
"146","November 13, 2015","Washington",77,"Texas",71
"147","November 13, 2015","Washington State",82,"Northern Arizona",70
"148","November 13, 2015","Weber State",70,"Utah State",73
"149","November 13, 2015","West Virginia",107,"Northern Kentucky",61
"150","November 13, 2015","Wichita State",88,"Charleston Southern",63
"151","November 13, 2015","Wisconsin",67,"Western Illinois",69
"152","November 13, 2015","Wright State",77,"South Dakota",69
"153","November 13, 2015","Wyoming",101,"Bristol University",62
"154","November 13, 2015","Xavier",81,"Miami (OH)",72
"155","November 13, 2015","Yale",70,"Fairfield",57
"156","November 14, 2015","Akron",65,"Cleveland State",53
"157","November 14, 2015","Appalachian State",76,"Jacksonville",68
"158","November 14, 2015","Little Rock",76,"Central Baptist",57
"159","November 14, 2015","Boston College",75,"St. Francis (NY)",49
"160","November 14, 2015","Bowling Green State",79,"New Orleans",61
"161","November 14, 2015","Butler",144,"Citadel",71
"162","November 14, 2015","Cal State Bakersfield",93,"San Diego Christian",69
"163","November 14, 2015","UC-Riverside",100,"William Jessup",68
"164","November 14, 2015","Creighton",93,"Texas Southern",70
"165","November 14, 2015","Davidson",90,"UCF",85
"166","November 14, 2015","DePaul",69,"Western Michigan",63
"167","November 14, 2015","Duke",113,"Bryant",75
"168","November 14, 2015","ETSU",107,"Averett",59
"169","November 14, 2015","Georgetown",80,"Radford",82
"170","November 14, 2015","Kent State",79,"Youngstown State",70
"171","November 14, 2015","Kentucky",87,"NJIT",57
"172","November 14, 2015","La Salle",78,"Towson",76
"173","November 14, 2015","Liberty",90,"Summit",52
"174","November 14, 2015","Lipscomb",65,"Milwaukee",71
"175","November 14, 2015","Long Beach State",91,"Brigham Young-Hawaii",57
"176","November 14, 2015","Loyola (IL)",84,"Eureka",51
"177","November 14, 2015","UMass",85,"Howard",79
"178","November 14, 2015","Memphis",67,"Southern Miss",49
"179","November 14, 2015","Mid-Atlantic Christian",26,"Grambling",85
"180","November 14, 2015","Montana State",90,"Hawaii-Hilo",85
"181","November 14, 2015","Nebraska",97,"Mississippi Valley State",51
"182","November 14, 2015","UNC Greensboro",86,"Greensboro",69
"183","November 14, 2015","Northern Illinois",72,"South Dakota",65
"184","November 14, 2015","Northern Iowa",78,"Colorado State",84
"185","November 14, 2015","Ohio",85,"Florida Gulf Coast",75
"186","November 14, 2015","Oregon State",74,"Northwest Christian",52
"187","November 14, 2015","Penn State",62,"VMI",50
"188","November 14, 2015","Providence",76,"Harvard",64
"189","November 14, 2015","San Jose State",54,"Idaho",74
"190","November 14, 2015","Santa Clara",33,"Denver",55
"191","November 14, 2015","South Carolina",84,"Norfolk State",69
"192","November 14, 2015","SMU",85,"Sam Houston State",50
"193","November 14, 2015","Stony Brook",103,"Merchant Marine Academy",32
"194","November 14, 2015","Tennessee Tech",110,"Piedmont",72
"195","November 14, 2015","Texas-Arlington",77,"Fordham",72
"196","November 14, 2015","UTEP",96,"Loyola (LA)",49
"197","November 14, 2015","Toledo",96,"West Virginia Tech",65
"198","November 14, 2015","Tulsa",98,"Central Arkansas",81
"199","November 14, 2015","Utah Valley",89,"Great Falls",60
"200","November 14, 2015","Virginia Tech",82,"Alabama State",85
"201","November 14, 2015","Western Kentucky",97,"Campbellsville",77
"202","November 14, 2015","Winthrop",102,"Hampton",95
"203","November 14, 2015","Wright State",67,"Cal State Northridge",72
"204","November 15, 2015","Binghamton",60,"Army",75
"205","November 15, 2015","Bucknell",82,"Wake Forest",90
"206","November 15, 2015","UC-Davis",79,"Portland",66
"207","November 15, 2015","UC-Irvine",77,"Loyola Marymount",53
"208","November 15, 2015","Cincinnati",106,"Robert Morris",44
"209","November 15, 2015","Clemson",78,"UTSA",45
"210","November 15, 2015","Eastern Washington",126,"George Fox",64
"211","November 15, 2015","Evansville",80,"Southeast Missouri State",65
"212","November 15, 2015","Florida State",109,"Nicholls State",62
"213","November 15, 2015","Hawaii",74,"Coastal Carolina",63
"214","November 15, 2015","High Point",93,"North Carolina Wesleyan",69
"215","November 15, 2015","Illinois",80,"North Dakota State",74
"216","November 15, 2015","Iowa",103,"Coppin State",68
"217","November 15, 2015","Jacksonville State",81,"Fort Valley State",68
"218","November 15, 2015","Lafayette",87,"St. Peter's",86
"219","November 15, 2015","Lipscomb",69,"Denver",82
"220","November 15, 2015","Minnesota",67,"Louisiana-Monroe",56
"221","November 15, 2015","Missouri",73,"Maryland-Eastern Shore",55
"222","November 15, 2015","UMKC",73,"William Jewell",59
"223","November 15, 2015","Omaha",104,"Saint Mary's (MN)",58
"224","November 15, 2015","Nevada",83,"Montana State",62
"225","November 15, 2015","New Mexico State",74,"New Mexico",83
"226","November 15, 2015","UNC",92,"Fairfield",65
"227","November 15, 2015","NC State",88,"South Alabama",70
"228","November 15, 2015","Northern Illinois",65,"Wright State",59
"229","November 15, 2015","Ohio State",76,"Mount St. Mary's",54
"230","November 15, 2015","Penn",77,"Central Connecticut",61
"231","November 15, 2015","Purdue",107,"Vermont",79
"232","November 15, 2015","Richmond",108,"Stetson",85
"233","November 15, 2015","Rutgers",82,"Howard",70
"234","November 15, 2015","St. Joseph's",73,"Niagara",62
"235","November 15, 2015","Saint Louis",85,"Hartford",68
"236","November 15, 2015","Santa Clara",65,"Milwaukee",71
"237","November 15, 2015","Seattle",65,"Sacramento State",77
"238","November 15, 2015","Seton Hall",69,"Wagner",59
"239","November 15, 2015","South Dakota",76,"Cal State Northridge",72
"240","November 15, 2015","Southern Illinois",81,"Florida A&M",51
"241","November 15, 2015","Stanford",93,"Charleston Southern",59
"242","November 15, 2015","Troy",97,"Reinhardt",82
"243","November 15, 2015","UCLA",88,"Cal Poly",83
"244","November 15, 2015","Valparaiso",83,"Iona",58
"245","November 15, 2015","Western Carolina",90,"UNC Asheville",81
"246","November 15, 2015","Western Illinois",94,"Hannibal-LaGrange",57
"247","November 15, 2015","Wisconsin",92,"Siena",65
"248","November 16, 2015","Air Force",80,"Tennessee Tech",70
"249","November 16, 2015","Akron",100,"Hiram",30
"250","November 16, 2015","Alabama-Birmingham",72,"Alabama State",70
"251","November 16, 2015","Arizona",90,"Bradley",60
"252","November 16, 2015","Arizona State",83,"Belmont",74
"253","November 16, 2015","Arkansas State",81,"Lyon",37
"254","November 16, 2015","Ball State",73,"Eastern Illinois",56
"255","November 16, 2015","Boise State",101,"Northern Arizona",81
"256","November 16, 2015","Boston University",69,"Albany (NY)",64
"257","November 16, 2015","Brown",71,"Holy Cross",55
"258","November 16, 2015","California",85,"UCSB",67
"259","November 16, 2015","Canisius",98,"Lehigh",89
"260","November 16, 2015","Chattanooga",94,"Hiwassee",55
"261","November 16, 2015","Colgate",98,"Cornell",101
"262","November 16, 2015","Detroit",88,"Central State (OH)",65
"263","November 16, 2015","Duquesne",95,"New Orleans",75
"264","November 16, 2015","East Carolina",88,"Charlotte",74
"265","November 16, 2015","Fairleigh Dickinson",111,"Fairleigh Dickinson-Florham",70
"266","November 16, 2015","Florida",104,"North Carolina A&T",54
"267","November 16, 2015","Florida Gulf Coast",85,"Texas Wesleyan",62
"268","November 16, 2015","Florida International",67,"Florida Memorial",51
"269","November 16, 2015","Fresno State",80,"Lamar",72
"270","November 16, 2015","George Washington",73,"Virginia",68
"271","November 16, 2015","Georgia Tech",69,"Tennessee",67
"272","November 16, 2015","Hawaii",76,"Nevada",75
"273","November 16, 2015","Hofstra",96,"Molloy",64
"274","November 16, 2015","Houston Baptist",102,"Crowley's Ridge",62
"275","November 16, 2015","Idaho State",110,"Dickinson State (ND)",85
"276","November 16, 2015","Illinois State",67,"Morehead State",66
"277","November 16, 2015","Incarnate Word",73,"Schreiner",49
"278","November 16, 2015","Indiana",102,"Austin Peay",76
"279","November 16, 2015","Indiana State",70,"Wyoming",55
"280","November 16, 2015","Iowa State",106,"Chicago State",64
