"DateOfGame","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","Pythag","RankPythag","AdjEM","RankAdjEM"
"2017-11-11","Abilene Christian",0,231,71.9139,278,0,231,97.4999,247,200,231,104.223,262,0.317159,253,-6.72331,254
"2017-11-11","Air Force",0,231,72.3593,245,0,231,99.1749,207,200,231,103.744,252,0.37332,221,-4.56931,222
"2017-11-11","Akron",0,231,72.2388,252,0,231,100.776,155,200,231,102.309,205,0.456703,180,-1.53301,180
"2017-11-11","Alabama",74.2,105,71.5317,293,110.512,65,109.239,41,94.3396,92,90.3784,12,0.898407,22,18.8608,25
"2017-11-11","Alabama A&M",0,231,71.6568,289,0,231,89.2427,347,200,231,113.589,351,0.0587381,350,-24.3465,350
"2017-11-11","Alabama St.",80.5375,17,74.2708,93,84.4327,186,90.7101,336,119.199,192,108.994,330,0.107968,338,-18.2838,338
"2017-11-11","Albany",65.3375,213,69.3085,345,105.606,86,104.628,88,102.544,128,100.798,159,0.605598,114,3.82982,113
"2017-11-11","Alcorn St.",68.7875,179,72.1717,258,85.7714,182,92.9355,324,143.921,229,109.037,332,0.137353,329,-16.1011,329
"2017-11-11","American",67.4375,193,69.5852,339,66.7285,228,94.1667,301,123.077,205,103.793,254,0.246139,286,-9.62623,286
"2017-11-11","Appalachian St.",0,231,74.9409,58,0,231,98.113,234,200,231,103.017,233,0.363333,225,-4.90421,224
"2017-11-11","Arizona",72.225,125,72.1343,260,139.841,5,116.186,2,92.7657,84,90.421,13,0.947013,4,25.7653,3
"2017-11-11","Arizona St.",75.9,67,74.8311,61,123.847,23,106.987,60,97.4967,102,101.643,178,0.643215,102,5.3447,100
"2017-11-11","Arkansas",74.7875,95,75.0463,51,127.027,15,109.956,34,74.8788,15,95.0734,58,0.841909,44,14.883,43
"2017-11-11","Arkansas Pine Bluff",75.175,87,73.0362,189,93.1161,146,87.3697,350,109.079,157,109.02,331,0.0727004,349,-21.6506,348
"2017-11-11","Arkansas St.",69.425,173,72.5716,230,90.7454,157,98.8938,214,110.911,169,102.652,220,0.394386,212,-3.75806,212
"2017-11-11","Army",71.6,137,74.9501,57,103.352,99,100.058,177,107.542,153,101.787,183,0.450889,183,-1.7295,183
"2017-11-11","Auburn",82.5375,11,77.5349,8,123.58,25,109.823,36,89.6562,69,95.4807,64,0.833328,49,14.3425,49
"2017-11-11","Austin Peay",66.8625,209,73.2409,172,80.7628,200,95.0251,285,109.179,158,108.414,325,0.180071,317,-13.3887,316
"2017-11-11","Ball St.",74.3625,101,74.9951,55,103.547,98,102.635,126,104.892,140,100.362,149,0.564038,133,2.27318,131
"2017-11-11","Baylor",75.8125,73,70.7455,315,141.138,3,111.578,16,87.0569,55,92.0292,26,0.901594,18,19.5484,18
"2017-11-11","Belmont",77.4,47,74.3144,86,105.943,83,104.273,95,111.111,170,101.859,185,0.566912,126,2.41311,125
"2017-11-11","Bethune Cookman",0,231,73.2958,168,0,231,90.8628,335,200,231,109.614,341,0.103624,339,-18.7514,339
"2017-11-11","Binghamton",76.55,59,72.4385,240,99.2815,118,97.1023,252,77.0738,21,102.621,218,0.346231,238,-5.51832,236
"2017-11-11","Boise St.",0,231,74.0185,105,0,231,104.637,87,200,231,97.8831,98,0.682945,85,6.75409,84
"2017-11-11","Boston College",71.5,139,74.3076,87,118.881,41,104.895,86,90.9091,75,99.1157,125,0.657388,97,5.77882,95
"2017-11-11","Boston University",70.5,147,73.837,123,83.6879,189,96.3929,269,92.1986,81,101.761,182,0.349053,234,-5.36782,234
"2017-11-11","Bowling Green",76.0875,65,74.3039,88,102.514,104,97.6569,245,90.6851,72,102.152,200,0.373423,220,-4.49548,220
