"date","teamname_name","teamname_AdjEM","teamname_AdjO","teamname_AdjD","teamname_AdjT"
"Wednesday, March 14, 2018","Virginia","+32.06","116.6","84.5","59.1"
"Wednesday, March 14, 2018","Villanova","+31.40","127.4","96.0","68.2"
"Wednesday, March 14, 2018","Duke","+29.04","122.6","93.6","69.9"
"Wednesday, March 14, 2018","Cincinnati","+26.97","113.2","86.2","64.6"
"Wednesday, March 14, 2018","Purdue","+26.66","123.3","96.6","67.2"
"Wednesday, March 14, 2018","Michigan St.","+26.31","120.0","93.7","67.1"
"Wednesday, March 14, 2018","Gonzaga","+24.97","119.9","94.9","68.9"
"Wednesday, March 14, 2018","North Carolina","+24.94","121.9","97.0","70.9"
"Wednesday, March 14, 2018","Kansas","+23.26","121.0","97.7","68.3"
"Wednesday, March 14, 2018","Michigan","+23.17","115.9","92.7","64.3"
"Wednesday, March 14, 2018","Tennessee","+22.17","114.8","92.7","66.1"
"Wednesday, March 14, 2018","Texas Tech","+21.97","114.1","92.1","66.5"
"Wednesday, March 14, 2018","West Virginia","+21.81","119.2","97.4","69.0"
"Wednesday, March 14, 2018","Xavier","+21.67","120.7","99.1","70.4"
"Wednesday, March 14, 2018","Ohio St.","+21.10","116.2","95.1","66.3"
"Wednesday, March 14, 2018","Auburn","+20.71","118.2","97.5","72.2"
"Wednesday, March 14, 2018","Houston","+20.53","115.8","95.3","68.2"
"Wednesday, March 14, 2018","Kentucky","+20.38","116.4","96.1","68.5"
"Wednesday, March 14, 2018","Clemson","+20.17","113.8","93.6","65.6"
"Wednesday, March 14, 2018","Wichita St.","+20.06","122.0","101.9","68.5"
"Wednesday, March 14, 2018","Arizona","+19.21","119.0","99.8","67.2"
"Wednesday, March 14, 2018","TCU","+18.97","120.7","101.7","68.6"
"Wednesday, March 14, 2018","Florida","+18.73","115.2","96.4","66.7"
"Wednesday, March 14, 2018","Nevada","+18.23","119.9","101.7","69.4"
"Wednesday, March 14, 2018","Saint Mary's","+18.20","120.3","102.1","63.7"
"Wednesday, March 14, 2018","Butler","+17.83","115.7","97.9","67.8"
"Wednesday, March 14, 2018","Seton Hall","+17.29","116.3","99.1","69.3"
"Wednesday, March 14, 2018","Creighton","+17.24","116.5","99.2","70.8"
"Wednesday, March 14, 2018","Penn St.","+17.07","113.0","96.0","67.5"
"Wednesday, March 14, 2018","Texas A&M","+16.92","111.2","94.3","69.0"
"Wednesday, March 14, 2018","Notre Dame","+16.61","115.7","99.1","65.2"
"Wednesday, March 14, 2018","Virginia Tech","+16.55","115.1","98.5","68.6"
"Wednesday, March 14, 2018","Louisville","+16.39","112.4","96.1","69.6"
"Wednesday, March 14, 2018","Baylor","+16.37","111.1","94.7","66.6"
"Wednesday, March 14, 2018","Florida St.","+15.71","115.9","100.2","71.5"
"Wednesday, March 14, 2018","Arkansas","+15.65","117.3","101.7","69.6"
"Wednesday, March 14, 2018","Miami FL","+15.63","113.3","97.7","67.0"
"Wednesday, March 14, 2018","Texas","+15.50","109.4","93.9","65.1"
"Wednesday, March 14, 2018","Missouri","+15.47","113.3","97.8","65.6"
