"","GameDate","HomeTeamName","HomeTeamScore","AwayTeamName","AwayTeamScore"
"1","November 8, 2013","Air Force",79,"Army",68
"2","November 8, 2013","Akron",72,"Coastal Carolina",63
"3","November 8, 2013","Alabama",73,"Oklahoma",82
"4","November 8, 2013","Alabama-Birmingham",76,"Columbus State",56
"5","November 8, 2013","Arizona",73,"Cal Poly",62
"6","November 8, 2013","Arizona State",96,"UMBC",61
"7","November 8, 2013","Arkansas",99,"SIU-Edwardsville",65
"8","November 8, 2013","Auburn",76,"Nicholls State",54
"9","November 8, 2013","Austin Peay",84,"Oakland City",69
"10","November 8, 2013","Baylor",72,"Colorado",60
"11","November 8, 2013","Binghamton",74,"Loyola (MD)",79
"12","November 8, 2013","Boise State",116,"Texas-Arlington",87
"13","November 8, 2013","Bradley",72,"Jacksonville State",65
"14","November 8, 2013","BYU",81,"Weber State",72
"15","November 8, 2013","Cal State Northridge",86,"Hope International",74
"16","November 8, 2013","California",83,"Coppin State",64
"17","November 8, 2013","UC-Irvine",97,"Fresno State",98
"18","November 8, 2013","UCSB",76,"Hawaii Pacific",50
"19","November 8, 2013","Campbell",87,"Shenandoah",62
"20","November 8, 2013","UCF",97,"Tampa",72
"21","November 8, 2013","Central Michigan",101,"Manchester",49
"22","November 8, 2013","Charleston Southern",130,"Johnson University",51
"23","November 8, 2013","Charlotte",80,"ETSU",75
"24","November 8, 2013","Chattanooga",119,"Covenant",56
"25","November 8, 2013","Cincinnati",74,"North Carolina Central",61
"26","November 8, 2013","Clemson",71,"Stetson",51
"27","November 8, 2013","Colorado State",99,"Colorado-Colorado Springs",70
"28","November 8, 2013","UConn",78,"Maryland",77
"29","November 8, 2013","Creighton",107,"Alcorn State",61
"30","November 8, 2013","Duke",111,"Davidson",77
"31","November 8, 2013","East Carolina",97,"North Carolina Wesleyan",51
"32","November 8, 2013","Eastern Kentucky",83,"Florida International",61
"33","November 8, 2013","Eastern Michigan",77,"Albion",45
"34","November 8, 2013","Elon",114,"Washington & Lee",64
"35","November 8, 2013","Fairleigh Dickinson",89,"Caldwell",71
"36","November 8, 2013","Florida",77,"North Florida",69
"37","November 8, 2013","Florida Atlantic",86,"Ave Maria",51
"38","November 8, 2013","Florida State",91,"Jacksonville",67
"39","November 8, 2013","Fordham",87,"Saint Francis (PA)",67
"40","November 8, 2013","Furman",66,"Sewanee",49
"41","November 8, 2013","George Mason",63,"American",60
"42","November 8, 2013","George Washington",76,"Radford",54
"43","November 8, 2013","Georgetown",75,"Oregon",82
"44","November 8, 2013","Georgia",72,"Wofford",52
"45","November 8, 2013","Georgia Southern",110,"Columbia International",74
"46","November 8, 2013","Georgia Tech",88,"Presbyterian",57
"47","November 8, 2013","Grand Canyon",75,"Loyola Marymount",78
"48","November 8, 2013","Hampton",77,"William & Mary",69
"49","November 8, 2013","Hawaii",85,"Tennessee State",55
"50","November 8, 2013","Hofstra",84,"Monmouth",88
"51","November 8, 2013","Houston",76,"Texas State",70
"52","November 8, 2013","Howard",69,"Washington College",52
"53","November 8, 2013","Illinois",80,"Alabama State",63
"54","November 8, 2013","Indiana",100,"Chicago State",72
"55","November 8, 2013","Iowa",82,"UNC Wilmington",39
"56","November 8, 2013","Kansas",80,"Louisiana-Monroe",63
"57","November 8, 2013","Kansas State",58,"Northern Colorado",60
"58","November 8, 2013","Kennesaw State",57,"Youngstown State",73
"59","November 8, 2013","Kent State",84,"Ohio Northern",48
"60","November 8, 2013","Kentucky",89,"UNC Asheville",57
"61","November 8, 2013","Liberty",74,"Randolph",53
"62","November 8, 2013","Lipscomb",83,"Belmont",87
"63","November 8, 2013","Loyola (IL)",76,"Milwaukee",72
"64","November 8, 2013","Marquette",63,"Southern",56
"65","November 8, 2013","Marshall",85,"South Carolina State",69
"66","November 8, 2013","Miami (FL)",62,"St. Francis (NY)",66
"67","November 8, 2013","Michigan",69,"UMass-Lowell",42
"68","November 8, 2013","Michigan State",98,"McNeese State",56
"69","November 8, 2013","Minnesota",81,"Lehigh",62
"70","November 8, 2013","Ole Miss",69,"Troy",54
"71","November 8, 2013","Mississippi State",71,"Prairie View",56
"72","November 8, 2013","Missouri",89,"Southeastern Louisiana",53
"73","November 8, 2013","UMKC",76,"Emporia State",81
"74","November 8, 2013","Nebraska",79,"Florida Gulf Coast",55
"75","November 8, 2013","Nevada",78,"Pacific",80
"76","November 8, 2013","UNLV",67,"Portland State",48
"77","November 8, 2013","New Mexico State",64,"Western Michigan",70
"78","November 8, 2013","UNC",84,"Oakland",61
"79","November 8, 2013","North Carolina A&T",91,"Greensboro",64
"80","November 8, 2013","UNC Greensboro",82,"High Point",74
"81","November 8, 2013","NC State",98,"Appalachian State",77
"82","November 8, 2013","North Dakota State",93,"Viterbo University",49
"83","November 8, 2013","North Texas",72,"Northwood (TX)",67
"84","November 8, 2013","Northern Illinois",66,"Omaha",68
"85","November 8, 2013","Northwestern State",92,"LeTourneau",76
"86","November 8, 2013","Notre Dame",74,"Miami (OH)",62
"87","November 8, 2013","Oklahoma State",117,"Mississippi Valley State",62
"88","November 8, 2013","Old Dominion",67,"Missouri State",79
"89","November 8, 2013","Pitt",88,"Savannah State",55
"90","November 8, 2013","Portland",100,"UC-Davis",83
