"","GameDate","HomeTeamName","HomeTeamScore","AwayTeamName","AwayTeamScore"
"1","November 9, 2012","Alabama",70,"South Dakota State",67
"2","November 9, 2012","Alabama A&M",68,"Miles",48
"3","November 9, 2012","Albany (NY)",69,"Duquesne",66
"4","November 9, 2012","Appalachian State",86,"Montreat",54
"5","November 9, 2012","Arkansas",73,"Sam Houston State",68
"6","November 9, 2012","Little Rock",84,"UT-Martin",68
"7","November 9, 2012","Arkansas-Pine Bluff",68,"Houston Baptist",72
"8","November 9, 2012","Auburn",61,"Fort Wayne",50
"9","November 9, 2012","Austin Peay",75,"Samford",64
"10","November 9, 2012","Baylor",99,"Lehigh",77
"11","November 9, 2012","Bowling Green State",63,"Lake Erie",53
"12","November 9, 2012","Bradley",76,"Eastern Illinois",53
"13","November 9, 2012","BYU",81,"Tennessee State",66
"14","November 9, 2012","Cal State Bakersfield",60,"Texas-Arlington",62
"15","November 9, 2012","Cal State Northridge",81,"Pepperdine",75
"16","November 9, 2012","Campbell",74,"Averett",55
"17","November 9, 2012","Charlotte",68,"Charleston Southern",58
"18","November 9, 2012","Claflin",62,"South Carolina State",81
"19","November 9, 2012","Cleveland State",92,"Grambling",49
"20","November 9, 2012","Coastal Carolina",74,"Akron",70
"21","November 9, 2012","College of Charleston",75,"Towson",58
"22","November 9, 2012","Colorado",74,"Wofford",59
"23","November 9, 2012","Colorado State",72,"Montana",65
"24","November 9, 2012","UConn",66,"Michigan State",62
"25","November 9, 2012","Creighton",71,"North Texas",51
"26","November 9, 2012","Davidson",93,"Emory",67
"27","November 9, 2012","DePaul",91,"UC-Riverside",59
"28","November 9, 2012","Detroit",88,"Northern Michigan",53
"29","November 9, 2012","Duke",74,"Georgia State",55
"30","November 9, 2012","Eastern Kentucky",89,"Cincinnati Christian",56
"31","November 9, 2012","Eastern Michigan",66,"Rochester (MI)",52
"32","November 9, 2012","Florida State",71,"South Alabama",76
"33","November 9, 2012","George Mason",63,"Virginia",59
"34","November 9, 2012","Georgia",68,"Jacksonville",62
"35","November 9, 2012","Georgia Tech",79,"Tulane",61
"36","November 9, 2012","Gonzaga",103,"Southern Utah",65
"37","November 9, 2012","Harvard",69,"MIT",54
"38","November 9, 2012","Hawaii",76,"Maryland-Eastern Shore",64
"39","November 9, 2012","High Point",81,"UNC Greensboro",73
"40","November 9, 2012","Houston",81,"Florida A&M",76
"41","November 9, 2012","Idaho",70,"Wright State",80
"42","November 9, 2012","Illinois",75,"Colgate",55
"43","November 9, 2012","Indiana",97,"Bryant",54
"44","November 9, 2012","Iona",65,"Denver",58
"45","November 9, 2012","Iowa",86,"Texas-Rio Grande Valley",55
"46","November 9, 2012","Iowa State",82,"Southern",59
"47","November 9, 2012","IUPUI",67,"Utah Valley",54
"48","November 9, 2012","Jacksonville State",93,"Reinhardt",63
"49","November 9, 2012","Kansas",74,"Southeast Missouri State",55
"50","November 9, 2012","Kansas State",85,"North Dakota",52
"51","November 9, 2012","Kent State",66,"Drexel",62
"52","November 9, 2012","Kentucky",72,"Maryland",69
"53","November 9, 2012","Lafayette",65,"St. Francis (NY)",76
"54","November 9, 2012","Lipscomb",60,"Belmont",89
"55","November 9, 2012","LIU-Brooklyn",74,"Morehead State",77
"56","November 9, 2012","LSU",77,"UCSB",63
"57","November 9, 2012","Loyola (IL)",62,"Toledo",50
"58","November 9, 2012","Loyola Marymount",108,"Pacifica",49
"59","November 9, 2012","Loyola (MD)",71,"Binghamton",45
"60","November 9, 2012","Marist",57,"Stony Brook",60
"61","November 9, 2012","Marshall",81,"Longwood",47
"62","November 9, 2012","McNeese State",72,"Louisiana College",54
"63","November 9, 2012","Miami (FL)",87,"Stetson",79
"64","November 9, 2012","Michigan",100,"Slippery Rock",62
"65","November 9, 2012","Middle Tennessee",97,"Alabama State",53
"66","November 9, 2012","Milwaukee",76,"Mary",46
"67","November 9, 2012","Minnesota",72,"American",36
"68","November 9, 2012","Ole Miss",93,"Mississippi Valley State",57
"69","November 9, 2012","Missouri State",89,"Philander Smith",61
"70","November 9, 2012","Monmouth",91,"Hofstra",62
"71","November 9, 2012","Morgan State",71,"UTSA",59
"72","November 9, 2012","Murray State",88,"Brescia",43
"73","November 9, 2012","Navy",75,"Marymount (VA)",48
"74","November 9, 2012","Omaha",77,"Northern Illinois",64
"75","November 9, 2012","New Orleans",72,"San Jose State",68
"76","November 9, 2012","UNC",76,"Gardner-Webb",59
"77","November 9, 2012","UNC Asheville",71,"Western Carolina",61
