"","AwayTeamName","HomeTeamName","Line","ProfitLine","Date"
"25932","TCU","Air Force",-6.5,-107,2011-03-02
"25933","TCU","Air Force",-2,-107,2012-02-22
"25934","TCU","Alaska Anchorage",4.5,-105,2013-11-28
"25935","TCU","Baylor",-18.5,-108,2013-01-12
"25936","TCU","Baylor",-15,-105,2014-01-11
"25937","TCU","Baylor",-16,-105,2014-03-12
"25938","TCU","Baylor",-8,-101,2015-02-04
"25939","TCU","Baylor",-13,-101,2016-01-13
"25940","TCU","Baylor",-8.5,-110,2017-02-11
"25941","TCU","Baylor",1.5,-102,2018-01-02
"25942","TCU","Boise State",-6,-102,2012-02-18
"25943","TCU","Bradley",10.5,-110,2015-12-23
"25944","TCU","BYU",-21.5,-101,2011-01-18
"25945","TCU","BYU",-16.5,-105,2011-03-10
"25946","TCU","Central Florida",2.5,-109,2017-03-28
"25947","TCU","Colorado State",-9,-105,2011-01-15
"25948","TCU","Colorado State",-8.5,-105,2012-01-14
"25949","TCU","Colorado State",-4,-109,2012-03-08
"25950","TCU","Evansville",-3.5,-105,2011-12-03
"25951","TCU","Harvard",-9.5,-103,2013-12-01
"25952","TCU","Houston U",-4.5,-108,2011-11-26
"25953","TCU","Illinois State",-2.5,-105,2015-11-25
"25954","TCU","Iowa",-3,-102,2017-03-19
"25955","TCU","Iowa State",-17.5,-105,2013-02-16
"25956","TCU","Iowa State",-19.5,-109,2014-02-08
"25957","TCU","Iowa State",-10,-108,2015-01-31
"25958","TCU","Iowa State",-17.5,-108,2016-02-20
"25959","TCU","Iowa State",-6,-110,2017-02-18
"25960","TCU","Iowa State",-5,-103,2017-03-10
"25961","TCU","Iowa State",5,-109,2018-02-21
"25962","TCU","Kansas",-23,-103,2013-02-23
"25963","TCU","Kansas",-23,-109,2014-02-15
