"","AwayTeamName","HomeTeamName","Line","ProfitLine","Date"
"25964","TCU","Kansas",-13,-105,2015-02-21
"25965","TCU","Kansas",-8.5,-101,2015-03-12
"25966","TCU","Kansas",-23,-103,2016-01-16
"25967","TCU","Kansas",-12,-117,2017-02-22
"25968","TCU","Kansas",-9,-110,2017-03-09
"25969","TCU","Kansas",-7,-106,2018-02-06
"25970","TCU","Kansas City",2.5,-101,2018-03-08
"25971","TCU","Kansas State",-21.5,-103,2013-03-05
"25972","TCU","Kansas State",-15,-101,2014-02-19
"25973","TCU","Kansas State",-4.5,-105,2015-01-07
"25974","TCU","Kansas State",-2,-105,2015-03-11
"25975","TCU","Kansas State",-11,-103,2016-03-02
"25976","TCU","Kansas State",-5.5,-105,2017-02-01
"25977","TCU","Kansas State",-2,-109,2018-01-20
"25978","TCU","Massachusetts",-3.5,-110,2010-11-22
"25979","TCU","Mississippi",-7.5,-103,2011-11-21
"25980","TCU","Mississippi",-6,-105,2014-12-04
"25981","TCU","Mississippi State",-8.5,-105,2013-12-05
"25982","TCU","Mississippi State",3,-105,2014-11-29
"25983","TCU","Nebraska",-8.5,-107,2010-12-11
"25984","TCU","Nevada",1.5,-110,2017-12-08
"25985","TCU","Nevada",2,-110,2017-12-09
"25986","TCU","New Mexico",-13,-109,2011-01-26
"25987","TCU","New Mexico",-16,-108,2012-01-28
"25988","TCU","Northwestern",-11.5,-103,2012-11-23
"25989","TCU","Oklahoma",-14,-103,2014-01-22
"25990","TCU","Oklahoma State",-19,-103,2013-01-09
"25991","TCU","Oklahoma State",-20,-105,2014-01-15
"25992","TCU","Oklahoma State",-8,-105,2015-03-04
"25993","TCU","Oklahoma State",-5.5,-110,2016-01-02
"25994","TCU","Oklahoma State",-4,-118,2017-01-23
"25995","TCU","Oklahoma State",1,-102,2018-01-30
