"","TeamName","OpponentName","Line","Date"
"1081","Georgia","Sam Houston State",-120,2018-11-16
"1082","Sam Houston State","Georgia",-120,2018-11-16
"1083","Charlotte","James Madison",-110,2018-11-16
"1084","James Madison","Charlotte",-110,2018-11-16
"1085","Georgia Tech","East Carolina",-110,2018-11-16
"1086","East Carolina","Georgia Tech",-110,2018-11-16
"1087","Kansas State","Eastern Kentucky",-110,2018-11-16
"1088","Eastern Kentucky","Kansas State",-110,2018-11-16
"1089","Middle Tennessee","Charleston Southern",-120,2018-11-16
"1090","Charleston Southern","Middle Tennessee",-120,2018-11-16
"1091","Brown","Massachusetts-Lowell",-120,2018-11-16
"1092","Massachusetts-Lowell","Brown",-120,2018-11-16
"1093","Eastern Washington","Green Bay",-110,2018-11-16
"1094","Green Bay","Eastern Washington",-110,2018-11-16
"1095","Butler","Ole Miss",-110,2018-11-16
"1096","Ole Miss","Butler",-110,2018-11-16
"1097","Kansas","Louisiana-Lafayette",-110,2018-11-16
"1098","Louisiana-Lafayette","Kansas",-110,2018-11-16
"1099","LSU","Louisiana Tech",-110,2018-11-16
"1100","Louisiana Tech","LSU",-110,2018-11-16
"1101","Pepperdine","Towson",-110,2018-11-16
"1102","Towson","Pepperdine",-110,2018-11-16
"1103","South Alabama","Chattanooga",-110,2018-11-16
"1104","Chattanooga","South Alabama",-110,2018-11-16
"1105","Texas","Citadel",-110,2018-11-16
"1106","Citadel","Texas",-110,2018-11-16
"1107","Loyola (IL)","Grambling State",-120,2018-11-16
"1108","Grambling State","Loyola (IL)",-120,2018-11-16
"1109","Vanderbilt","Alcorn State",-120,2018-11-16
"1110","Alcorn State","Vanderbilt",-120,2018-11-16
"1111","Texas-Arlington","Texas A&M-CC",-120,2018-11-16
"1112","Texas A&M-CC","Texas-Arlington",-120,2018-11-16
"1113","Florida Gulf Coast","South Dakota State",-120,2018-11-16
"1114","South Dakota State","Florida Gulf Coast",-120,2018-11-16
"1115","Siena","Norfolk State",-110,2018-11-16
"1116","Norfolk State","Siena",-110,2018-11-16
"1117","Columbia","Youngstown State",-110,2018-11-16
"1118","Youngstown State","Columbia",-110,2018-11-16
"1119","Weber State","Central Michigan",2,2018-11-16
"1120","Central Michigan","Weber State",NA,2018-11-16
"1121","Lehigh","Princeton",20,2018-11-16
"1122","Princeton","Lehigh",-2,2018-11-16
"1123","Mississippi State","Long Beach State",7.5,2018-11-16
"1124","Long Beach State","Mississippi State",-20,2018-11-16
"1125","West Virginia","Western Kentucky",16.5,2018-11-16
"1126","Western Kentucky","West Virginia",-7.5,2018-11-16
"1127","Colorado","Nebraska-Omaha",6.5,2018-11-16
"1128","Nebraska-Omaha","Colorado",-16.5,2018-11-16
"1129","Wyoming","Niagara",12,2018-11-16
"1130","Niagara","Wyoming",-6.5,2018-11-16
"1131","Grand Canyon","Arkansas State",5,2018-11-16
"1132","Arkansas State","Grand Canyon",-12,2018-11-16
"1133","Utah State","Utah Valley",8,2018-11-16
"1134","Utah Valley","Utah State",-5,2018-11-16
"1135","UNLV","Oakland",24,2018-11-16
"1136","Oakland","UNLV",-8,2018-11-16
"1137","Boise State","Jackson State",26.5,2018-11-16
"1138","Jackson State","Boise State",-24,2018-11-16
"1139","Nevada","Arkansas-Little Rock",16,2018-11-16
"1140","Arkansas-Little Rock","Nevada",-26.5,2018-11-16
"1141","UCLA","St. Francis (PA)",7.5,2018-11-16
"1142","St. Francis (PA)","UCLA",-16,2018-11-16
"1143","Sacramento State","Cal Poly",-1.5,2018-11-16
"1144","Cal Poly","Sacramento State",-7.5,2018-11-16
"1145","San Francisco","Arizona State",6,2018-11-16
"1146","Arizona State","San Francisco",1.5,2018-11-16
"1147","Stanford","Wofford",-22.5,2018-11-16
"1148","Wofford","Stanford",-6,2018-11-16
"1149","Valparaiso","Wake Forest",1.5,2018-11-18
"1150","Wake Forest","Valparaiso",-1.5,2018-11-18
"1151","Towson","North Dakota State",3.5,2018-11-18
"1152","North Dakota State","Towson",-3.5,2018-11-18
"1153","Appalachian State","Ball State",4.5,2018-11-18
"1154","Ball State","Appalachian State",-4.5,2018-11-18
"1155","Siena","Holy Cross",5,2018-11-18
"1156","Holy Cross","Siena",-5,2018-11-18
"1157","Florida International","Youngstown State",-6.5,2018-11-18
"1158","Youngstown State","Florida International",6.5,2018-11-18
"1159","Georgetown","South Florida",-10.5,2018-11-18
"1160","South Florida","Georgetown",10.5,2018-11-18
"1161","Monmouth","Cal State Fullerton",7,2018-11-18
"1162","Cal State Fullerton","Monmouth",-7,2018-11-18
"1163","Texas-Arlington","UC Davis",-4,2018-11-18
"1164","UC Davis","Texas-Arlington",4,2018-11-18
"1165","Evansville","Texas Southern",-6,2018-11-18
"1166","Texas Southern","Evansville",6,2018-11-18
"1167","Wichita State","Alabama",3.5,2018-11-18
"1168","Alabama","Wichita State",-3.5,2018-11-18
"1169","Providence","Michigan",8.5,2018-11-18
"1170","Michigan","Providence",-8.5,2018-11-18
"1171","Massachusetts-Lowell","Sacred Heart",-1,2018-11-18
"1172","Sacred Heart","Massachusetts-Lowell",1,2018-11-18
"1173","Florida Atlantic","Incarnate Word",-9,2018-11-18
"1174","Incarnate Word","Florida Atlantic",9,2018-11-18
"1175","Oklahoma","Wofford",-10,2018-11-18
"1176","Wofford","Oklahoma",10,2018-11-18
"1177","Ohio State","South Carolina State",-37,2018-11-18
"1178","South Carolina State","Ohio State",37,2018-11-18
"1179","Navy","Bryant University",-9,2018-11-18
"1180","Bryant University","Navy",9,2018-11-18
"1181","Lafayette","St. Francis (BKN)",-6,2018-11-18
"1182","St. Francis (BKN)","Lafayette",6,2018-11-18
"1183","Austin Peay","Campbell",-3,2018-11-18
"1184","Campbell","Austin Peay",3,2018-11-18
"1185","Troy","Central Arkansas",-8.5,2018-11-18
"1186","Central Arkansas","Troy",8.5,2018-11-18
"1187","Arkansas","Indiana",3.5,2018-11-18
"1188","Indiana","Arkansas",-3.5,2018-11-18
"1189","Manhattan","UNC Asheville",-4,2018-11-18
"1190","UNC Asheville","Manhattan",4,2018-11-18
"1191","South Dakota","Air Force",-4,2018-11-18
"1192","Air Force","South Dakota",4,2018-11-18
"1193","Oklahoma State","Charleston",-5.5,2018-11-18
"1194","Charleston","Oklahoma State",5.5,2018-11-18
"1195","West Virginia","Saint Joseph's (PA)",-7.5,2018-11-18
"1196","Saint Joseph's (PA)","West Virginia",7.5,2018-11-18
"1197","South Carolina","George Washington",-11,2018-11-18
"1198","George Washington","South Carolina",11,2018-11-18
"1199","Chattanooga","Jacksonville",-120,2018-11-18
"1200","Jacksonville","Chattanooga",NA,2018-11-18
"1201","Seattle","Southern Utah",-120,2018-11-18
"1202","Southern Utah","Seattle",-120,2018-11-18
"1203","Brown","Army",-120,2018-11-18
"1204","Army","Brown",-120,2018-11-18
"1205","Maryland","Mount St. Mary's",-120,2018-11-18
"1206","Mount St. Mary's","Maryland",-120,2018-11-18
"1207","Kent State","Alcorn State",-120,2018-11-18
"1208","Alcorn State","Kent State",-120,2018-11-18
"1209","Pepperdine","Miami (OH)",-110,2018-11-18
"1210","Miami (OH)","Pepperdine",-110,2018-11-18
"1211","Fordham","Columbia",-110,2018-11-18
"1212","Columbia","Fordham",-110,2018-11-18
"1213","Cleveland State","Samford",-110,2018-11-18
"1214","Samford","Cleveland State",-110,2018-11-18
"1215","Missouri","Oregon State",-110,2018-11-18
"1216","Oregon State","Missouri",-110,2018-11-18
"1217","Davidson","Northeastern",-110,2018-11-18
"1218","Northeastern","Davidson",-110,2018-11-18
"1219","San Jose State","Central Michigan",-110,2018-11-18
"1220","Central Michigan","San Jose State",-110,2018-11-18
"1221","Kentucky","Virginia Military",-110,2018-11-18
"1222","Virginia Military","Kentucky",-110,2018-11-18
"1223","Michigan State","Tennessee Tech",-110,2018-11-18
"1224","Tennessee Tech","Michigan State",-110,2018-11-18
"1225","Western Kentucky","UCF",-110,2018-11-18
"1226","UCF","Western Kentucky",-110,2018-11-18
"1227","Loyola Marymount","Ohio",-110,2018-11-18
"1228","Ohio","Loyola Marymount",-110,2018-11-18
"1229","Northern Kentucky","Coastal Carolina",-110,2018-11-18
"1230","Coastal Carolina","Northern Kentucky",-110,2018-11-18
"1231","Georgia Southern","Montana",-110,2018-11-18
"1232","Montana","Georgia Southern",-110,2018-11-18
"1233","Kansas State","Pennsylvania",-110,2018-11-18
"1234","Pennsylvania","Kansas State",-110,2018-11-18
"1235","Santa Clara","Washington",-110,2018-11-18
"1236","Washington","Santa Clara",-110,2018-11-18
"1237","San Francisco","LIU Brooklyn",-120,2018-11-18
"1238","LIU Brooklyn","San Francisco",-120,2018-11-18
"1239","Purdue","Virginia Tech",-110,2018-11-18
"1240","Virginia Tech","Purdue",-110,2018-11-18
"1241","Cal State Bakersfield","Weber State",-110,2018-11-18
"1242","Weber State","Cal State Bakersfield",-110,2018-11-18
"1243","Central Connecticut State","Florida A&M",-110,2018-11-18
"1244","Florida A&M","Central Connecticut State",-110,2018-11-18
"1245","Hawaii","Northern Arizona",-110,2018-11-18
"1246","Northern Arizona","Hawaii",-110,2018-11-18
"1247","Minnesota","Texas A&M",-110,2018-11-18
"1248","Texas A&M","Minnesota",-110,2018-11-18
"1249","Valparaiso","Wake Forest",1.5,2018-11-18
"1250","Wake Forest","Valparaiso",-1.5,2018-11-18
"1251","Towson","North Dakota State",3.5,2018-11-18
"1252","North Dakota State","Towson",-3.5,2018-11-18
"1253","Appalachian State","Ball State",4.5,2018-11-18
"1254","Ball State","Appalachian State",-4.5,2018-11-18
"1255","Siena","Holy Cross",5,2018-11-18
"1256","Holy Cross","Siena",-5,2018-11-18
"1257","Florida International","Youngstown State",-6.5,2018-11-18
"1258","Youngstown State","Florida International",6.5,2018-11-18
"1259","Georgetown","South Florida",-10.5,2018-11-18
"1260","South Florida","Georgetown",10.5,2018-11-18
"1261","Monmouth","Cal State Fullerton",7,2018-11-18
"1262","Cal State Fullerton","Monmouth",-7,2018-11-18
"1263","Texas-Arlington","UC Davis",-4,2018-11-18
"1264","UC Davis","Texas-Arlington",4,2018-11-18
"1265","Evansville","Texas Southern",-6,2018-11-18
"1266","Texas Southern","Evansville",6,2018-11-18
"1267","Wichita State","Alabama",3.5,2018-11-18
"1268","Alabama","Wichita State",-3.5,2018-11-18
"1269","Providence","Michigan",8.5,2018-11-18
"1270","Michigan","Providence",-8.5,2018-11-18
"1271","Massachusetts-Lowell","Sacred Heart",-1,2018-11-18
"1272","Sacred Heart","Massachusetts-Lowell",1,2018-11-18
"1273","Florida Atlantic","Incarnate Word",-9,2018-11-18
"1274","Incarnate Word","Florida Atlantic",9,2018-11-18
"1275","Oklahoma","Wofford",-10,2018-11-18
"1276","Wofford","Oklahoma",10,2018-11-18
"1277","Ohio State","South Carolina State",-37,2018-11-18
"1278","South Carolina State","Ohio State",37,2018-11-18
"1279","Navy","Bryant University",-9,2018-11-18
"1280","Bryant University","Navy",9,2018-11-18
"1281","Lafayette","St. Francis (BKN)",-6,2018-11-18
"1282","St. Francis (BKN)","Lafayette",6,2018-11-18
"1283","Austin Peay","Campbell",-3,2018-11-18
"1284","Campbell","Austin Peay",3,2018-11-18
"1285","Troy","Central Arkansas",-8.5,2018-11-18
"1286","Central Arkansas","Troy",8.5,2018-11-18
"1287","Arkansas","Indiana",3.5,2018-11-18
"1288","Indiana","Arkansas",-3.5,2018-11-18
"1289","Manhattan","UNC Asheville",-4,2018-11-18
"1290","UNC Asheville","Manhattan",4,2018-11-18
"1291","South Dakota","Air Force",-4,2018-11-18
"1292","Air Force","South Dakota",4,2018-11-18
"1293","Oklahoma State","Charleston",-5.5,2018-11-18
"1294","Charleston","Oklahoma State",5.5,2018-11-18
"1295","West Virginia","Saint Joseph's (PA)",-7.5,2018-11-18
"1296","Saint Joseph's (PA)","West Virginia",7.5,2018-11-18
"1297","South Carolina","George Washington",-11,2018-11-18
"1298","George Washington","South Carolina",11,2018-11-18
"1299","Chattanooga","Jacksonville",-120,2018-11-18
"1300","Jacksonville","Chattanooga",NA,2018-11-18
"1301","Seattle","Southern Utah",-120,2018-11-18
"1302","Southern Utah","Seattle",-120,2018-11-18
"1303","Brown","Army",-120,2018-11-18
"1304","Army","Brown",-120,2018-11-18
"1305","Maryland","Mount St. Mary's",-120,2018-11-18
"1306","Mount St. Mary's","Maryland",-120,2018-11-18
"1307","Kent State","Alcorn State",-120,2018-11-18
"1308","Alcorn State","Kent State",-120,2018-11-18
"1309","Pepperdine","Miami (OH)",-110,2018-11-18
"1310","Miami (OH)","Pepperdine",-110,2018-11-18
"1311","Fordham","Columbia",-110,2018-11-18
"1312","Columbia","Fordham",-110,2018-11-18
"1313","Cleveland State","Samford",-110,2018-11-18
"1314","Samford","Cleveland State",-110,2018-11-18
"1315","Missouri","Oregon State",-110,2018-11-18
"1316","Oregon State","Missouri",-110,2018-11-18
"1317","Davidson","Northeastern",-110,2018-11-18
"1318","Northeastern","Davidson",-110,2018-11-18
"1319","San Jose State","Central Michigan",-110,2018-11-18
"1320","Central Michigan","San Jose State",-110,2018-11-18
"1321","Kentucky","Virginia Military",-110,2018-11-18
"1322","Virginia Military","Kentucky",-110,2018-11-18
"1323","Michigan State","Tennessee Tech",-110,2018-11-18
"1324","Tennessee Tech","Michigan State",-110,2018-11-18
"1325","Western Kentucky","UCF",-110,2018-11-18
"1326","UCF","Western Kentucky",-110,2018-11-18
"1327","Loyola Marymount","Ohio",-110,2018-11-18
"1328","Ohio","Loyola Marymount",-110,2018-11-18
"1329","Northern Kentucky","Coastal Carolina",-110,2018-11-18
"1330","Coastal Carolina","Northern Kentucky",-110,2018-11-18
"1331","Georgia Southern","Montana",-110,2018-11-18
"1332","Montana","Georgia Southern",-110,2018-11-18
"1333","Kansas State","Pennsylvania",-110,2018-11-18
"1334","Pennsylvania","Kansas State",-110,2018-11-18
"1335","Santa Clara","Washington",-110,2018-11-18
"1336","Washington","Santa Clara",-110,2018-11-18
"1337","San Francisco","LIU Brooklyn",-120,2018-11-18
"1338","LIU Brooklyn","San Francisco",-120,2018-11-18
"1339","Purdue","Virginia Tech",-110,2018-11-18
"1340","Virginia Tech","Purdue",-110,2018-11-18
"1341","Cal State Bakersfield","Weber State",-110,2018-11-18
"1342","Weber State","Cal State Bakersfield",-110,2018-11-18
"1343","Central Connecticut State","Florida A&M",-110,2018-11-18
"1344","Florida A&M","Central Connecticut State",-110,2018-11-18
"1345","Hawaii","Northern Arizona",-110,2018-11-18
"1346","Northern Arizona","Hawaii",-110,2018-11-18
"1347","Minnesota","Texas A&M",-110,2018-11-18
"1348","Texas A&M","Minnesota",-110,2018-11-18
"1349","Valparaiso","Wake Forest",1.5,2018-11-18
"1350","Wake Forest","Valparaiso",-1.5,2018-11-18
"1351","Towson","North Dakota State",3.5,2018-11-18
"1352","North Dakota State","Towson",-3.5,2018-11-18
"1353","Appalachian State","Ball State",4.5,2018-11-18
"1354","Ball State","Appalachian State",-4.5,2018-11-18
"1355","Siena","Holy Cross",5,2018-11-18
"1356","Holy Cross","Siena",-5,2018-11-18
"1357","Florida International","Youngstown State",-6.5,2018-11-18
"1358","Youngstown State","Florida International",6.5,2018-11-18
"1359","Georgetown","South Florida",-10.5,2018-11-18
"1360","South Florida","Georgetown",10.5,2018-11-18
"1361","Monmouth","Cal State Fullerton",7,2018-11-18
"1362","Cal State Fullerton","Monmouth",-7,2018-11-18
"1363","Texas-Arlington","UC Davis",-4,2018-11-18
"1364","UC Davis","Texas-Arlington",4,2018-11-18
"1365","Evansville","Texas Southern",-6,2018-11-18
"1366","Texas Southern","Evansville",6,2018-11-18
"1367","Wichita State","Alabama",3.5,2018-11-18
"1368","Alabama","Wichita State",-3.5,2018-11-18
"1369","Providence","Michigan",8.5,2018-11-18
"1370","Michigan","Providence",-8.5,2018-11-18
"1371","Massachusetts-Lowell","Sacred Heart",-1,2018-11-18
"1372","Sacred Heart","Massachusetts-Lowell",1,2018-11-18
"1373","Florida Atlantic","Incarnate Word",-9,2018-11-18
"1374","Incarnate Word","Florida Atlantic",9,2018-11-18
"1375","Oklahoma","Wofford",-10,2018-11-18
"1376","Wofford","Oklahoma",10,2018-11-18
"1377","Ohio State","South Carolina State",-37,2018-11-18
"1378","South Carolina State","Ohio State",37,2018-11-18
"1379","Navy","Bryant University",-9,2018-11-18
"1380","Bryant University","Navy",9,2018-11-18
"1381","Lafayette","St. Francis (BKN)",-6,2018-11-18
"1382","St. Francis (BKN)","Lafayette",6,2018-11-18
"1383","Austin Peay","Campbell",-3,2018-11-18
"1384","Campbell","Austin Peay",3,2018-11-18
"1385","Troy","Central Arkansas",-8.5,2018-11-18
"1386","Central Arkansas","Troy",8.5,2018-11-18
"1387","Arkansas","Indiana",3.5,2018-11-18
"1388","Indiana","Arkansas",-3.5,2018-11-18
"1389","Manhattan","UNC Asheville",-4,2018-11-18
"1390","UNC Asheville","Manhattan",4,2018-11-18
"1391","South Dakota","Air Force",-4,2018-11-18
"1392","Air Force","South Dakota",4,2018-11-18
"1393","Oklahoma State","Charleston",-5.5,2018-11-18
"1394","Charleston","Oklahoma State",5.5,2018-11-18
"1395","West Virginia","Saint Joseph's (PA)",-7.5,2018-11-18
"1396","Saint Joseph's (PA)","West Virginia",7.5,2018-11-18
"1397","South Carolina","George Washington",-11,2018-11-18
"1398","George Washington","South Carolina",11,2018-11-18
"1399","Chattanooga","Jacksonville",-120,2018-11-18
"1400","Jacksonville","Chattanooga",NA,2018-11-18
"1401","Seattle","Southern Utah",-120,2018-11-18
"1402","Southern Utah","Seattle",-120,2018-11-18
"1403","Brown","Army",-120,2018-11-18
"1404","Army","Brown",-120,2018-11-18
"1405","Maryland","Mount St. Mary's",-120,2018-11-18
"1406","Mount St. Mary's","Maryland",-120,2018-11-18
"1407","Kent State","Alcorn State",-120,2018-11-18
"1408","Alcorn State","Kent State",-120,2018-11-18
"1409","Pepperdine","Miami (OH)",-110,2018-11-18
"1410","Miami (OH)","Pepperdine",-110,2018-11-18
"1411","Fordham","Columbia",-110,2018-11-18
"1412","Columbia","Fordham",-110,2018-11-18
"1413","Cleveland State","Samford",-110,2018-11-18
"1414","Samford","Cleveland State",-110,2018-11-18
"1415","Missouri","Oregon State",-110,2018-11-18
"1416","Oregon State","Missouri",-110,2018-11-18
"1417","Davidson","Northeastern",-110,2018-11-18
"1418","Northeastern","Davidson",-110,2018-11-18
"1419","San Jose State","Central Michigan",-110,2018-11-18
"1420","Central Michigan","San Jose State",-110,2018-11-18
"1421","Kentucky","Virginia Military",-110,2018-11-18
"1422","Virginia Military","Kentucky",-110,2018-11-18
"1423","Michigan State","Tennessee Tech",-110,2018-11-18
"1424","Tennessee Tech","Michigan State",-110,2018-11-18
"1425","Western Kentucky","UCF",-110,2018-11-18
"1426","UCF","Western Kentucky",-110,2018-11-18
"1427","Loyola Marymount","Ohio",-110,2018-11-18
"1428","Ohio","Loyola Marymount",-110,2018-11-18
"1429","Northern Kentucky","Coastal Carolina",-110,2018-11-18
"1430","Coastal Carolina","Northern Kentucky",-110,2018-11-18
"1431","Georgia Southern","Montana",-110,2018-11-18
"1432","Montana","Georgia Southern",-110,2018-11-18
"1433","Kansas State","Pennsylvania",-110,2018-11-18
"1434","Pennsylvania","Kansas State",-110,2018-11-18
"1435","Santa Clara","Washington",-110,2018-11-18
"1436","Washington","Santa Clara",-110,2018-11-18
"1437","San Francisco","LIU Brooklyn",-120,2018-11-18
"1438","LIU Brooklyn","San Francisco",-120,2018-11-18
"1439","Purdue","Virginia Tech",-110,2018-11-18
"1440","Virginia Tech","Purdue",-110,2018-11-18
"1441","Cal State Bakersfield","Weber State",-110,2018-11-18
"1442","Weber State","Cal State Bakersfield",-110,2018-11-18
"1443","Central Connecticut State","Florida A&M",-110,2018-11-18
"1444","Florida A&M","Central Connecticut State",-110,2018-11-18
"1445","Hawaii","Northern Arizona",-110,2018-11-18
"1446","Northern Arizona","Hawaii",-110,2018-11-18
"1447","Minnesota","Texas A&M",-110,2018-11-18
"1448","Texas A&M","Minnesota",-110,2018-11-18
"1449","Valparaiso","Wake Forest",1.5,2018-11-18
"1450","Wake Forest","Valparaiso",-1.5,2018-11-18
"1451","Towson","North Dakota State",3.5,2018-11-18
"1452","North Dakota State","Towson",-3.5,2018-11-18
"1453","Appalachian State","Ball State",4.5,2018-11-18
"1454","Ball State","Appalachian State",-4.5,2018-11-18
"1455","Siena","Holy Cross",5,2018-11-18
"1456","Holy Cross","Siena",-5,2018-11-18
"1457","Florida International","Youngstown State",-6.5,2018-11-18
"1458","Youngstown State","Florida International",6.5,2018-11-18
"1459","Georgetown","South Florida",-10.5,2018-11-18
"1460","South Florida","Georgetown",10.5,2018-11-18
"1461","Monmouth","Cal State Fullerton",7,2018-11-18
"1462","Cal State Fullerton","Monmouth",-7,2018-11-18
"1463","Texas-Arlington","UC Davis",-4,2018-11-18
"1464","UC Davis","Texas-Arlington",4,2018-11-18
"1465","Evansville","Texas Southern",-6,2018-11-18
"1466","Texas Southern","Evansville",6,2018-11-18
"1467","Wichita State","Alabama",3.5,2018-11-18
"1468","Alabama","Wichita State",-3.5,2018-11-18
"1469","Providence","Michigan",8.5,2018-11-18
"1470","Michigan","Providence",-8.5,2018-11-18
"1471","Massachusetts-Lowell","Sacred Heart",-1,2018-11-18
"1472","Sacred Heart","Massachusetts-Lowell",1,2018-11-18
"1473","Florida Atlantic","Incarnate Word",-9,2018-11-18
"1474","Incarnate Word","Florida Atlantic",9,2018-11-18
"1475","Oklahoma","Wofford",-10,2018-11-18
"1476","Wofford","Oklahoma",10,2018-11-18
"1477","Ohio State","South Carolina State",-37,2018-11-18
"1478","South Carolina State","Ohio State",37,2018-11-18
"1479","Navy","Bryant University",-9,2018-11-18
"1480","Bryant University","Navy",9,2018-11-18
"1481","Lafayette","St. Francis (BKN)",-6,2018-11-18
"1482","St. Francis (BKN)","Lafayette",6,2018-11-18
"1483","Austin Peay","Campbell",-3,2018-11-18
"1484","Campbell","Austin Peay",3,2018-11-18
"1485","Troy","Central Arkansas",-8.5,2018-11-18
"1486","Central Arkansas","Troy",8.5,2018-11-18
"1487","Arkansas","Indiana",3.5,2018-11-18
"1488","Indiana","Arkansas",-3.5,2018-11-18
"1489","Manhattan","UNC Asheville",-4,2018-11-18
"1490","UNC Asheville","Manhattan",4,2018-11-18
"1491","South Dakota","Air Force",-4,2018-11-18
"1492","Air Force","South Dakota",4,2018-11-18
"1493","Oklahoma State","Charleston",-5.5,2018-11-18
"1494","Charleston","Oklahoma State",5.5,2018-11-18
"1495","West Virginia","Saint Joseph's (PA)",-7.5,2018-11-18
"1496","Saint Joseph's (PA)","West Virginia",7.5,2018-11-18
"1497","South Carolina","George Washington",-11,2018-11-18
"1498","George Washington","South Carolina",11,2018-11-18
"1499","Chattanooga","Jacksonville",-120,2018-11-18
"1500","Jacksonville","Chattanooga",NA,2018-11-18
"1501","Seattle","Southern Utah",-120,2018-11-18
"1502","Southern Utah","Seattle",-120,2018-11-18
"1503","Brown","Army",-120,2018-11-18
"1504","Army","Brown",-120,2018-11-18
"1505","Maryland","Mount St. Mary's",-120,2018-11-18
"1506","Mount St. Mary's","Maryland",-120,2018-11-18
"1507","Kent State","Alcorn State",-120,2018-11-18
"1508","Alcorn State","Kent State",-120,2018-11-18
"1509","Pepperdine","Miami (OH)",-110,2018-11-18
"1510","Miami (OH)","Pepperdine",-110,2018-11-18
"1511","Fordham","Columbia",-110,2018-11-18
"1512","Columbia","Fordham",-110,2018-11-18
"1513","Cleveland State","Samford",-110,2018-11-18
"1514","Samford","Cleveland State",-110,2018-11-18
"1515","Missouri","Oregon State",-110,2018-11-18
"1516","Oregon State","Missouri",-110,2018-11-18
"1517","Davidson","Northeastern",-110,2018-11-18
"1518","Northeastern","Davidson",-110,2018-11-18
"1519","San Jose State","Central Michigan",-110,2018-11-18
"1520","Central Michigan","San Jose State",-110,2018-11-18
"1521","Kentucky","Virginia Military",-110,2018-11-18
"1522","Virginia Military","Kentucky",-110,2018-11-18
"1523","Michigan State","Tennessee Tech",-110,2018-11-18
"1524","Tennessee Tech","Michigan State",-110,2018-11-18
"1525","Western Kentucky","UCF",-110,2018-11-18
"1526","UCF","Western Kentucky",-110,2018-11-18
"1527","Loyola Marymount","Ohio",-110,2018-11-18
"1528","Ohio","Loyola Marymount",-110,2018-11-18
"1529","Northern Kentucky","Coastal Carolina",-110,2018-11-18
"1530","Coastal Carolina","Northern Kentucky",-110,2018-11-18
"1531","Georgia Southern","Montana",-110,2018-11-18
"1532","Montana","Georgia Southern",-110,2018-11-18
"1533","Kansas State","Pennsylvania",-110,2018-11-18
"1534","Pennsylvania","Kansas State",-110,2018-11-18
"1535","Santa Clara","Washington",-110,2018-11-18
"1536","Washington","Santa Clara",-110,2018-11-18
"1537","San Francisco","LIU Brooklyn",-120,2018-11-18
"1538","LIU Brooklyn","San Francisco",-120,2018-11-18
"1539","Purdue","Virginia Tech",-110,2018-11-18
"1540","Virginia Tech","Purdue",-110,2018-11-18
"1541","Cal State Bakersfield","Weber State",-110,2018-11-18
"1542","Weber State","Cal State Bakersfield",-110,2018-11-18
"1543","Central Connecticut State","Florida A&M",-110,2018-11-18
"1544","Florida A&M","Central Connecticut State",-110,2018-11-18
"1545","Hawaii","Northern Arizona",-110,2018-11-18
"1546","Northern Arizona","Hawaii",-110,2018-11-18
"1547","Minnesota","Texas A&M",-110,2018-11-18
"1548","Texas A&M","Minnesota",-110,2018-11-18
"1549","Wisconsin","Oklahoma",-4.5,2018-11-22
"1550","Oklahoma","Wisconsin",4.5,2018-11-22
"1551","Canisius","Villanova",13.5,2018-11-22
"1552","Villanova","Canisius",-13.5,2018-11-22
"1553","Massachusetts","Southern Illinois",3.5,2018-11-22
"1554","Southern Illinois","Massachusetts",-3.5,2018-11-22
"1555","Miami (FL)","La Salle",-14.5,2018-11-22
"1556","La Salle","Miami (FL)",14.5,2018-11-22
"1557","Pacific","UC Riverside",-13,2018-11-22
"1558","UC Riverside","Pacific",13,2018-11-22
"1559","Virginia","Dayton",-13,2018-11-22
"1560","Dayton","Virginia",13,2018-11-22
"1561","Memphis","Oklahoma State",2.5,2018-11-22
"1562","Oklahoma State","Memphis",-2.5,2018-11-22
"1563","Nevada","Tulsa",-15,2018-11-22
"1564","Tulsa","Nevada",15,2018-11-22
"1565","Fresno State","Northwestern",6,2018-11-22
"1566","Northwestern","Fresno State",-6,2018-11-22
"1567","Elon","Abilene Christian",3,2018-11-22
"1568","Abilene Christian","Elon",-3,2018-11-22
"1569","Stanford","Florida",6.5,2018-11-22
"1570","Florida","Stanford",-6.5,2018-11-22
"1571","LSU","Charleston",-6.5,2018-11-22
"1572","Charleston","LSU",6.5,2018-11-22
"1573","North Carolina","Texas",-7,2018-11-22
"1574","Texas","North Carolina",7,2018-11-22
"1575","Grand Canyon","Seton Hall",4.5,2018-11-22
"1576","Seton Hall","Grand Canyon",-4.5,2018-11-22
"1577","Middle Tennessee","Butler",11.5,2018-11-22
"1578","Butler","Middle Tennessee",-11.5,2018-11-22
"1579","Florida State","UAB",-16,2018-11-22
"1580","UAB","Florida State",16,2018-11-22
"1581","UCLA","Michigan State",6,2018-11-22
"1582","Michigan State","UCLA",-6,2018-11-22
"1583","Utah","Hawaii",-9.5,2018-11-22
"1584","Hawaii","Utah",9.5,2018-11-22
"1585","Wisconsin","Oklahoma",-4.5,2018-11-22
"1586","Oklahoma","Wisconsin",4.5,2018-11-22
"1587","Canisius","Villanova",13.5,2018-11-22
"1588","Villanova","Canisius",-13.5,2018-11-22
"1589","Massachusetts","Southern Illinois",3.5,2018-11-22
"1590","Southern Illinois","Massachusetts",-3.5,2018-11-22
"1591","Miami (FL)","La Salle",-14.5,2018-11-22
"1592","La Salle","Miami (FL)",14.5,2018-11-22
