"","date","teamname_name","teamname_AdjEM","teamname_AdjO","teamname_AdjD","teamname_AdjT"
"87","Monday, January 1, 2018","Illinois",7.66,104.4,96.7,73.3
"88","Monday, January 1, 2018","Belmont",7.31,109.9,102.5,68
"89","Monday, January 1, 2018","South Dakota St.",7.04,111.2,104.2,70.7
"90","Monday, January 1, 2018","Iowa St.",7.01,109.2,102.2,70.6
"91","Monday, January 1, 2018","Indiana",6.94,110.3,103.3,67.5
"92","Monday, January 1, 2018","VCU",6.64,108.9,102.2,70.8
"93","Monday, January 1, 2018","Bucknell",6.5,112,105.5,73.4
"94","Monday, January 1, 2018","Loyola Chicago",6.46,106.2,99.7,67.7
"95","Monday, January 1, 2018","Louisiana Lafayette",6.32,110.9,104.5,72
"96","Monday, January 1, 2018","Nebraska",6.19,106.8,100.6,69.9
"97","Monday, January 1, 2018","Georgetown",6.17,105.9,99.7,72.4
"98","Monday, January 1, 2018","Tulsa",5.75,106.8,101,69.3
"99","Monday, January 1, 2018","Georgia Southern",5.59,107,101.5,69.8
"100","Monday, January 1, 2018","Bradley",5.43,100.1,94.7,68.3
"101","Monday, January 1, 2018","DePaul",5.4,104.5,99,71.2
"102","Monday, January 1, 2018","Furman",5.26,106.3,101.1,70.1
"103","Monday, January 1, 2018","UT Arlington",5.15,104.5,99.4,74.1
"104","Monday, January 1, 2018","Davidson",5.06,110.1,105,68.3
"105","Monday, January 1, 2018","Montana",5.05,104,99,70.1
"106","Monday, January 1, 2018","Oakland",4.95,109.2,104.2,75.3
"107","Monday, January 1, 2018","Wyoming",4.91,104.1,99.2,73.8
"108","Monday, January 1, 2018","College of Charleston",4.89,103.7,98.8,66.5
"109","Monday, January 1, 2018","Idaho",4.88,103.6,98.7,69
"110","Monday, January 1, 2018","Grand Canyon",4.79,100.9,96.1,69.8
"111","Monday, January 1, 2018","Towson",4.78,104.4,99.6,68.3
"112","Monday, January 1, 2018","Washington",4.78,107.5,102.8,71.7
"113","Monday, January 1, 2018","Mercer",4.77,113.3,108.5,66.6
"114","Monday, January 1, 2018","Albany",4.67,109.4,104.7,67.4
"115","Monday, January 1, 2018","San Diego",4.59,102.2,97.6,68.2
"116","Monday, January 1, 2018","UNC Greensboro",4.57,104.2,99.7,67.2
"117","Monday, January 1, 2018","UC Santa Barbara",4.41,110.1,105.7,69.5
"118","Monday, January 1, 2018","Princeton",4.4,107.5,103.1,65.9
"119","Monday, January 1, 2018","Ball St.",4.4,107.6,103.2,71.9
"120","Monday, January 1, 2018","Rutgers",4.24,99.8,95.6,68.9
"121","Monday, January 1, 2018","Northern Iowa",4.13,100.7,96.6,62.9
"122","Monday, January 1, 2018","Louisiana Tech",4.12,105.9,101.7,69.3
"123","Monday, January 1, 2018","UAB",4.1,109.7,105.6,67
"124","Monday, January 1, 2018","Northeastern",4.05,104.8,100.8,68.2
"125","Monday, January 1, 2018","Oregon St.",4,106.5,102.5,67.9
"126","Monday, January 1, 2018","Connecticut",3.97,102.4,98.4,69.4
"127","Monday, January 1, 2018","Buffalo",3.94,108,104.1,74.7
"128","Monday, January 1, 2018","La Salle",3.93,106.1,102.2,68.7
"129","Monday, January 1, 2018","Iona",3.9,108.8,104.9,71.4
"130","Monday, January 1, 2018","Lipscomb",3.79,101.3,97.5,76.5
"131","Monday, January 1, 2018","Saint Joseph's",3.68,105.9,102.2,71.8
"132","Monday, January 1, 2018","Stanford",3.43,104,100.6,70.3
"133","Monday, January 1, 2018","Jacksonville St.",3.33,105.3,101.9,67.1
"134","Monday, January 1, 2018","Georgia St.",3.2,103.2,100,67.5
"135","Monday, January 1, 2018","Georgia Tech",3.11,101.7,98.6,66.5
"136","Monday, January 1, 2018","Illinois St.",3.09,103.9,100.8,71.9
"137","Monday, January 1, 2018","Tulane",2.99,103.7,100.8,71.3
"138","Monday, January 1, 2018","Colorado",2.82,102.9,100.1,71.3
"139","Monday, January 1, 2018","San Francisco",2.6,100.7,98.1,68.8
"140","Monday, January 1, 2018","Dayton",2.57,105,102.4,66.9
"141","Monday, January 1, 2018","Stephen F. Austin",2.47,103.3,100.8,72.6
"142","Monday, January 1, 2018","Southern Illinois",2.45,103.2,100.8,69.3
"143","Monday, January 1, 2018","Portland St.",2.42,107.5,105.1,78.9
"144","Monday, January 1, 2018","Rider",2.39,108,105.7,73.7
"145","Monday, January 1, 2018","North Dakota St.",2.34,102.2,99.8,67.6
"146","Monday, January 1, 2018","Penn",2.22,103.4,101.2,70.3
"147","Monday, January 1, 2018","Marshall",2.09,107.4,105.3,77.3
"148","Monday, January 1, 2018","Utah Valley",2.05,109,106.9,69.8
"149","Monday, January 1, 2018","UNC Asheville",2.02,103.5,101.5,72.3
"150","Monday, January 1, 2018","Toledo",1.88,109.1,107.2,69.8
"151","Monday, January 1, 2018","Florida Gulf Coast",1.62,108.1,106.5,71.7
"152","Monday, January 1, 2018","Ohio",1.47,104.5,103,73.7
"153","Monday, January 1, 2018","Northern Colorado",1.46,103.4,102,72.2
"154","Monday, January 1, 2018","Utah St.",1.41,104.5,103.1,68.8
"155","Monday, January 1, 2018","Eastern Michigan",1.25,104.8,103.6,68
"156","Monday, January 1, 2018","Valparaiso",1.2,99.6,98.4,71.3
"157","Monday, January 1, 2018","Massachusetts",1.2,104,102.8,67.8
"158","Monday, January 1, 2018","Hofstra",1.11,108.7,107.6,70.2
"159","Monday, January 1, 2018","George Washington",1.04,103,102,64.1
"160","Monday, January 1, 2018","Monmouth",0.96,103.1,102.1,70.9
"161","Monday, January 1, 2018","Fort Wayne",0.94,104.8,103.9,74.9
"162","Monday, January 1, 2018","UC Davis",0.89,101.2,100.4,66.5
"163","Monday, January 1, 2018","Liberty",0.87,101.7,100.9,65.3
"164","Monday, January 1, 2018","Washington St.",0.55,106,105.5,70.9
"165","Monday, January 1, 2018","New Mexico",0.49,104.5,104,72.7
"166","Monday, January 1, 2018","Yale",0.43,105.7,105.3,71.2
"167","Monday, January 1, 2018","Coastal Carolina",0.37,104.7,104.3,69.6
"168","Monday, January 1, 2018","Evansville",0.09,100.5,100.4,65.1
"169","Monday, January 1, 2018","Harvard",-0.13,98.6,98.8,69.1
"170","Monday, January 1, 2018","Winthrop",-0.2,104.1,104.3,74.8
"171","Monday, January 1, 2018","Pittsburgh",-0.2,102.3,102.5,67.4
"172","Monday, January 1, 2018","Army",-0.35,103,103.4,73.9
"173","Monday, January 1, 2018","Radford",-0.4,102.3,102.7,66.2
"174","Monday, January 1, 2018","Indiana St.",-0.47,100,100.5,71.6
"175","Monday, January 1, 2018","Wofford",-0.47,107.7,108.1,65.7
"176","Monday, January 1, 2018","California",-0.58,103,103.5,72.2
"177","Monday, January 1, 2018","Western Michigan",-0.78,104.5,105.3,68.4
"178","Monday, January 1, 2018","Troy",-1.01,107.2,108.2,69.7
"179","Monday, January 1, 2018","Wright St.",-1.07,96.4,97.4,70.3
"180","Monday, January 1, 2018","Canisius",-1.2,103.5,104.7,68.8
"181","Monday, January 1, 2018","Elon",-1.22,104.8,106,67.5
"182","Monday, January 1, 2018","Lamar",-1.24,101.9,103.1,69.5
"183","Monday, January 1, 2018","Central Michigan",-1.28,104,105.3,67.2
"184","Monday, January 1, 2018","Memphis",-1.36,102.2,103.6,66.9
"185","Monday, January 1, 2018","Saint Louis",-1.39,97.8,99.2,66.7
"186","Monday, January 1, 2018","Drake",-1.53,105.6,107.1,68.5
"187","Monday, January 1, 2018","Eastern Washington",-1.66,103.8,105.4,70.3
"188","Monday, January 1, 2018","Colgate",-2.19,106.4,108.6,69.5
"189","Monday, January 1, 2018","Milwaukee",-2.28,100.5,102.8,67
"190","Monday, January 1, 2018","Saint Peter's",-2.35,100,102.4,64.1
"191","Monday, January 1, 2018","William & Mary",-2.44,111.6,114.1,70.6
"192","Monday, January 1, 2018","UTSA",-2.47,105,107.4,74.9
"193","Monday, January 1, 2018","Stony Brook",-2.51,101.2,103.7,70.6
"194","Monday, January 1, 2018","UC Irvine",-2.53,98.6,101.1,69
"195","Monday, January 1, 2018","Colorado St.",-2.53,100.9,103.4,70
"196","Monday, January 1, 2018","St. Francis PA",-2.75,106.7,109.4,70.8
"197","Monday, January 1, 2018","Fairfield",-2.78,100.8,103.6,71.1
"198","Monday, January 1, 2018","Duquesne",-2.96,102.5,105.5,67.1
"199","Monday, January 1, 2018","Cal St. Bakersfield",-3.05,98,101.1,66.9
"200","Monday, January 1, 2018","UMBC",-3.07,106.4,109.5,69.3
"201","Monday, January 1, 2018","Seattle",-3.25,106.1,109.3,68.6
"202","Monday, January 1, 2018","Cal St. Fullerton",-3.33,100.2,103.5,72.2
"203","Monday, January 1, 2018","Manhattan",-3.39,98.9,102.3,67.6
"204","Monday, January 1, 2018","Hawaii",-3.61,97.9,101.5,70.3
"205","Monday, January 1, 2018","Texas St.",-3.62,98.9,102.5,64.3
"206","Monday, January 1, 2018","Oral Roberts",-3.66,104.9,108.5,67.1
"207","Monday, January 1, 2018","Robert Morris",-3.76,96.3,100.1,71.1
"208","Monday, January 1, 2018","Texas Southern",-3.84,103.3,107.1,71.5
"209","Monday, January 1, 2018","Navy",-3.86,101.2,105,66.6
"210","Monday, January 1, 2018","North Texas",-3.96,101,105,67.4
"211","Monday, January 1, 2018","Lehigh",-4.16,103.1,107.3,72
"212","Monday, January 1, 2018","Wagner",-4.24,99.8,104,70.7
"213","Monday, January 1, 2018","South Alabama",-4.36,95.4,99.8,71
"214","Monday, January 1, 2018","Richmond",-4.53,100.3,104.8,68.8
"215","Monday, January 1, 2018","Tennessee Tech",-4.58,101.6,106.2,73.8
"216","Monday, January 1, 2018","Central Arkansas",-4.64,104.1,108.7,75.2
"217","Monday, January 1, 2018","Appalachian St.",-4.72,102.7,107.4,73.6
"218","Monday, January 1, 2018","UTEP",-4.79,96.6,101.4,69.2
"219","Monday, January 1, 2018","Loyola Marymount",-4.79,105.3,110.1,69.5
"220","Monday, January 1, 2018","Akron",-4.85,101.8,106.7,70.5
"221","Monday, January 1, 2018","Weber St.",-5,102.5,107.5,67.3
"222","Monday, January 1, 2018","Pacific",-5.01,102.9,107.9,69.8
"223","Monday, January 1, 2018","Binghamton",-5.05,101.1,106.2,65.7
"224","Monday, January 1, 2018","Delaware",-5.28,102.5,107.8,65.6
"225","Monday, January 1, 2018","Kent St.",-5.39,101.4,106.8,71.1
"226","Monday, January 1, 2018","Tennessee St.",-5.43,93.8,99.2,66.4
"227","Monday, January 1, 2018","Drexel",-5.44,99.5,104.9,69.2
"228","Monday, January 1, 2018","Fordham",-5.5,95.8,101.3,67.8
"229","Monday, January 1, 2018","Montana St.",-5.58,101.3,106.9,71.1
"230","Monday, January 1, 2018","Austin Peay",-5.6,98.2,103.8,69.1
"231","Monday, January 1, 2018","Campbell",-5.61,104.7,110.3,69.3
"232","Monday, January 1, 2018","Bowling Green",-5.7,102.9,108.6,74.5
"233","Monday, January 1, 2018","Southeastern Louisiana",-5.73,99.7,105.4,68.4
"234","Monday, January 1, 2018","Columbia",-5.78,102.5,108.3,72.3
"235","Monday, January 1, 2018","Niagara",-5.85,107.4,113.3,73.6
"236","Monday, January 1, 2018","Illinois Chicago",-5.86,95.1,101,71.1
"237","Monday, January 1, 2018","George Mason",-5.9,99.2,105.1,68.5
"238","Monday, January 1, 2018","Long Beach St.",-6,103.2,109.2,73.2
"239","Monday, January 1, 2018","Nicholls St.",-6.14,100.9,107,78.4
"240","Monday, January 1, 2018","Brown",-6.16,100.3,106.5,73.2
"241","Monday, January 1, 2018","High Point",-6.3,98.5,104.8,66.9
"242","Monday, January 1, 2018","New Orleans",-6.41,96.7,103.1,67.3
"243","Monday, January 1, 2018","Cornell",-6.75,103.5,110.2,72.2
"244","Monday, January 1, 2018","Northern Illinois",-6.83,102,108.8,70.1
"245","Monday, January 1, 2018","Abilene Christian",-6.84,100.8,107.6,70.4
"246","Monday, January 1, 2018","James Madison",-6.95,102.2,109.2,69.4
"247","Monday, January 1, 2018","Arkansas St.",-6.99,102.8,109.8,71.1
"248","Monday, January 1, 2018","Prairie View A&M",-7.06,98.3,105.3,71.1
"249","Monday, January 1, 2018","UT Rio Grande Valley",-7.07,98.9,106,76.3
"250","Monday, January 1, 2018","Boston University",-7.37,102.7,110.1,70
"251","Monday, January 1, 2018","Samford",-7.42,106.2,113.6,68
"252","Monday, January 1, 2018","NJIT",-7.44,97.6,105,68.8
"253","Monday, January 1, 2018","Southern Miss",-7.64,100.1,107.7,64.9
"254","Monday, January 1, 2018","New Hampshire",-7.66,100.3,108,66.8
"255","Monday, January 1, 2018","Denver",-7.7,100.1,107.8,69.1
"256","Monday, January 1, 2018","Gardner Webb",-7.79,98.8,106.6,69.3
"257","Monday, January 1, 2018","Chattanooga",-7.87,95.3,103.1,67.1
"258","Monday, January 1, 2018","Florida Atlantic",-7.93,96.1,104,70.9
"259","Monday, January 1, 2018","Eastern Illinois",-7.94,98.7,106.6,66.2
"260","Monday, January 1, 2018","Morehead St.",-7.94,98.9,106.8,69.9
"261","Monday, January 1, 2018","Hampton",-8.18,98.3,106.5,73.1
"262","Monday, January 1, 2018","Western Illinois",-8.39,96.3,104.7,70.9
"263","Monday, January 1, 2018","Charlotte",-8.43,98.8,107.2,73.7
"264","Monday, January 1, 2018","Sam Houston St.",-8.79,95,103.8,68.2
"265","Monday, January 1, 2018","UC Riverside",-8.84,95.3,104.2,69.9
"266","Monday, January 1, 2018","Siena",-8.86,99.1,108,69.9
"267","Monday, January 1, 2018","Southeast Missouri St.",-8.9,105.8,114.7,69.6
"268","Monday, January 1, 2018","Nebraska Omaha",-9.06,101.9,111,73
"269","Monday, January 1, 2018","Fairleigh Dickinson",-9.07,99.3,108.3,72.4
"270","Monday, January 1, 2018","Idaho St.",-9.07,95.8,104.9,70.4
"271","Monday, January 1, 2018","Louisiana Monroe",-9.18,99.9,109.1,65.6
"272","Monday, January 1, 2018","Miami OH",-9.26,95.8,105,67.2
"273","Monday, January 1, 2018","Tennessee Martin",-9.3,100.8,110.1,65.6
"274","Monday, January 1, 2018","UMKC",-9.32,95.7,105,72.5
"275","Monday, January 1, 2018","IUPUI",-9.6,101.4,111,66.9
"276","Monday, January 1, 2018","North Dakota",-9.64,98.4,108,73.9
"277","Monday, January 1, 2018","Santa Clara",-9.65,100,109.7,66.4
"278","Monday, January 1, 2018","Central Connecticut",-9.81,99.4,109.2,65.9
"279","Monday, January 1, 2018","UNC Wilmington",-9.83,101.8,111.7,74.9
"280","Monday, January 1, 2018","Loyola MD",-9.94,97.1,107.1,71.3
"281","Monday, January 1, 2018","Charleston Southern",-10.17,98.1,108.2,67.1
"282","Monday, January 1, 2018","North Carolina Central",-10.23,100,110.2,67.3
"283","Monday, January 1, 2018","Cal Poly",-10.23,99,109.2,67.2
"284","Monday, January 1, 2018","Green Bay",-10.29,95,105.3,73
"285","Monday, January 1, 2018","Eastern Kentucky",-10.3,99.2,109.5,68.3
"286","Monday, January 1, 2018","Western Carolina",-10.33,97.5,107.9,70.8
"287","Monday, January 1, 2018","LIU Brooklyn",-10.38,98.5,108.9,74.3
"288","Monday, January 1, 2018","FIU",-10.39,94.6,105,71.1
"289","Monday, January 1, 2018","Dartmouth",-10.45,100.7,111.1,69.8
"290","Monday, January 1, 2018","Texas A&M Corpus Chris",-10.47,96.1,106.6,67.7
"291","Monday, January 1, 2018","Pepperdine",-10.5,102.2,112.7,68.9
"292","Monday, January 1, 2018","Quinnipiac",-10.7,102,112.7,68.5
"293","Monday, January 1, 2018","North Florida",-10.74,103.9,114.6,75
"294","Monday, January 1, 2018","South Florida",-10.87,94.7,105.6,64.8
"295","Monday, January 1, 2018","Houston Baptist",-10.88,99.8,110.7,73.8
"296","Monday, January 1, 2018","Air Force",-10.96,96.2,107.1,66.7
"297","Monday, January 1, 2018","Lafayette",-10.99,98,109,69.6
"298","Monday, January 1, 2018","Stetson",-11.04,98.9,110,71.8
"299","Monday, January 1, 2018","Detroit",-11.33,103,114.4,76.6
"300","Monday, January 1, 2018","San Jose St.",-11.33,92.7,104,69.4
"301","Monday, January 1, 2018","UMass Lowell",-11.39,101.9,113.3,72.2
"302","Monday, January 1, 2018","Cleveland St.",-11.4,95,106.3,70
"303","Monday, January 1, 2018","Morgan St.",-11.45,99.1,110.6,71.4
"304","Monday, January 1, 2018","St. Francis NY",-11.7,95.1,106.8,70.6
"305","Monday, January 1, 2018","Sacramento St.",-11.79,96,107.8,67.7
"306","Monday, January 1, 2018","Holy Cross",-12.16,98.7,110.8,64.8
"307","Monday, January 1, 2018","Hartford",-12.24,99.7,111.9,67.6
"308","Monday, January 1, 2018","North Carolina A&T",-12.29,98.1,110.4,70.6
"309","Monday, January 1, 2018","Portland",-12.55,99.5,112,67.7
"310","Monday, January 1, 2018","Southern Utah",-12.6,103.6,116.2,74.4
"311","Monday, January 1, 2018","Mount St. Mary's",-12.68,96.5,109.2,66
"312","Monday, January 1, 2018","Incarnate Word",-12.8,96.7,109.5,73.4
"313","Monday, January 1, 2018","Rice",-12.84,94.7,107.5,69.9
"314","Monday, January 1, 2018","Little Rock",-12.87,90.6,103.5,67.3
"315","Monday, January 1, 2018","East Carolina",-13.25,91.9,105.1,70.3
"316","Monday, January 1, 2018","McNeese St.",-13.49,98.1,111.6,67.8
"317","Monday, January 1, 2018","Sacred Heart",-13.55,92.4,106,70.6
"318","Monday, January 1, 2018","Kennesaw St.",-13.76,96.4,110.2,69.6
"319","Monday, January 1, 2018","American",-13.82,96.4,110.2,67.8
"320","Monday, January 1, 2018","Southern",-14.24,96.4,110.7,69.3
"321","Monday, January 1, 2018","Marist",-14.39,96.8,111.2,70
"322","Monday, January 1, 2018","The Citadel",-14.6,98.3,112.9,81.8
"323","Monday, January 1, 2018","USC Upstate",-14.62,102.9,117.5,68.3
"324","Monday, January 1, 2018","Grambling St.",-14.63,95.7,110.4,70.7
"325","Monday, January 1, 2018","SIU Edwardsville",-14.98,98.5,113.5,70.4
"326","Monday, January 1, 2018","VMI",-16.19,92.2,108.4,70.8
"327","Monday, January 1, 2018","Norfolk St.",-16.26,94.2,110.5,70.3
"328","Monday, January 1, 2018","Northern Arizona",-16.43,93.1,109.5,72.1
"329","Monday, January 1, 2018","Bethune Cookman",-16.47,94.1,110.6,76
"330","Monday, January 1, 2018","Savannah St.",-16.7,96.7,113.4,84
"331","Monday, January 1, 2018","Howard",-16.76,93.6,110.4,72
"332","Monday, January 1, 2018","Youngstown St.",-17.1,96.3,113.4,75.5
"333","Monday, January 1, 2018","Presbyterian",-17.26,97.8,115.1,65.1
"334","Monday, January 1, 2018","Northwestern St.",-17.41,93.4,110.9,71.2
"335","Monday, January 1, 2018","Maine",-17.45,89.3,106.7,71.1
"336","Monday, January 1, 2018","Cal St. Northridge",-17.54,95.2,112.7,67.1
"337","Monday, January 1, 2018","Jackson St.",-17.78,93.1,110.9,63.9
"338","Monday, January 1, 2018","Jacksonville",-18.88,93.5,112.3,70
"339","Monday, January 1, 2018","Florida A&M",-20.04,93.2,113.3,68
"340","Monday, January 1, 2018","Bryant",-20.19,94.2,114.4,70.6
"341","Monday, January 1, 2018","Alcorn St.",-20.25,94.7,115,69.4
"342","Monday, January 1, 2018","Alabama St.",-21.3,93.9,115.2,70.4
"343","Monday, January 1, 2018","South Carolina St.",-21.93,93.3,115.3,74
"344","Monday, January 1, 2018","Chicago St.",-22.44,93.7,116.1,72.6
"345","Monday, January 1, 2018","Maryland Eastern Shore",-22.45,92,114.5,66.2
"346","Monday, January 1, 2018","Coppin St.",-23.41,87.9,111.3,68.4
"347","Monday, January 1, 2018","Arkansas Pine Bluff",-23.49,89.8,113.3,68.9
"348","Monday, January 1, 2018","Longwood",-25.46,86.9,112.4,70.1
"349","Monday, January 1, 2018","Mississippi Valley St.",-26.19,89,115.2,67
"350","Monday, January 1, 2018","Alabama A&M",-26.51,87.7,114.2,69.9
"351","Monday, January 1, 2018","Delaware St.",-26.85,92.3,119.1,66.4
"352","Tuesday, January 2, 2018","Villanova",29.88,124.3,94.4,70
"353","Tuesday, January 2, 2018","Michigan St.",29.34,117.3,88,67.8
"354","Tuesday, January 2, 2018","Purdue",26.78,119,92.3,69.9
"355","Tuesday, January 2, 2018","Duke",26.45,125.3,98.8,73.1
"356","Tuesday, January 2, 2018","Virginia",25.81,112.3,86.5,61.1
"357","Tuesday, January 2, 2018","Kansas",25.46,118.2,92.8,71.4
"358","Tuesday, January 2, 2018","Texas Tech",24.44,113.1,88.7,69.9
"359","Tuesday, January 2, 2018","Cincinnati",23.32,112.1,88.7,67.4
"360","Tuesday, January 2, 2018","Gonzaga",22.93,118.2,95.3,70.4
"361","Tuesday, January 2, 2018","West Virginia",22.59,115.1,92.5,74.6
"362","Tuesday, January 2, 2018","Texas A&M",22.12,110.6,88.5,69.9
"363","Tuesday, January 2, 2018","North Carolina",22.11,114.4,92.3,75.8
"364","Tuesday, January 2, 2018","Wichita St.",22.02,116.5,94.5,69.9
"365","Tuesday, January 2, 2018","Arizona",21.34,118.6,97.2,68.7
"366","Tuesday, January 2, 2018","Oklahoma",21.31,117.1,95.8,78.1
"367","Tuesday, January 2, 2018","Xavier",20.76,118.1,97.3,73.2
"368","Tuesday, January 2, 2018","Kentucky",20.48,113.4,92.9,71
"369","Tuesday, January 2, 2018","Miami FL",20.4,109.7,89.3,69
"370","Tuesday, January 2, 2018","Arizona St.",20.39,120.5,100.1,73.3
"371","Tuesday, January 2, 2018","Tennessee",20.02,111.8,91.7,69.6
