"DateOfGame","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","Pythag","RankPythag","AdjEM","RankAdjEM"
"2017-02-11","Abilene Christian",67.4203,281,65.5651,295,96.295,297,95.2922,314,103.604,182,106.454,210,0.218613,289,-11.1615,285
"2017-02-11","Air Force",69.3159,197,67.1854,236,106.037,121,106.627,130,108.11,270,110.352,284,0.402538,207,-3.72508,208
"2017-02-11","Akron",68.338,255,66.206,276,114.386,19,114.304,38,105.199,224,107.679,238,0.665225,105,6.62537,99
"2017-02-11","Alabama",68.4243,251,66.2386,274,100.745,223,105.04,156,94.697,25,93.7476,23,0.78717,58,11.2924,61
"2017-02-11","Alabama A&M",66.0653,319,64.2396,327,90.195,343,88.5253,350,117.469,350,120.917,351,0.026966,351,-32.3913,351
"2017-02-11","Alabama St.",70.1282,155,68.7884,147,90.5562,340,88.7704,349,103.221,171,108.371,253,0.0915971,340,-19.6002,335
"2017-02-11","Albany",65.3279,332,64.5271,318,108.706,73,107.816,112,103.315,174,105.579,196,0.559998,137,2.23734,135
"2017-02-11","Alcorn St.",69.0671,217,68.6027,160,95.2791,313,95.0592,317,102.205,150,107.329,228,0.198432,305,-12.2701,301
"2017-02-11","American",65.1241,336,64.1604,329,93.7003,327,93.9883,324,105.306,225,108.266,252,0.16433,320,-14.2779,318
"2017-02-11","Appalachian St.",70.5801,132,69.6488,104,99.2057,251,101.795,217,108.954,293,109.044,263,0.311943,248,-7.24865,250
"2017-02-11","Arizona",67.1605,291,65.8029,290,111.807,35,115.956,25,95.1475,29,94.4734,25,0.913433,20,21.4829,22
"2017-02-11","Arizona St.",73.426,35,70.9421,55,107.953,84,111.936,51,111.587,326,109.07,264,0.574027,130,2.86619,128
"2017-02-11","Arkansas",71.5115,91,69.6544,102,111.909,34,115.224,34,104.135,198,103.134,151,0.781545,60,12.0894,59
"2017-02-11","Arkansas Pine Bluff",69.1351,208,67.8843,202,88.2335,349,87.393,351,104.973,220,108.738,259,0.0749489,344,-21.3449,341
"2017-02-11","Arkansas St.",69.2984,200,67.7115,214,106.385,114,107.759,115,99.5585,86,101.493,114,0.665739,104,6.26637,105
"2017-02-11","Army",72.5218,56,71.694,37,100.415,230,99.4726,261,103.206,170,107.04,221,0.300876,255,-7.5669,255
"2017-02-11","Auburn",75.7959,12,74.2588,10,104.772,145,109.978,76,102.214,151,100.742,99,0.732785,78,9.23639,75
"2017-02-11","Austin Peay",71.8336,78,70.2783,76,103.988,156,104.909,160,117.045,349,116.212,341,0.235637,284,-11.3034,287
"2017-02-11","Ball St.",72.9153,49,70.813,63,106.119,118,104.579,165,102.257,154,106.628,212,0.444452,189,-2.04876,189
