"","Date","TeamName","Role","Opponent","PTS","FGM","FGA","FG%","3PTM","3PTA","3PT%","FTM","FTA","FT%","ORB","DRB","REB","AST","TO","STL","BLK","PF"
"1","November 9, 2012","Bryant","Away","Indiana","54","20","62",".323","4","29",".138","10","17",".588","11","16","27","10","17","8","1","24"
"2","November 9, 2012","Indiana","Home","Bryant","97","30","54",".556","8","21",".381","29","34",".853","11","35","46","16","17","12","6","16"
"3","November 9, 2012","Maryland","Away","Kentucky","69","25","75",".333","3","19",".158","16","21",".762","23","23","46","17","11","6","5","23"
"4","November 9, 2012","Kentucky","Home","Maryland","72","24","56",".429","6","13",".462","18","28",".643","12","22","34","12","12","5","11","16"
"5","November 9, 2012","Slippery Rock","Away","Michigan","62","24","65",".369","6","21",".286","8","14",".571","12","18","30","10","12","4","4","15"
"6","November 9, 2012","Michigan","Home","Slippery Rock","100","38","66",".576","12","19",".632","12","19",".632","11","28","39","19","9","5","3","12"
"7","November 9, 2012","Miami (OH)","Away","NC State","59","20","69",".290","7","26",".269","12","19",".632","15","18","33","12","10","7","2","22"
"8","November 9, 2012","NC State","Home","Miami (OH)","97","35","57",".614","8","19",".421","19","27",".704","5","34","39","23","11","6","6","14"
"9","November 9, 2012","Southeast Missouri State","Away","Kansas","55","18","62",".290","4","16",".250","15","20",".750","8","24","32","6","12","8","2","20"
"10","November 9, 2012","Kansas","Home","Southeast Missouri State","74","24","62",".387","2","21",".095","24","28",".857","14","32","46","12","13","5","10","18"
"11","November 9, 2012","Georgia State","Away","Duke","55","19","51",".373","5","14",".357","12","17",".706","9","22","31","4","16","7","0","21"
"12","November 9, 2012","Duke","Home","Georgia State","74","24","47",".511","11","24",".458","15","23",".652","5","25","30","17","15","4","6","19"
"13","November 9, 2012","Gardner-Webb","Away","UNC","59","22","55",".400","6","22",".273","9","14",".643","9","22","31","11","21","11","5","19"
"14","November 9, 2012","UNC","Home","Gardner-Webb","76","33","71",".465","1","12",".083","9","19",".474","21","26","47","14","18","12","2","11"
"15","November 9, 2012","Indiana State","Away","UCLA","59","19","60",".317","5","26",".192","16","26",".615","12","16","28","10","14","10","2","27"
"16","November 9, 2012","UCLA","Home","Indiana State","86","27","56",".482","4","16",".250","28","41",".683","19","30","49","17","16","5","5","19"
"17","November 9, 2012","Michigan State","Away","UConn","62","24","64",".375","4","17",".235","10","13",".769","17","21","38","9","15","9","3","15"
"18","November 9, 2012","UConn","Home","Michigan State","66","25","54",".463","6","13",".462","10","13",".769","6","19","25","13","12","11","10","12"
"19","November 9, 2012","North Texas","Away","Creighton","51","22","69",".319","2","16",".125","5","10",".500","14","20","34","11","12","6","2","20"
"20","November 9, 2012","Creighton","Home","North Texas","71","24","48",".500","5","18",".278","18","22",".818","5","31","36","14","13","4","6","12"
"21","November 9, 2012","Lehigh","Away","Baylor","77","28","75",".373","8","21",".381","13","18",".722","17","13","30","9","8","8","2","18"
"22","November 9, 2012","Baylor","Home","Lehigh","99","40","62",".645","6","20",".300","13","20",".650","11","30","41","28","16","4","6","18"
"23","November 9, 2012","Southern Utah","Away","Gonzaga","65","27","55",".491","4","17",".235","7","11",".636","7","22","29","8","28","4","6","22"
"24","November 9, 2012","Gonzaga","Home","Southern Utah","103","40","73",".548","6","13",".462","17","30",".567","13","20","33","18","9","18","1","13"
"25","November 9, 2012","South Alabama","Away","Florida State","76","21","50",".420","9","15",".600","25","32",".781","7","24","31","12","19","8","4","26"
"26","November 9, 2012","Florida State","Home","South Alabama","71","22","53",".415","5","21",".238","22","32",".688","11","20","31","9","17","8","1","21"
"27","November 9, 2012","Akron","Away","Coastal Carolina","70","21","57",".368","11","33",".333","17","26",".654","13","20","33","13","17","13","4","21"
"28","November 9, 2012","Coastal Carolina","Home","Akron","74","26","57",".456","6","13",".462","16","25",".640","11","24","35","12","20","8","2","22"
"29","November 9, 2012","Alabama State","Away","Middle Tennessee","53","17","47",".362","6","14",".429","13","27",".481","5","21","26","7","22","2","6","23"
"30","November 9, 2012","Middle Tennessee","Home","Alabama State","97","33","68",".485","11","27",".407","20","29",".690","13","28","41","27","7","10","3","23"
"31","November 9, 2012","Albion","Away","Oakland","62","19","44",".432","7","18",".389","17","27",".630","7","15","22","17","25","5","3","23"
"32","November 9, 2012","Oakland","Home","Albion","96","32","58",".552","9","18",".500","23","30",".767","9","22","31","16","14","14","0","24"
"33","November 9, 2012","American","Away","Minnesota","36","9","38",".237","2","7",".286","16","23",".696","10","13","23","5","22","4","4","19"
"34","November 9, 2012","Minnesota","Home","American","72","27","62",".435","4","22",".182","14","21",".667","19","18","37","17","7","15","10","20"
"35","November 9, 2012","Arizona Christian","Away","Weber State","52","18","68",".265","5","24",".208","11","12",".917","16","13","29","6","18","11","2","26"
"36","November 9, 2012","Weber State","Home","Arizona Christian","110","39","61",".639","13","25",".520","19","30",".633","15","34","49","28","16","6","8","17"
"37","November 9, 2012","Averett","Away","Campbell","55","23","59",".390","7","20",".350","2","6",".333","10","21","31","12","16","4","1","23"
"38","November 9, 2012","Campbell","Home","Averett","74","27","60",".450","4","15",".267","16","23",".696","13","28","41","16","14","10","3","10"
"39","November 9, 2012","Belmont","Away","Lipscomb","89","29","58",".500","11","27",".407","20","23",".870","8","23","31","14","15","16","6","19"
"40","November 9, 2012","Lipscomb","Home","Belmont","60","21","54",".389","8","23",".348","10","19",".526","14","20","34","12","24","8","2","22"
"41","November 9, 2012","Bethune-Cookman","Away","St. Bonaventure","55","19","51",".373","6","21",".286","11","11","1.000","8","21","29","9","13","1","3","18"
"42","November 9, 2012","St. Bonaventure","Home","Bethune-Cookman","65","21","47",".447","6","19",".316","17","25",".680","8","21","29","15","10","5","6","14"
"43","November 9, 2012","Binghamton","Away","Loyola (MD)","45","16","45",".356","2","11",".182","11","16",".688","3","16","19","7","16","5","0","14"
"44","November 9, 2012","Loyola (MD)","Home","Binghamton","71","28","54",".519","5","17",".294","10","14",".714","11","24","35","13","10","9","5","16"
"45","November 9, 2012","Boston University","Away","Northeastern","64","24","61",".393","5","22",".227","11","14",".786","10","27","37","8","13","6","2","20"
"46","November 9, 2012","Northeastern","Home","Boston University","65","21","47",".447","3","15",".200","20","29",".690","3","23","26","13","11","8","4","15"
"47","November 9, 2012","Brescia","Away","Murray State","43","17","55",".309","5","22",".227","4","8",".500","8","17","25","11","20","4","1","22"
"48","November 9, 2012","Murray State","Home","Brescia","88","30","61",".492","7","18",".389","21","31",".677","17","29","46","13","12","10","4","12"
"49","November 9, 2012","Bucknell","Away","Purdue","70","24","57",".421","2","10",".200","20","25",".800","7","25","32","12","8","3","1","15"
"50","November 9, 2012","Purdue","Home","Bucknell","65","28","61",".459","2","16",".125","7","15",".467","9","22","31","16","9","4","4","20"
"51","November 9, 2012","Cal Poly","Away","TCU","46","19","54",".352","4","15",".267","4","6",".667","11","19","30","10","12","5","1","18"
"52","November 9, 2012","TCU","Home","Cal Poly","53","18","43",".419","4","10",".400","13","20",".650","6","24","30","9","11","6","5","6"
