"","Date","TeamName","Role","Opponent","PTS","FGM","FGA","FG%","3PTM","3PTA","3PT%","FTM","FTA","FT%","ORB","DRB","REB","AST","TO","STL","BLK","PF"
"1","November 11, 2016","Marist","Away","Duke","49","15","65",".231","3","25",".120","16","19",".842","5","23","28","8","14","5","0","22"
"2","November 11, 2016","Duke","Home","Marist","94","30","68",".441","8","22",".364","26","37",".703","16","39","55","13","10","9","7","21"
"3","November 11, 2016","Stephen F. Austin","Away","Kentucky","64","23","52",".442","5","19",".263","13","19",".684","12","18","30","10","28","6","5","32"
"4","November 11, 2016","Kentucky","Home","Stephen F. Austin","87","31","62",".500","5","18",".278","20","30",".667","9","15","24","21","13","12","8","19"
"5","November 11, 2016","Indiana","Away","Kansas","103","31","71",".437","15","31",".484","26","36",".722","17","27","44","15","17","7","3","31"
"6","November 11, 2016","Kansas","Home","Indiana","99","31","71",".437","7","23",".304","30","38",".789","11","25","36","16","11","9","2","32"
"7","November 11, 2016","Lafayette","Away","Villanova","48","19","65",".292","6","32",".188","4","7",".571","4","22","26","12","13","3","0","15"
"8","November 11, 2016","Villanova","Home","Lafayette","88","33","67",".493","15","41",".366","7","12",".583","9","41","50","15","8","8","4","14"
"9","November 11, 2016","Army","Away","Oregon","77","26","66",".394","9","24",".375","16","23",".696","7","18","25","14","13","3","0","27"
"10","November 11, 2016","Oregon","Home","Army","91","27","60",".450","9","25",".360","28","34",".824","12","27","39","15","17","2","13","23"
"11","November 11, 2016","UNC","Away","Tulane","95","34","69",".493","9","20",".450","18","25",".720","16","32","48","23","13","7","2","20"
"12","November 11, 2016","Tulane","Home","UNC","75","25","72",".347","12","30",".400","13","19",".684","13","20","33","12","11","5","4","21"
"13","November 11, 2016","Lehigh","Away","Xavier","81","29","58",".500","9","23",".391","14","17",".824","9","14","23","21","20","10","2","23"
"14","November 11, 2016","Xavier","Home","Lehigh","84","32","62",".516","4","17",".235","16","19",".842","11","20","31","18","17","8","3","21"
"15","November 11, 2016","Virginia","Away","UNC Greensboro","76","26","50",".520","8","16",".500","16","18",".889","11","24","35","13","11","8","1","17"
"16","November 11, 2016","UNC Greensboro","Home","Virginia","51","17","46",".370","7","21",".333","10","13",".769","7","14","21","7","11","6","1","15"
"17","November 11, 2016","Central Arkansas","Away","Wisconsin","47","15","53",".283","6","16",".375","11","18",".611","11","16","27","10","11","6","3","18"
"18","November 11, 2016","Wisconsin","Home","Central Arkansas","79","25","53",".472","11","29",".379","18","23",".783","12","29","41","14","11","6","6","17"
"19","November 11, 2016","Arizona","Away","Michigan State","65","20","52",".385","5","14",".357","20","27",".741","7","19","26","7","14","12","2","20"
"20","November 11, 2016","Michigan State","Home","Arizona","63","25","58",".431","8","25",".320","5","9",".556","10","18","28","15","17","4","1","23"
"21","November 11, 2016","Evansville","Away","Louisville","47","16","57",".281","4","15",".267","11","20",".550","10","18","28","6","12","7","2","18"
"22","November 11, 2016","Louisville","Home","Evansville","78","30","63",".476","3","15",".200","15","27",".556","18","33","51","15","12","10","10","17"
