"","Date","TeamName","Role","Opponent","PTS","FGM","FGA","FG%","3PTM","3PTA","3PT%","FTM","FTA","FT%","ORB","DRB","REB","AST","TO","STL","BLK","PF"
"270","November 10, 2017","Texas Tech","Home","South Alabama","75","27","56",".482","5","20",".250","16","22",".727","10","27","37","15","18","11","3","19"
"271","November 10, 2017","South Carolina","Away","Wofford","73","25","54",".463","11","23",".478","12","16",".750","11","24","35","17","13","5","3","17"
"272","November 10, 2017","Wofford","Home","South Carolina","52","17","49",".347","6","19",".316","12","16",".750","5","17","22","7","13","3","0","16"
"273","November 10, 2017","South Carolina State","Away","Wisconsin","50","19","56",".339","6","18",".333","6","9",".667","4","18","22","7","13","7","0","19"
"274","November 10, 2017","Wisconsin","Home","South Carolina State","85","32","56",".571","10","23",".435","11","18",".611","8","31","39","18","13","7","3","9"
"275","November 10, 2017","Southern","Away","Illinois","55","19","51",".373","2","11",".182","15","23",".652","8","17","25","5","22","3","4","25"
"276","November 10, 2017","Illinois","Home","Southern","102","32","63",".508","4","21",".190","34","37",".919","12","26","38","17","10","8","4","26"
"277","November 10, 2017","Southern Illinois","Away","Winthrop","81","32","61",".525","7","17",".412","10","13",".769","10","29","39","13","16","11","3","25"
"278","November 10, 2017","Winthrop","Home","Southern Illinois","66","22","54",".407","4","16",".250","18","27",".667","5","19","24","10","15","9","1","15"
"279","November 10, 2017","Southern-New Orleans","Away","Southern Miss","69","23","65",".354","11","38",".289","12","21",".571","8","26","34","12","19","7","2","35"
"280","November 10, 2017","Southern Miss","Home","Southern-New Orleans","79","22","53",".415","5","17",".294","30","45",".667","10","30","40","13","18","6","1","24"
"281","November 10, 2017","Southern Utah","Away","Oregon State","82","22","57",".386","6","18",".333","32","46",".696","6","23","29","7","14","5","0","29"
"282","November 10, 2017","Oregon State","Home","Southern Utah","99","34","63",".540","5","20",".250","26","35",".743","7","33","40","17","13","7","7","33"
"283","November 10, 2017","Southwestern","Away","Incarnate Word","71","26","65",".400","7","23",".304","12","20",".600","14","29","43","14","24","10","4","28"
"284","November 10, 2017","Incarnate Word","Home","Southwestern","87","30","72",".417","1","13",".077","26","35",".743","15","23","38","14","13","17","9","18"
"285","November 10, 2017","Spring Arbor","Away","Eastern Michigan","60","19","53",".358","11","26",".423","11","14",".786","9","28","37","15","22","5","2","19"
"286","November 10, 2017","Eastern Michigan","Home","Spring Arbor","92","33","66",".500","10","29",".345","16","23",".696","9","27","36","19","8","16","8","16"
"287","November 10, 2017","UT-Martin","Away","Marshall","91","34","64",".531","11","26",".423","12","15",".800","9","22","31","16","21","4","0","29"
"288","November 10, 2017","Marshall","Home","UT-Martin","102","34","69",".493","11","38",".289","23","34",".676","14","17","31","21","12","7","1","18"
"289","November 10, 2017","Tennessee Wesleyan","Away","Jacksonville State","42","15","74",".203","7","32",".219","5","13",".385","11","25","36","6","14","6","0","25"
"290","November 10, 2017","Jacksonville State","Home","Tennessee Wesleyan","100","32","58",".552","13","28",".464","23","39",".590","10","44","54","26","12","7","7","14"
"291","November 10, 2017","Texas-Tyler","Away","Louisiana Tech","71","26","65",".400","9","20",".450","10","14",".714","6","20","26","20","20","4","0","21"
"292","November 10, 2017","Louisiana Tech","Home","Texas-Tyler","112","40","62",".645","13","27",".481","19","29",".655","6","29","35","18","9","15","5","17"
