"","Date","TeamName","Role","Opponent","PTS","FGM","FGA","FG%","3PTM","3PTA","3PT%","FTM","FTA","FT%","ORB","DRB","REB","AST","TO","STL","BLK","PF"
"1","November 6, 2018","Michigan State","Away","Kansas","87","26","59",".441","12","23",".522","23","35",".657","5","32","37","19","18","5","7","25"
"2","November 6, 2018","Kansas","Home","Michigan State","92","31","69",".449","10","23",".435","20","33",".606","11","26","37","21","11","10","7","28"
"3","November 6, 2018","Duke","Away","Kentucky","118","43","79",".544","12","26",".462","20","29",".690","13","25","38","22","4","10","3","26"
"4","November 6, 2018","Kentucky","Home","Duke","84","26","59",".441","4","17",".235","28","38",".737","9","24","33","17","15","1","5","25"
"5","November 6, 2018","Idaho State","Away","Gonzaga","79","32","70",".457","6","18",".333","9","13",".692","10","16","26","16","13","5","2","25"
"6","November 6, 2018","Gonzaga","Home","Idaho State","120","41","70",".586","8","24",".333","30","37",".811","12","25","37","29","7","9","4","14"
"7","November 6, 2018","Towson","Away","Virginia","42","13","41",".317","4","14",".286","12","27",".444","11","20","31","0","14","3","0","18"
"8","November 6, 2018","Virginia","Home","Towson","73","26","54",".481","10","26",".385","11","18",".611","11","23","34","19","5","6","3","19"
"9","November 6, 2018","Lenoir-Rhyne","Away","Tennessee","41","14","67",".209","7","35",".200","6","11",".545","12","23","35","7","15","7","1","20"
"10","November 6, 2018","Tennessee","Home","Lenoir-Rhyne","86","34","60",".567","5","14",".357","13","21",".619","8","36","44","22","11","9","10","16"
"11","November 6, 2018","BYU","Away","Nevada","70","26","69",".377","6","31",".194","12","19",".632","7","32","39","17","7","4","4","27"
"12","November 6, 2018","Nevada","Home","BYU","86","25","66",".379","8","28",".286","28","39",".718","10","35","45","19","8","4","4","20"
"13","November 6, 2018","UNC","Away","Wofford","78","29","59",".492","9","22",".409","11","15",".733","10","25","35","21","15","5","2","13"
"14","November 6, 2018","Wofford","Home","UNC","67","24","63",".381","9","35",".257","10","11",".909","9","18","27","8","9","5","2","15"
"15","November 6, 2018","Morgan State","Away","Villanova","77","33","71",".465","5","14",".357","6","10",".600","7","18","25","21","13","10","0","24"
"16","November 6, 2018","Villanova","Home","Morgan State","100","34","67",".507","12","37",".324","20","27",".741","13","28","41","21","14","5","9","13"
"17","November 6, 2018","South Alabama","Away","Auburn","58","17","46",".370","7","22",".318","17","22",".773","6","18","24","9","22","4","5","17"
"18","November 6, 2018","Auburn","Home","South Alabama","101","38","74",".514","18","38",".474","7","14",".500","19","21","40","24","13","9","8","21"
"19","November 6, 2018","Portland State","Away","Oregon","57","21","73",".288","5","35",".143","10","16",".625","18","16","34","8","11","5","4","25"
"20","November 6, 2018","Oregon","Home","Portland State","84","27","50",".540","4","7",".571","26","33",".788","9","26","35","12","14","4","8","18"
"21","November 6, 2018","Eastern Washington","Away","Syracuse","34","13","59",".220","6","35",".171","2","8",".250","10","22","32","11","19","4","2","23"
"22","November 6, 2018","Syracuse","Home","Eastern Washington","66","24","62",".387","3","17",".176","15","28",".536","12","34","46","11","9","10","4","17"
"23","November 6, 2018","Florida","Away","Florida State","60","20","54",".370","6","24",".250","14","21",".667","7","20","27","9","16","5","3","26"
"24","November 6, 2018","Florida State","Home","Florida","81","23","48",".479","11","23",".478","24","34",".706","6","22","28","10","16","9","2","22"
"25","November 6, 2018","Norfolk State","Away","Michigan","44","18","59",".305","3","12",".250","5","11",".455","5","30","35","8","12","1","3","22"
"26","November 6, 2018","Michigan","Home","Norfolk State","63","22","60",".367","6","26",".231","13","29",".448","13","34","47","16","11","3","8","18"
"27","November 6, 2018","Purdue-Fort Wayne","Away","UCLA","71","26","71",".366","9","37",".243","10","17",".588","6","21","27","17","12","6","1","17"
"28","November 6, 2018","UCLA","Home","Purdue-Fort Wayne","96","40","74",".541","8","25",".320","8","17",".471","12","37","49","22","15","8","4","15"
"29","November 6, 2018","Citadel","Away","Clemson","80","26","58",".448","10","27",".370","18","25",".720","2","21","23","7","14","7","0","19"
"30","November 6, 2018","Clemson","Home","Citadel","100","34","61",".557","11","26",".423","21","25",".840","6","31","37","20","12","8","4","20"
"31","November 6, 2018","Southeastern Louisiana","Away","LSU","63","22","54",".407","7","23",".304","12","19",".632","10","20","30","8","19","4","1","20"
"32","November 6, 2018","LSU","Home","Southeastern Louisiana","94","32","66",".485","6","24",".250","24","31",".774","19","23","42","14","9","13","4","17"
"33","November 6, 2018","Fairfield","Away","Purdue","57","22","60",".367","8","22",".364","5","9",".556","8","13","21","8","11","5","0","17"
"34","November 6, 2018","Purdue","Home","Fairfield","90","32","59",".542","14","30",".467","12","15",".800","8","28","36","17","13","4","3","17"
"35","November 6, 2018","Western Kentucky","Away","Washington","55","20","53",".377","5","13",".385","10","16",".625","4","25","29","15","15","3","5","22"
"36","November 6, 2018","Washington","Home","Western Kentucky","73","26","65",".400","5","25",".200","16","20",".800","9","24","33","11","7","6","9","22"
"37","November 6, 2018","Alabama A&M","Away","South Florida","63","22","52",".423","9","25",".360","10","14",".714","8","14","22","18","21","11","0","24"
"38","November 6, 2018","South Florida","Home","Alabama A&M","80","30","53",".566","9","21",".429","11","18",".611","9","20","29","20","20","11","4","15"
"39","November 6, 2018","Alabama State","Away","Iowa State","53","20","55",".364","9","26",".346","4","10",".400","6","22","28","11","20","4","3","17"
"40","November 6, 2018","Iowa State","Home","Alabama State","79","32","67",".478","10","26",".385","5","7",".714","11","26","37","20","13","12","5","14"
"41","November 6, 2018","Alaska-Anchorage","Away","Fresno State","63","22","65",".338","8","29",".276","11","14",".786","12","29","41","12","16","3","1","22"
"42","November 6, 2018","Fresno State","Home","Alaska-Anchorage","91","29","61",".475","12","33",".364","21","27",".778","6","28","34","16","8","10","6","18"
"43","November 6, 2018","Alcorn State","Away","Tulsa","56","19","49",".388","9","26",".346","9","12",".750","6","23","29","8","17","10","3","24"
"44","November 6, 2018","Tulsa","Home","Alcorn State","73","24","49",".490","5","19",".263","20","32",".625","7","21","28","12","13","10","4","14"
"45","November 6, 2018","Angelo State","Away","North Texas","55","20","57",".351","7","20",".350","8","17",".471","11","14","25","7","15","7","1","19"
"46","November 6, 2018","North Texas","Home","Angelo State","89","30","60",".500","14","32",".438","15","19",".789","17","25","42","18","15","7","7","17"
"47","November 6, 2018","Arkansas-Pine Bluff","Away","San Diego State","60","20","56",".357","8","28",".286","12","14",".857","8","24","32","9","18","9","2","22"
