"","Date","TeamName","Role","Opponent","PTS","FGM","FGA","FG%","3PTM","3PTA","3PT%","FTM","FTA","FT%","ORB","DRB","REB","AST","TO","STL","BLK","PF"
"1","November 10, 2010","UIC","Away","Pitt","54","22","58",".379","3","10",".300","7","9",".778","5","15","20","9","11","0","3","18"
"2","November 10, 2010","Pitt","Home","UIC","97","37","64",".578","11","21",".524","12","20",".600","16","26","42","27","11","5","7","13"
"3","November 10, 2010","Toledo","Away","Illinois","45","16","45",".356","3","12",".250","10","19",".526","3","16","19","9","23","6","0","14"
"4","November 10, 2010","Illinois","Home","Toledo","84","37","64",".578","5","18",".278","5","6",".833","10","28","38","21","14","10","7","18"
"5","November 10, 2010","College of Charleston","Away","Maryland","74","25","56",".446","8","20",".400","16","19",".842","10","25","35","12","22","8","8","19"
"6","November 10, 2010","Maryland","Home","College of Charleston","75","34","66",".515","2","7",".286","5","18",".278","13","18","31","17","18","11","3","18"
"7","November 10, 2010","Louisiana Tech","Away","Texas","58","21","64",".328","3","14",".214","13","20",".650","13","25","38","4","22","6","5","21"
"8","November 10, 2010","Texas","Home","Louisiana Tech","89","34","74",".459","4","16",".250","17","22",".773","12","28","40","18","14","12","7","21"
"9","November 12, 2010","Eastern Michigan","Away","Michigan State","66","24","76",".316","11","29",".379","7","18",".389","13","22","35","10","19","5","3","33"
"10","November 12, 2010","Michigan State","Home","Eastern Michigan","96","31","59",".525","6","13",".462","28","42",".667","9","39","48","18","20","9","10","19"
"11","November 12, 2010","James Madison","Away","Kansas State","61","21","43",".488","4","9",".444","15","24",".625","7","23","30","11","26","2","1","27"
"12","November 12, 2010","Kansas State","Home","James Madison","75","24","55",".436","10","19",".526","17","32",".531","13","18","31","14","16","9","6","24"
"13","November 12, 2010","North Carolina A&T","Away","Ohio State","61","21","55",".382","5","16",".313","14","18",".778","4","13","17","8","18","4","3","23"
"14","November 12, 2010","Ohio State","Home","North Carolina A&T","102","37","76",".487","5","22",".227","23","30",".767","28","27","55","24","14","6","8","22"
"15","November 12, 2010","Bucknell","Away","Villanova","52","19","56",".339","8","22",".364","6","8",".750","5","19","24","15","12","2","2","16"
"16","November 12, 2010","Villanova","Home","Bucknell","68","24","57",".421","10","27",".370","10","14",".714","10","28","38","14","12","4","4","10"
"17","November 12, 2010","Longwood","Away","Kansas","75","28","62",".452","11","30",".367","8","13",".615","10","15","25","16","23","6","0","22"
"18","November 12, 2010","Kansas","Home","Longwood","113","43","69",".623","8","19",".421","19","27",".704","13","25","38","28","12","15","6","17"
"19","November 12, 2010","Lipscomb","Away","UNC","66","22","63",".349","9","29",".310","13","21",".619","12","25","37","15","17","9","2","25"
"20","November 12, 2010","UNC","Home","Lipscomb","80","30","63",".476","4","13",".308","16","29",".552","12","33","45","12","14","6","10","20"
"21","November 12, 2010","UNC Wilmington","Away","Florida","60","23","48",".479","6","16",".375","8","8","1.000","6","15","21","11","20","11","4","16"
"22","November 12, 2010","Florida","Home","UNC Wilmington","77","28","57",".491","6","19",".316","15","22",".682","15","16","31","18","15","12","1","11"
"23","November 12, 2010","Northern Iowa","Away","Syracuse","46","15","55",".273","6","33",".182","10","15",".667","14","16","30","8","12","3","0","21"
"24","November 12, 2010","Syracuse","Home","Northern Iowa","68","22","45",".489","9","19",".474","15","21",".714","5","23","28","17","11","9","6","21"
