"","Date","TeamName","Role","Opponent","PTS","FGM","FGA","FG%","3PTM","3PTA","3PT%","FTM","FTA","FT%","ORB","DRB","REB","AST","TO","STL","BLK","PF"
"1","November 9, 2011","Duquesne","Away","Arizona","59","19","58",".328","4","25",".160","17","26",".654","11","16","27","9","9","8","1","26"
"2","November 9, 2011","Arizona","Home","Duquesne","67","19","44",".432","6","17",".353","23","34",".676","9","30","39","13","20","4","3","19"
"3","November 9, 2011","Liberty","Away","Texas A&M","59","21","63",".333","5","21",".238","12","15",".800","8","15","23","16","9","4","0","21"
"4","November 9, 2011","Texas A&M","Home","Liberty","81","34","52",".654","1","7",".143","12","22",".545","6","32","38","21","13","4","4","17"
"5","November 9, 2011","Akron","Away","Mississippi State","68","30","62",".484","2","10",".200","6","8",".750","11","21","32","6","15","8","6","22"
"6","November 9, 2011","Mississippi State","Home","Akron","58","19","55",".345","2","13",".154","18","25",".720","17","22","39","5","19","4","5","12"
"7","November 9, 2011","Lehigh","Away","St. John's (NY)","73","27","65",".415","8","26",".308","11","13",".846","15","17","32","14","16","5","1","31"
"8","November 9, 2011","St. John's (NY)","Home","Lehigh","78","23","42",".548","2","9",".222","30","44",".682","6","20","26","7","14","11","4","17"
"9","November 11, 2011","UNC","Away","Michigan State","67","24","51",".471","4","12",".333","15","23",".652","6","25","31","14","14","6","11","14"
"10","November 11, 2011","Michigan State","Home","UNC","55","22","72",".306","2","20",".100","9","13",".692","19","23","42","8","15","7","3","25"
"11","November 11, 2011","Marist","Away","Kentucky","58","20","63",".317","6","18",".333","12","23",".522","11","16","27","10","14","2","4","15"
"12","November 11, 2011","Kentucky","Home","Marist","108","46","75",".613","4","10",".400","12","15",".800","14","36","50","24","9","8","13","18"
"13","November 11, 2011","Wright State","Away","Ohio State","42","13","41",".317","6","18",".333","10","15",".667","2","22","24","7","23","1","0","27"
"14","November 11, 2011","Ohio State","Home","Wright State","73","21","47",".447","5","14",".357","26","38",".684","6","27","33","14","14","10","3","18"
"15","November 11, 2011","Columbia","Away","UConn","57","21","73",".288","9","31",".290","6","8",".750","16","19","35","10","9","11","0","16"
"16","November 11, 2011","UConn","Home","Columbia","70","26","52",".500","8","17",".471","10","18",".556","10","30","40","13","15","7","13","13"
"17","November 11, 2011","Belmont","Away","Duke","76","27","57",".474","6","19",".316","16","22",".727","10","23","33","15","17","9","2","24"
