"","Date","TeamName","Role","Opponent","PTS","FGM","FGA","FG%","3PTM","3PTA","3PT%","FTM","FTA","FT%","ORB","DRB","REB","AST","TO","STL","BLK","PF"
"1","November 13, 2015","UNC","Away","Temple","91","34","67",".507","7","12",".583","16","23",".696","14","34","48","17","9","6","7","16"
"2","November 13, 2015","Temple","Home","UNC","67","24","62",".387","9","25",".360","10","17",".588","7","20","27","13","8","5","4","19"
"3","November 13, 2015","Albany (NY)","Away","Kentucky","65","25","58",".431","1","14",".071","14","22",".636","11","12","23","4","14","9","0","26"
"4","November 13, 2015","Kentucky","Home","Albany (NY)","78","28","50",".560","6","17",".353","16","24",".667","12","21","33","16","19","6","8","21"
"5","November 13, 2015","Mount St. Mary's","Away","Maryland","56","19","61",".311","10","33",".303","8","11",".727","4","16","20","10","7","6","1","14"
"6","November 13, 2015","Maryland","Home","Mount St. Mary's","80","33","56",".589","7","18",".389","7","9",".778","7","37","44","15","14","5","3","13"
"7","November 13, 2015","Northern Colorado","Away","Kansas","72","22","56",".393","7","21",".333","21","26",".808","3","23","26","8","21","6","1","35"
"8","November 13, 2015","Kansas","Home","Northern Colorado","109","34","61",".557","15","26",".577","26","34",".765","7","27","34","27","15","7","4","24"
"9","November 13, 2015","Siena","Away","Duke","74","27","64",".422","7","16",".438","13","21",".619","11","28","39","11","17","7","2","29"
"10","November 13, 2015","Duke","Home","Siena","92","30","66",".455","6","25",".240","26","36",".722","14","29","43","9","9","8","5","17"
"11","November 13, 2015","Morgan State","Away","Virginia","48","17","50",".340","7","27",".259","7","11",".636","5","14","19","10","11","7","1","20"
"12","November 13, 2015","Virginia","Home","Morgan State","86","32","65",".492","5","18",".278","17","26",".654","22","27","49","16","8","4","3","17"
"13","November 13, 2015","Colorado","Away","Iowa State","62","23","63",".365","9","23",".391","7","11",".636","6","29","35","14","18","7","3","21"
"14","November 13, 2015","Iowa State","Home","Colorado","68","29","65",".446","2","10",".200","8","15",".533","6","29","35","12","12","7","2","18"
"15","November 13, 2015","Charleston Southern","Away","Wichita State","63","18","48",".375","8","25",".320","19","30",".633","1","19","20","8","13","0","1","39"
"16","November 13, 2015","Wichita State","Home","Charleston Southern","88","25","57",".439","7","25",".280","31","41",".756","16","28","44","14","6","4","4","27"
"17","November 13, 2015","Fairleigh Dickinson","Away","Villanova","54","17","63",".270","7","26",".269","13","18",".722","7","24","31","12","12","10","0","25"
"18","November 13, 2015","Villanova","Home","Fairleigh Dickinson","91","32","69",".464","10","36",".278","17","25",".680","14","36","50","20","12","6","4","19"
"19","November 13, 2015","Pacific","Away","Arizona","61","21","57",".368","6","19",".316","13","19",".684","4","21","25","9","9","3","1","25"
"20","November 13, 2015","Arizona","Home","Pacific","79","24","61",".393","6","20",".300","25","32",".781","13","33","46","12","14","4","6","21"
"21","November 13, 2015","Florida Atlantic","Away","Michigan State","55","20","59",".339","5","20",".250","10","14",".714","4","21","25","9","10","5","3","25"
"22","November 13, 2015","Michigan State","Home","Florida Atlantic","82","30","62",".484","5","13",".385","17","28",".607","17","33","50","25","13","1","12","14"
"23","November 13, 2015","Rice","Away","California","65","22","60",".367","6","17",".353","15","22",".682","5","19","24","8","9","3","1","17"
"24","November 13, 2015","California","Home","Rice","97","36","71",".507","10","23",".435","15","18",".833","13","30","43","16","6","4","7","21"
"25","November 13, 2015","Eastern Illinois","Away","Indiana","49","17","50",".340","4","16",".250","11","19",".579","4","11","15","5","13","7","0","25"
"26","November 13, 2015","Indiana","Home","Eastern Illinois","88","32","61",".525","9","27",".333","15","25",".600","21","30","51","15","15","9","3","23"
"27","November 13, 2015","Southern Utah","Away","Utah","71","28","56",".500","10","19",".526","5","7",".714","3","24","27","10","13","3","3","23"
"28","November 13, 2015","Utah","Home","Southern Utah","82","30","64",".469","8","29",".276","14","25",".560","12","24","36","15","10","2","6","11"
"29","November 13, 2015","Western Illinois","Away","Wisconsin","69","27","50",".540","7","9",".778","8","12",".667","7","23","30","11","10","0","4","24"
"30","November 13, 2015","Wisconsin","Home","Western Illinois","67","22","62",".355","7","21",".333","16","25",".640","19","18","37","8","3","6","6","15"
"31","November 13, 2015","Austin Peay","Away","Vanderbilt","41","14","64",".219","1","16",".063","12","19",".632","12","26","38","1","13","4","0","14"
"32","November 13, 2015","Vanderbilt","Home","Austin Peay","80","32","72",".444","8","19",".421","8","15",".533","15","32","47","17","9","6","8","19"
"33","November 13, 2015","Saint Francis (PA)","Away","Notre Dame","56","17","52",".327","6","18",".333","16","23",".696","7","21","28","7","12","5","1","19"
"34","November 13, 2015","Notre Dame","Home","Saint Francis (PA)","87","29","68",".426","10","29",".345","19","25",".760","19","28","47","12","9","6","3","23"
"35","November 13, 2015","Maine","Away","UConn","56","19","63",".302","5","19",".263","13","28",".464","9","21","30","9","14","4","2","27"
"36","November 13, 2015","UConn","Home","Maine","100","36","66",".545","5","22",".227","23","32",".719","13","35","48","20","8","8","15","24"
"37","November 13, 2015","McNeese State","Away","LSU","70","24","62",".387","5","23",".217","17","23",".739","9","28","37","7","10","4","2","24"
"38","November 13, 2015","LSU","Home","McNeese State","81","28","61",".459","9","20",".450","16","32",".500","15","29","44","17","10","8","3","23"
"39","November 13, 2015","Stephen F. Austin","Away","Baylor","55","17","52",".327","5","23",".217","16","28",".571","5","17","22","16","13","3","3","24"
"40","November 13, 2015","Baylor","Home","Stephen F. Austin","97","36","56",".643","9","16",".563","16","23",".696","5","30","35","31","8","6","1","24"
"41","November 13, 2015","North Carolina A&T","Away","Purdue","40","14","58",".241","0","15",".000","12","18",".667","6","21","27","5","12","5","1","29"
"42","November 13, 2015","Purdue","Home","North Carolina A&T","81","24","53",".453","12","31",".387","21","32",".656","12","33","45","21","13","4","8","22"
"43","November 13, 2015","Northern Michigan","Away","Michigan","44","17","51",".333","5","17",".294","5","9",".556","7","20","27","6","19","2","0","20"
"44","November 13, 2015","Michigan","Home","Northern Michigan","70","27","52",".519","6","16",".375","10","15",".667","6","24","30","15","12","9","5","13"
